 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56      0.00000
  0.58      0.00000
  0.60      0.00000
  0.62      0.00000
  0.64      0.00000
  0.66      0.00000
  0.68      0.00000
  0.70      0.00000
  0.72      0.00000
  0.74      0.00000
  0.76     -0.00036
  0.78     -0.00071
  0.80     -0.00107
  0.82     -0.00143
  0.84     -0.00178
  0.86     -0.00214
  0.88     -0.00250
  0.90     -0.00285
  0.92     -0.00321
  0.94     -0.00357
  0.96     -0.00392
  0.98     -0.00428
  1.00     -0.00463
  1.02     -0.00499
  1.04     -0.00535
  1.06     -0.00570
  1.08     -0.00606
  1.10     -0.00642
  1.12     -0.00677
  1.14     -0.00713
  1.16     -0.00749
  1.18     -0.00807
  1.20     -0.00865
  1.22     -0.00924
  1.24     -0.00982
  1.26     -0.01040
  1.28     -0.01099
  1.30     -0.01157
  1.32     -0.01215
  1.34     -0.01274
  1.36     -0.01332
  1.38     -0.01390
  1.40     -0.01449
  1.42     -0.01507
  1.44     -0.01565
  1.46     -0.01623
  1.48     -0.01682
  1.50     -0.01740
  1.52     -0.01798
  1.54     -0.01857
  1.56     -0.01915
  1.58     -0.01973
  1.60     -0.02032
  1.62     -0.02090
  1.64     -0.02148
  1.66     -0.02207
  1.68     -0.02265
  1.70     -0.02323
  1.72     -0.02382
  1.74     -0.02440
  1.76     -0.02498
  1.78     -0.02556
  1.80     -0.02615
  1.82     -0.02673
  1.84     -0.02731
  1.86     -0.02790
  1.88     -0.02848
  1.90     -0.02906
  1.92     -0.02965
  1.94     -0.03023
  1.96     -0.03081
  1.98     -0.03140
  2.00     -0.03198
  2.02     -0.03256
  2.04     -0.03315
  2.06     -0.03373
  2.08     -0.03431
  2.10     -0.03490
  2.12     -0.03548
  2.14     -0.03606
  2.16     -0.03664
  2.18     -0.03723
  2.20     -0.03781
  2.22     -0.03839
  2.24     -0.03898
  2.26     -0.03956
  2.28     -0.04014
  2.30     -0.04073
  2.32     -0.04131
  2.34     -0.04189
  2.36     -0.04248
  2.38     -0.04306
  2.40     -0.04364
  2.42     -0.04423
  2.44     -0.04481
  2.46     -0.04539
  2.48     -0.04598
