 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56      0.00000
  0.58      0.00000
  0.60      0.00000
  0.62      0.00000
  0.64      0.00000
  0.66      0.00000
  0.68      0.00000
  0.70      0.00000
  0.72      0.00000
  0.74      0.00000
  0.76     -0.00050
  0.78     -0.00099
  0.80     -0.00149
  0.82     -0.00199
  0.84     -0.00249
  0.86     -0.00298
  0.88     -0.00348
  0.90     -0.00398
  0.92     -0.00447
  0.94     -0.00497
  0.96     -0.00547
  0.98     -0.00597
  1.00     -0.00646
  1.02     -0.00696
  1.04     -0.00746
  1.06     -0.00796
  1.08     -0.00845
  1.10     -0.00895
  1.12     -0.00945
  1.14     -0.00994
  1.16     -0.01044
  1.18     -0.01094
  1.20     -0.01144
  1.22     -0.01193
  1.24     -0.01243
  1.26     -0.01293
  1.28     -0.01342
  1.30     -0.01392
  1.32     -0.01442
  1.34     -0.01492
  1.36     -0.01541
  1.38     -0.01591
  1.40     -0.01641
  1.42     -0.01691
  1.44     -0.01740
  1.46     -0.01790
  1.48     -0.01840
  1.50     -0.01889
  1.52     -0.01939
  1.54     -0.01989
  1.56     -0.02039
  1.58     -0.02088
  1.60     -0.02138
  1.62     -0.02188
  1.64     -0.02237
  1.66     -0.02287
  1.68     -0.02337
  1.70     -0.02387
  1.72     -0.02436
  1.74     -0.02486
  1.76     -0.02536
  1.78     -0.02586
  1.80     -0.02635
  1.82     -0.02685
  1.84     -0.02735
  1.86     -0.02784
  1.88     -0.02834
  1.90     -0.02884
  1.92     -0.02950
  1.94     -0.03016
  1.96     -0.03082
  1.98     -0.03149
  2.00     -0.03215
  2.02     -0.03281
  2.04     -0.03347
  2.06     -0.03413
  2.08     -0.03480
  2.10     -0.03546
  2.12     -0.03612
  2.14     -0.03678
  2.16     -0.03744
  2.18     -0.03810
  2.20     -0.03877
  2.22     -0.03943
  2.24     -0.04009
  2.26     -0.04075
  2.28     -0.04141
  2.30     -0.04208
  2.32     -0.04274
  2.34     -0.04340
  2.36     -0.04406
  2.38     -0.04472
  2.40     -0.04539
  2.42     -0.04605
  2.44     -0.04671
  2.46     -0.04737
  2.48     -0.04803
