 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38     -0.00000
  0.40     -0.00000
  0.42     -0.00000
  0.44     -0.00001
  0.46     -0.00001
  0.48     -0.00002
  0.50     -0.00005
  0.52     -0.00008
  0.54     -0.00013
  0.56     -0.00021
  0.58     -0.00031
  0.60     -0.00043
  0.62     -0.00060
  0.64     -0.00079
  0.66     -0.00101
  0.68     -0.00126
  0.70     -0.00153
  0.72     -0.00183
  0.74     -0.00216
  0.76     -0.00250
  0.78     -0.00286
  0.80     -0.00324
  0.82     -0.00363
  0.84     -0.00404
  0.86     -0.00445
  0.88     -0.00488
  0.90     -0.00531
  0.92     -0.00576
  0.94     -0.00620
  0.96     -0.00666
  0.98     -0.00712
  1.00     -0.00758
  1.02     -0.00805
  1.04     -0.00852
  1.06     -0.00899
  1.08     -0.00947
  1.10     -0.00995
  1.12     -0.01043
  1.14     -0.01091
  1.16     -0.01140
  1.18     -0.01188
  1.20     -0.01237
  1.22     -0.01286
  1.24     -0.01335
  1.26     -0.01385
  1.28     -0.01434
  1.30     -0.01484
  1.32     -0.01534
  1.34     -0.01584
  1.36     -0.01634
  1.38     -0.01684
  1.40     -0.01735
  1.42     -0.01785
  1.44     -0.01836
  1.46     -0.01887
  1.48     -0.01939
  1.50     -0.01990
  1.52     -0.02042
  1.54     -0.02094
  1.56     -0.02147
  1.58     -0.02200
  1.60     -0.02253
  1.62     -0.02306
  1.64     -0.02360
  1.66     -0.02415
  1.68     -0.02469
  1.70     -0.02524
  1.72     -0.02579
  1.74     -0.02635
  1.76     -0.02691
  1.78     -0.02748
  1.80     -0.02805
  1.82     -0.02862
  1.84     -0.02920
  1.86     -0.02978
  1.88     -0.03036
  1.90     -0.03095
  1.92     -0.03154
  1.94     -0.03214
  1.96     -0.03275
  1.98     -0.03335
  2.00     -0.03397
  2.02     -0.03458
  2.04     -0.03521
  2.06     -0.03583
  2.08     -0.03646
  2.10     -0.03710
  2.12     -0.03774
  2.14     -0.03839
  2.16     -0.03904
  2.18     -0.03969
  2.20     -0.04035
  2.22     -0.04102
  2.24     -0.04169
  2.26     -0.04236
  2.28     -0.04304
  2.30     -0.04373
  2.32     -0.04442
  2.34     -0.04485
  2.36     -0.04529
  2.38     -0.04359
  2.40     -0.03951
  2.42     -0.03310
  2.44     -0.02468
