 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42     -0.00000
  0.44     -0.00000
  0.46     -0.00000
  0.48     -0.00001
  0.50     -0.00001
  0.52     -0.00002
  0.54     -0.00004
  0.56     -0.00006
  0.58     -0.00010
  0.60     -0.00015
  0.62     -0.00023
  0.64     -0.00034
  0.66     -0.00048
  0.68     -0.00066
  0.70     -0.00089
  0.72     -0.00115
  0.74     -0.00146
  0.76     -0.00180
  0.78     -0.00217
  0.80     -0.00256
  0.82     -0.00298
  0.84     -0.00341
  0.86     -0.00385
  0.88     -0.00431
  0.90     -0.00477
  0.92     -0.00524
  0.94     -0.00571
  0.96     -0.00619
  0.98     -0.00666
  1.00     -0.00714
  1.02     -0.00762
  1.04     -0.00811
  1.06     -0.00859
  1.08     -0.00907
  1.10     -0.00956
  1.12     -0.01004
  1.14     -0.01053
  1.16     -0.01102
  1.18     -0.01150
  1.20     -0.01199
  1.22     -0.01248
  1.24     -0.01297
  1.26     -0.01346
  1.28     -0.01395
  1.30     -0.01444
  1.32     -0.01493
  1.34     -0.01542
  1.36     -0.01591
  1.38     -0.01640
  1.40     -0.01689
  1.42     -0.01738
  1.44     -0.01787
  1.46     -0.01836
  1.48     -0.01886
  1.50     -0.01935
  1.52     -0.01984
  1.54     -0.02034
  1.56     -0.02083
  1.58     -0.02132
  1.60     -0.02182
  1.62     -0.02232
  1.64     -0.02282
  1.66     -0.02332
  1.68     -0.02382
  1.70     -0.02433
  1.72     -0.02484
  1.74     -0.02536
  1.76     -0.02588
  1.78     -0.02642
  1.80     -0.02695
  1.82     -0.02750
  1.84     -0.02805
  1.86     -0.02861
  1.88     -0.02918
  1.90     -0.02976
  1.92     -0.03034
  1.94     -0.03094
  1.96     -0.03154
  1.98     -0.03215
  2.00     -0.03277
  2.02     -0.03340
  2.04     -0.03403
  2.06     -0.03466
  2.08     -0.03530
  2.10     -0.03594
  2.12     -0.03658
  2.14     -0.03722
  2.16     -0.03787
  2.18     -0.03851
  2.20     -0.03916
  2.22     -0.03981
  2.24     -0.04046
  2.26     -0.04111
  2.28     -0.04176
  2.30     -0.04242
  2.32     -0.04307
  2.34     -0.04372
  2.36     -0.04438
  2.38     -0.04458
  2.40     -0.04434
  2.42     -0.04299
  2.44     -0.04122
