 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00001     -0.00001
  0.24      0.00000      0.00001     -0.00001
  0.26      0.00000      0.00002     -0.00002
  0.28      0.00000      0.00002     -0.00002
  0.30      0.00000      0.00004     -0.00004
  0.32      0.00000      0.00005     -0.00005
  0.34      0.00000      0.00007     -0.00007
  0.36      0.00000      0.00009     -0.00009
  0.38      0.00000      0.00011     -0.00011
  0.40      0.00000      0.00014     -0.00014
  0.42      0.00000      0.00017     -0.00017
  0.44      0.00000      0.00021     -0.00021
  0.46      0.00000      0.00025     -0.00025
  0.48      0.00000      0.00029     -0.00029
  0.50      0.00000      0.00034     -0.00034
  0.52      0.00000      0.00039     -0.00039
  0.54      0.00000      0.00045     -0.00045
  0.56      0.00000      0.00052     -0.00052
  0.58      0.00000      0.00059     -0.00059
  0.60      0.00000      0.00067     -0.00067
  0.62      0.00000      0.00076     -0.00076
  0.64      0.00000      0.00089     -0.00089
  0.66      0.00000      0.00104     -0.00104
  0.68      0.00000      0.00123     -0.00123
  0.70      0.00000      0.00147     -0.00147
  0.72      0.00000      0.00176     -0.00176
  0.74      0.00000      0.00210     -0.00210
  0.76      0.00000      0.00249     -0.00249
  0.78      0.00000      0.00292     -0.00292
  0.80      0.00000      0.00339     -0.00339
  0.82      0.00000      0.00388     -0.00388
  0.84      0.00000      0.00439     -0.00439
  0.86      0.00000      0.00492     -0.00492
  0.88      0.00000      0.00546     -0.00546
  0.90      0.00000      0.00600     -0.00600
  0.92      0.00000      0.00655     -0.00655
  0.94      0.00000      0.00710     -0.00710
  0.96      0.00000      0.00765     -0.00765
  0.98      0.00000      0.00820     -0.00820
  1.00      0.00000      0.00876     -0.00876
  1.02      0.00000      0.00931     -0.00931
  1.04      0.00000      0.00986     -0.00986
  1.06      0.00000      0.01042     -0.01042
  1.08      0.00000      0.01097     -0.01097
  1.10      0.00000      0.01153     -0.01153
  1.12      0.00000      0.01208     -0.01208
  1.14      0.00000      0.01264     -0.01264
  1.16      0.00000      0.01319     -0.01319
  1.18      0.00000      0.01375     -0.01375
  1.20      0.00000      0.01430     -0.01430
  1.22      0.00000      0.01486     -0.01486
  1.24      0.00000      0.01542     -0.01542
  1.26      0.00000      0.01598     -0.01598
  1.28      0.00000      0.01653     -0.01653
  1.30      0.00000      0.01709     -0.01709
  1.32      0.00000      0.01765     -0.01765
  1.34      0.00000      0.01821     -0.01821
  1.36      0.00000      0.01877     -0.01877
  1.38      0.00000      0.01933     -0.01933
  1.40      0.00000      0.01989     -0.01989
  1.42      0.00000      0.02046     -0.02046
  1.44      0.00000      0.02102     -0.02102
  1.46      0.00000      0.02159     -0.02159
  1.48      0.00000      0.02215     -0.02215
  1.50      0.00000      0.02272     -0.02272
  1.52      0.00000      0.02329     -0.02329
  1.54      0.00000      0.02386     -0.02386
  1.56      0.00000      0.02443     -0.02443
  1.58      0.00000      0.02500     -0.02500
  1.60      0.00000      0.02558     -0.02558
  1.62      0.00000      0.02615     -0.02615
  1.64      0.00000      0.02673     -0.02673
  1.66      0.00000      0.02731     -0.02731
  1.68      0.00000      0.02790     -0.02790
  1.70      0.00000      0.02848     -0.02848
  1.72      0.00000      0.02907     -0.02907
  1.74      0.00000      0.02967     -0.02967
  1.76      0.00000      0.03027     -0.03027
  1.78      0.00000      0.03088     -0.03088
  1.80      0.00000      0.03150     -0.03150
  1.82      0.00000      0.03213     -0.03213
  1.84      0.00000      0.03277     -0.03277
  1.86      0.00000      0.03343     -0.03343
  1.88      0.00000      0.03409     -0.03409
  1.90      0.00000      0.03477     -0.03477
  1.92      0.00000      0.03546     -0.03546
  1.94      0.00000      0.03617     -0.03617
  1.96      0.00000      0.03688     -0.03688
  1.98      0.00000      0.03760     -0.03760
  2.00      0.00000      0.03833     -0.03833
  2.02      0.00000      0.03906     -0.03906
  2.04      0.00000      0.03980     -0.03980
  2.06      0.00000      0.04054     -0.04054
  2.08      0.00000      0.04128     -0.04122
  2.10      0.00000      0.04203     -0.04113
  2.12      0.00034      0.04278     -0.04162
  2.14      0.00415      0.04354     -0.04134
  2.16      0.00133      0.04429     -0.04085
  2.18      0.00514      0.04505     -0.03942
  2.20      0.00622      0.04581     -0.03787
  2.22      0.01129      0.04657     -0.03567
  2.24      0.01570      0.04733     -0.03297
  2.26      0.01613      0.04809     -0.03030
  2.28      0.02244      0.04884     -0.02685
