 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00001     -0.00001
  0.38      0.00000      0.00001     -0.00001
  0.40      0.00000      0.00002     -0.00002
  0.42      0.00000      0.00004     -0.00004
  0.44      0.00000      0.00006     -0.00006
  0.46      0.00000      0.00009     -0.00009
  0.48      0.00000      0.00013     -0.00013
  0.50      0.00000      0.00018     -0.00018
  0.52      0.00000      0.00024     -0.00024
  0.54      0.00000      0.00032     -0.00032
  0.56      0.00000      0.00042     -0.00042
  0.58      0.00000      0.00053     -0.00053
  0.60      0.00000      0.00067     -0.00067
  0.62      0.00000      0.00083     -0.00083
  0.64      0.00000      0.00102     -0.00102
  0.66      0.00000      0.00123     -0.00123
  0.68      0.00000      0.00147     -0.00147
  0.70      0.00000      0.00173     -0.00173
  0.72      0.00000      0.00202     -0.00202
  0.74      0.00000      0.00233     -0.00233
  0.76      0.00000      0.00266     -0.00266
  0.78      0.00000      0.00301     -0.00301
  0.80      0.00000      0.00338     -0.00338
  0.82      0.00000      0.00375     -0.00375
  0.84      0.00000      0.00413     -0.00413
  0.86      0.00000      0.00452     -0.00452
  0.88      0.00000      0.00492     -0.00492
  0.90      0.00000      0.00532     -0.00532
  0.92      0.00000      0.00572     -0.00572
  0.94      0.00000      0.00612     -0.00612
  0.96      0.00000      0.00653     -0.00653
  0.98      0.00000      0.00694     -0.00694
  1.00      0.00000      0.00735     -0.00735
  1.02      0.00000      0.00776     -0.00776
  1.04      0.00000      0.00817     -0.00817
  1.06      0.00000      0.00858     -0.00858
  1.08      0.00000      0.00900     -0.00900
  1.10      0.00000      0.00941     -0.00941
  1.12      0.00000      0.00982     -0.00982
  1.14      0.00000      0.01024     -0.01024
  1.16      0.00000      0.01065     -0.01065
  1.18      0.00000      0.01107     -0.01107
  1.20      0.00000      0.01148     -0.01148
  1.22      0.00000      0.01190     -0.01190
  1.24      0.00000      0.01232     -0.01232
  1.26      0.00000      0.01273     -0.01273
  1.28      0.00000      0.01315     -0.01315
  1.30      0.00000      0.01357     -0.01357
  1.32      0.00000      0.01399     -0.01399
  1.34      0.00000      0.01441     -0.01441
  1.36      0.00000      0.01483     -0.01483
  1.38      0.00000      0.01525     -0.01525
  1.40      0.00000      0.01568     -0.01568
  1.42      0.00000      0.01610     -0.01610
  1.44      0.00000      0.01653     -0.01653
  1.46      0.00000      0.01696     -0.01696
  1.48      0.00000      0.01740     -0.01740
  1.50      0.00000      0.01783     -0.01783
  1.52      0.00000      0.01828     -0.01828
  1.54      0.00000      0.01872     -0.01872
  1.56      0.00000      0.01917     -0.01917
  1.58      0.00000      0.01962     -0.01962
  1.60      0.00000      0.02008     -0.02008
  1.62      0.00000      0.02054     -0.02054
  1.64      0.00000      0.02100     -0.02100
  1.66      0.00000      0.02147     -0.02147
  1.68      0.00000      0.02194     -0.02194
  1.70      0.00000      0.02241     -0.02241
  1.72      0.00000      0.02289     -0.02289
  1.74      0.00000      0.02337     -0.02337
  1.76      0.00000      0.02386     -0.02386
  1.78      0.00000      0.02435     -0.02435
  1.80      0.00000      0.02484     -0.02484
  1.82      0.00000      0.02534     -0.02534
  1.84      0.00000      0.02585     -0.02585
  1.86      0.00000      0.02636     -0.02636
  1.88      0.00000      0.02687     -0.02687
  1.90      0.00000      0.02739     -0.02739
  1.92      0.00000      0.02791     -0.02791
  1.94      0.00000      0.02843     -0.02843
  1.96      0.00000      0.02896     -0.02896
  1.98      0.00000      0.02948     -0.02948
  2.00      0.00000      0.03002     -0.03002
  2.02      0.00000      0.03055     -0.03055
  2.04      0.00000      0.03109     -0.03109
  2.06      0.00000      0.03163     -0.03163
  2.08      0.00000      0.03217     -0.03217
  2.10      0.00000      0.03271     -0.03271
  2.12      0.00000      0.03326     -0.03326
  2.14      0.00000      0.03380     -0.03380
  2.16      0.00000      0.03435     -0.03435
  2.18      0.00000      0.03490     -0.03490
  2.20      0.00000      0.03546     -0.03537
  2.22      0.00000      0.03602     -0.03579
  2.24      0.00046      0.03658     -0.03622
  2.26      0.00068      0.03716     -0.03630
  2.28      0.00068      0.03774     -0.03569
