 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00001     -0.00001
  0.26      0.00000      0.00001     -0.00001
  0.28      0.00000      0.00002     -0.00002
  0.30      0.00000      0.00003     -0.00003
  0.32      0.00000      0.00004     -0.00004
  0.34      0.00000      0.00005     -0.00005
  0.36      0.00000      0.00007     -0.00007
  0.38      0.00000      0.00009     -0.00009
  0.40      0.00000      0.00012     -0.00012
  0.42      0.00000      0.00015     -0.00015
  0.44      0.00000      0.00018     -0.00018
  0.46      0.00000      0.00022     -0.00022
  0.48      0.00000      0.00026     -0.00026
  0.50      0.00000      0.00030     -0.00030
  0.52      0.00000      0.00035     -0.00035
  0.54      0.00000      0.00040     -0.00040
  0.56      0.00000      0.00046     -0.00046
  0.58      0.00000      0.00052     -0.00052
  0.60      0.00000      0.00060     -0.00060
  0.62      0.00000      0.00069     -0.00069
  0.64      0.00000      0.00081     -0.00081
  0.66      0.00000      0.00096     -0.00096
  0.68      0.00000      0.00114     -0.00114
  0.70      0.00000      0.00137     -0.00137
  0.72      0.00000      0.00164     -0.00164
  0.74      0.00000      0.00195     -0.00195
  0.76      0.00000      0.00231     -0.00231
  0.78      0.00000      0.00270     -0.00270
  0.80      0.00000      0.00313     -0.00313
  0.82      0.00000      0.00358     -0.00358
  0.84      0.00000      0.00405     -0.00405
  0.86      0.00000      0.00453     -0.00453
  0.88      0.00000      0.00502     -0.00502
  0.90      0.00000      0.00551     -0.00551
  0.92      0.00000      0.00601     -0.00601
  0.94      0.00000      0.00651     -0.00651
  0.96      0.00000      0.00701     -0.00701
  0.98      0.00000      0.00752     -0.00752
  1.00      0.00000      0.00802     -0.00802
  1.02      0.00000      0.00853     -0.00853
  1.04      0.00000      0.00904     -0.00904
  1.06      0.00000      0.00954     -0.00954
  1.08      0.00000      0.01005     -0.01005
  1.10      0.00000      0.01056     -0.01056
  1.12      0.00000      0.01107     -0.01107
  1.14      0.00000      0.01157     -0.01157
  1.16      0.00000      0.01208     -0.01208
  1.18      0.00000      0.01259     -0.01259
  1.20      0.00000      0.01310     -0.01310
  1.22      0.00000      0.01361     -0.01361
  1.24      0.00000      0.01412     -0.01412
  1.26      0.00000      0.01463     -0.01463
  1.28      0.00000      0.01514     -0.01514
  1.30      0.00000      0.01565     -0.01565
  1.32      0.00000      0.01616     -0.01616
  1.34      0.00000      0.01668     -0.01668
  1.36      0.00000      0.01719     -0.01719
  1.38      0.00000      0.01770     -0.01770
  1.40      0.00000      0.01822     -0.01822
  1.42      0.00000      0.01873     -0.01873
  1.44      0.00000      0.01925     -0.01925
  1.46      0.00000      0.01976     -0.01976
  1.48      0.00000      0.02028     -0.02028
  1.50      0.00000      0.02080     -0.02080
  1.52      0.00000      0.02132     -0.02132
  1.54      0.00000      0.02184     -0.02184
  1.56      0.00000      0.02236     -0.02236
  1.58      0.00000      0.02288     -0.02288
  1.60      0.00000      0.02341     -0.02341
  1.62      0.00000      0.02393     -0.02393
  1.64      0.00000      0.02446     -0.02446
  1.66      0.00000      0.02499     -0.02499
  1.68      0.00000      0.02552     -0.02552
  1.70      0.00000      0.02605     -0.02605
  1.72      0.00000      0.02659     -0.02659
  1.74      0.00000      0.02714     -0.02714
  1.76      0.00000      0.02769     -0.02769
  1.78      0.00000      0.02825     -0.02825
  1.80      0.00000      0.02882     -0.02882
  1.82      0.00000      0.02940     -0.02940
  1.84      0.00000      0.03000     -0.03000
  1.86      0.00000      0.03060     -0.03060
  1.88      0.00000      0.03122     -0.03122
  1.90      0.00000      0.03185     -0.03185
  1.92      0.00000      0.03249     -0.03249
  1.94      0.00000      0.03313     -0.03313
  1.96      0.00000      0.03379     -0.03379
  1.98      0.00000      0.03445     -0.03445
  2.00      0.00000      0.03512     -0.03512
  2.02      0.00000      0.03579     -0.03579
  2.04      0.00000      0.03646     -0.03646
  2.06      0.00000      0.03714     -0.03714
  2.08      0.00000      0.03783     -0.03777
  2.10      0.00000      0.03851     -0.03836
  2.12      0.00026      0.03920     -0.03859
  2.14      0.00051      0.03989     -0.03872
  2.16      0.00229      0.04059     -0.03816
  2.18      0.00278      0.04128     -0.03747
  2.20      0.00626      0.04198     -0.03576
  2.22      0.00720      0.04268     -0.03424
  2.24      0.01256      0.04338     -0.03116
  2.26      0.01342      0.04408     -0.02747
  2.28      0.02167      0.04478     -0.02375
