 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06     -0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00002
  0.30     -0.00002
  0.32     -0.00003
  0.34     -0.00004
  0.36     -0.00006
  0.38     -0.00007
  0.40     -0.00009
  0.42     -0.00011
  0.44     -0.00014
  0.46     -0.00016
  0.48     -0.00019
  0.50     -0.00022
  0.52     -0.00025
  0.54     -0.00028
  0.56     -0.00032
  0.58     -0.00036
  0.60     -0.00041
  0.62     -0.00048
  0.64     -0.00057
  0.66     -0.00068
  0.68     -0.00083
  0.70     -0.00103
  0.72     -0.00128
  0.74     -0.00159
  0.76     -0.00195
  0.78     -0.00235
  0.80     -0.00278
  0.82     -0.00325
  0.84     -0.00373
  0.86     -0.00423
  0.88     -0.00474
  0.90     -0.00525
  0.92     -0.00577
  0.94     -0.00629
  0.96     -0.00682
  0.98     -0.00734
  1.00     -0.00787
  1.02     -0.00839
  1.04     -0.00892
  1.06     -0.00945
  1.08     -0.00998
  1.10     -0.01051
  1.12     -0.01103
  1.14     -0.01157
  1.16     -0.01210
  1.18     -0.01263
  1.20     -0.01316
  1.22     -0.01369
  1.24     -0.01422
  1.26     -0.01476
  1.28     -0.01529
  1.30     -0.01582
  1.32     -0.01636
  1.34     -0.01689
  1.36     -0.01743
  1.38     -0.01796
  1.40     -0.01850
  1.42     -0.01904
  1.44     -0.01957
  1.46     -0.02011
  1.48     -0.02065
  1.50     -0.02119
  1.52     -0.02173
  1.54     -0.02227
  1.56     -0.02281
  1.58     -0.02335
  1.60     -0.02389
  1.62     -0.02444
  1.64     -0.02498
  1.66     -0.02553
  1.68     -0.02608
  1.70     -0.02663
  1.72     -0.02718
  1.74     -0.02774
  1.76     -0.02831
  1.78     -0.02888
  1.80     -0.02946
  1.82     -0.03005
  1.84     -0.03066
  1.86     -0.03128
  1.88     -0.03191
  1.90     -0.03256
  1.92     -0.03322
  1.94     -0.03390
  1.96     -0.03458
  1.98     -0.03528
  2.00     -0.03598
  2.02     -0.03656
  2.04     -0.03727
  2.06     -0.03793
  2.08     -0.03865
  2.10     -0.03928
  2.12     -0.04000
  2.14     -0.04014
  2.16     -0.04028
  2.18     -0.03949
  2.20     -0.03794
  2.22     -0.03653
  2.24     -0.03415
  2.26     -0.03176
  2.28     -0.02984
  2.30     -0.02785
  2.32     -0.02631
  2.34     -0.02655
  2.36     -0.02720
  2.38     -0.02744
  2.40     -0.02776
  2.42     -0.02777
