 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00001
  0.30     -0.00002
  0.32     -0.00003
  0.34     -0.00004
  0.36     -0.00006
  0.38     -0.00008
  0.40     -0.00010
  0.42     -0.00012
  0.44     -0.00015
  0.46     -0.00018
  0.48     -0.00022
  0.50     -0.00026
  0.52     -0.00031
  0.54     -0.00035
  0.56     -0.00040
  0.58     -0.00046
  0.60     -0.00052
  0.62     -0.00060
  0.64     -0.00069
  0.66     -0.00081
  0.68     -0.00097
  0.70     -0.00117
  0.72     -0.00143
  0.74     -0.00175
  0.76     -0.00211
  0.78     -0.00253
  0.80     -0.00297
  0.82     -0.00344
  0.84     -0.00392
  0.86     -0.00441
  0.88     -0.00490
  0.90     -0.00539
  0.92     -0.00588
  0.94     -0.00638
  0.96     -0.00687
  0.98     -0.00737
  1.00     -0.00786
  1.02     -0.00836
  1.04     -0.00886
  1.06     -0.00935
  1.08     -0.00985
  1.10     -0.01035
  1.12     -0.01084
  1.14     -0.01134
  1.16     -0.01184
  1.18     -0.01233
  1.20     -0.01283
  1.22     -0.01333
  1.24     -0.01383
  1.26     -0.01433
  1.28     -0.01483
  1.30     -0.01533
  1.32     -0.01583
  1.34     -0.01633
  1.36     -0.01683
  1.38     -0.01733
  1.40     -0.01783
  1.42     -0.01834
  1.44     -0.01884
  1.46     -0.01935
  1.48     -0.01985
  1.50     -0.02036
  1.52     -0.02087
  1.54     -0.02138
  1.56     -0.02189
  1.58     -0.02240
  1.60     -0.02291
  1.62     -0.02342
  1.64     -0.02394
  1.66     -0.02445
  1.68     -0.02497
  1.70     -0.02549
  1.72     -0.02601
  1.74     -0.02654
  1.76     -0.02708
  1.78     -0.02762
  1.80     -0.02816
  1.82     -0.02873
  1.84     -0.02930
  1.86     -0.02989
  1.88     -0.03048
  1.90     -0.03110
  1.92     -0.03172
  1.94     -0.03235
  1.96     -0.03300
  1.98     -0.03365
  2.00     -0.03430
  2.02     -0.03496
  2.04     -0.03562
  2.06     -0.03624
  2.08     -0.03680
  2.10     -0.03727
  2.12     -0.03745
  2.14     -0.03783
  2.16     -0.03769
  2.18     -0.03727
  2.20     -0.03663
  2.22     -0.03587
  2.24     -0.03321
  2.26     -0.03075
  2.28     -0.02851
  2.30     -0.02546
  2.32     -0.02111
  2.34     -0.01789
  2.36     -0.01641
  2.38     -0.01440
  2.40     -0.01219
  2.42     -0.01174
