 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00001
  0.24     -0.00001
  0.26     -0.00002
  0.28     -0.00002
  0.30     -0.00004
  0.32     -0.00005
  0.34     -0.00007
  0.36     -0.00009
  0.38     -0.00012
  0.40     -0.00014
  0.42     -0.00017
  0.44     -0.00021
  0.46     -0.00024
  0.48     -0.00028
  0.50     -0.00032
  0.52     -0.00037
  0.54     -0.00041
  0.56     -0.00046
  0.58     -0.00051
  0.60     -0.00058
  0.62     -0.00065
  0.64     -0.00075
  0.66     -0.00088
  0.68     -0.00106
  0.70     -0.00129
  0.72     -0.00159
  0.74     -0.00193
  0.76     -0.00234
  0.78     -0.00278
  0.80     -0.00325
  0.82     -0.00375
  0.84     -0.00426
  0.86     -0.00478
  0.88     -0.00531
  0.90     -0.00584
  0.92     -0.00638
  0.94     -0.00692
  0.96     -0.00746
  0.98     -0.00800
  1.00     -0.00854
  1.02     -0.00908
  1.04     -0.00962
  1.06     -0.01016
  1.08     -0.01071
  1.10     -0.01125
  1.12     -0.01180
  1.14     -0.01235
  1.16     -0.01289
  1.18     -0.01344
  1.20     -0.01399
  1.22     -0.01454
  1.24     -0.01509
  1.26     -0.01564
  1.28     -0.01619
  1.30     -0.01674
  1.32     -0.01730
  1.34     -0.01785
  1.36     -0.01840
  1.38     -0.01896
  1.40     -0.01951
  1.42     -0.02007
  1.44     -0.02062
  1.46     -0.02118
  1.48     -0.02174
  1.50     -0.02230
  1.52     -0.02286
  1.54     -0.02342
  1.56     -0.02398
  1.58     -0.02454
  1.60     -0.02510
  1.62     -0.02567
  1.64     -0.02623
  1.66     -0.02680
  1.68     -0.02737
  1.70     -0.02794
  1.72     -0.02852
  1.74     -0.02911
  1.76     -0.02970
  1.78     -0.03030
  1.80     -0.03091
  1.82     -0.03153
  1.84     -0.03217
  1.86     -0.03282
  1.88     -0.03349
  1.90     -0.03417
  1.92     -0.03487
  1.94     -0.03558
  1.96     -0.03629
  1.98     -0.03702
  2.00     -0.03775
  2.02     -0.03848
  2.04     -0.03917
  2.06     -0.03991
  2.08     -0.04052
  2.10     -0.04116
  2.12     -0.04155
  2.14     -0.04145
  2.16     -0.04061
  2.18     -0.03933
  2.20     -0.03707
  2.22     -0.03404
  2.24     -0.02996
  2.26     -0.02615
  2.28     -0.02247
  2.30     -0.02007
  2.32     -0.01897
  2.34     -0.01902
  2.36     -0.01992
  2.38     -0.02099
  2.40     -0.02231
  2.42     -0.02305
