 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00001
  0.32     -0.00002
  0.34     -0.00004
  0.36     -0.00007
  0.38     -0.00012
  0.40     -0.00020
  0.42     -0.00032
  0.44     -0.00049
  0.46     -0.00070
  0.48     -0.00096
  0.50     -0.00126
  0.52     -0.00160
  0.54     -0.00197
  0.56     -0.00235
  0.58     -0.00274
  0.60     -0.00314
  0.62     -0.00354
  0.64     -0.00394
  0.66     -0.00434
  0.68     -0.00475
  0.70     -0.00515
  0.72     -0.00556
  0.74     -0.00596
  0.76     -0.00637
  0.78     -0.00677
  0.80     -0.00717
  0.82     -0.00758
  0.84     -0.00798
  0.86     -0.00839
  0.88     -0.00879
  0.90     -0.00920
  0.92     -0.00960
  0.94     -0.01001
  0.96     -0.01041
  0.98     -0.01081
  1.00     -0.01122
  1.02     -0.01162
  1.04     -0.01203
  1.06     -0.01243
  1.08     -0.01284
  1.10     -0.01324
  1.12     -0.01365
  1.14     -0.01405
  1.16     -0.01445
  1.18     -0.01486
  1.20     -0.01526
  1.22     -0.01567
  1.24     -0.01607
  1.26     -0.01648
  1.28     -0.01688
  1.30     -0.01729
  1.32     -0.01769
  1.34     -0.01810
  1.36     -0.01851
  1.38     -0.01892
  1.40     -0.01934
  1.42     -0.01976
  1.44     -0.02020
  1.46     -0.02065
  1.48     -0.02111
  1.50     -0.02159
  1.52     -0.02209
  1.54     -0.02259
  1.56     -0.02311
  1.58     -0.02364
  1.60     -0.02417
  1.62     -0.02470
  1.64     -0.02524
  1.66     -0.02578
  1.68     -0.02632
  1.70     -0.02686
  1.72     -0.02740
  1.74     -0.02794
  1.76     -0.02848
  1.78     -0.02902
  1.80     -0.02956
  1.82     -0.03010
  1.84     -0.03064
  1.86     -0.03118
  1.88     -0.03171
  1.90     -0.03225
  1.92     -0.03279
  1.94     -0.03333
  1.96     -0.03387
  1.98     -0.03441
  2.00     -0.03495
  2.02     -0.03549
  2.04     -0.03603
  2.06     -0.03657
  2.08     -0.03711
  2.10     -0.03765
  2.12     -0.03820
  2.14     -0.03875
  2.16     -0.03930
  2.18     -0.03988
  2.20     -0.04020
  2.22     -0.03949
  2.24     -0.03855
  2.26     -0.03191
  2.28     -0.02266
  2.30     -0.00685
  2.32      0.01985
  2.34      0.05807
  2.36      0.10928
  2.38      0.17778
  2.40      0.24856
  2.42      0.31577
  2.44      0.37497
