 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56     -0.00000
  0.58     -0.00001
  0.60     -0.00001
  0.62     -0.00003
  0.64     -0.00006
  0.66     -0.00014
  0.68     -0.00026
  0.70     -0.00046
  0.72     -0.00071
  0.74     -0.00101
  0.76     -0.00135
  0.78     -0.00174
  0.80     -0.00215
  0.82     -0.00259
  0.84     -0.00305
  0.86     -0.00353
  0.88     -0.00401
  0.90     -0.00450
  0.92     -0.00498
  0.94     -0.00547
  0.96     -0.00596
  0.98     -0.00645
  1.00     -0.00694
  1.02     -0.00743
  1.04     -0.00791
  1.06     -0.00840
  1.08     -0.00889
  1.10     -0.00938
  1.12     -0.00987
  1.14     -0.01036
  1.16     -0.01085
  1.18     -0.01134
  1.20     -0.01183
  1.22     -0.01232
  1.24     -0.01281
  1.26     -0.01330
  1.28     -0.01379
  1.30     -0.01428
  1.32     -0.01477
  1.34     -0.01526
  1.36     -0.01575
  1.38     -0.01624
  1.40     -0.01673
  1.42     -0.01722
  1.44     -0.01771
  1.46     -0.01820
  1.48     -0.01869
  1.50     -0.01918
  1.52     -0.01967
  1.54     -0.02016
  1.56     -0.02065
  1.58     -0.02114
  1.60     -0.02163
  1.62     -0.02212
  1.64     -0.02262
  1.66     -0.02311
  1.68     -0.02360
  1.70     -0.02410
  1.72     -0.02460
  1.74     -0.02511
  1.76     -0.02562
  1.78     -0.02614
  1.80     -0.02666
  1.82     -0.02720
  1.84     -0.02774
  1.86     -0.02829
  1.88     -0.02886
  1.90     -0.02945
  1.92     -0.03005
  1.94     -0.03066
  1.96     -0.03129
  1.98     -0.03193
  2.00     -0.03257
  2.02     -0.03322
  2.04     -0.03387
  2.06     -0.03452
  2.08     -0.03517
  2.10     -0.03582
  2.12     -0.03647
  2.14     -0.03712
  2.16     -0.03777
  2.18     -0.03842
  2.20     -0.03908
  2.22     -0.03973
  2.24     -0.04038
  2.26     -0.04103
  2.28     -0.04168
  2.30     -0.04233
  2.32     -0.04298
  2.34     -0.04363
  2.36     -0.04428
  2.38     -0.04494
  2.40     -0.04559
  2.42     -0.04624
  2.44     -0.04689
  2.46     -0.04754
