 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000      0.00000
  0.30      0.00000      0.00000      0.00000
  0.32      0.00000      0.00000      0.00000
  0.34      0.00000      0.00000      0.00000
  0.36      0.00000      0.00000      0.00000
  0.38      0.00000      0.00000      0.00000
  0.40      0.00000      0.00000      0.00000
  0.42      0.00000      0.00000      0.00000
  0.44      0.00000      0.00000     -0.00000
  0.46      0.00000      0.00000     -0.00000
  0.48      0.00000      0.00000     -0.00000
  0.50      0.00000      0.00000     -0.00000
  0.52      0.00000      0.00000     -0.00000
  0.54      0.00000      0.00000     -0.00000
  0.56      0.00000      0.00001     -0.00001
  0.58      0.00000      0.00001     -0.00001
  0.60      0.00000      0.00002     -0.00002
  0.62      0.00000      0.00004     -0.00004
  0.64      0.00000      0.00008     -0.00008
  0.66      0.00000      0.00015     -0.00015
  0.68      0.00000      0.00025     -0.00025
  0.70      0.00000      0.00040     -0.00040
  0.72      0.00000      0.00060     -0.00060
  0.74      0.00000      0.00085     -0.00085
  0.76      0.00000      0.00117     -0.00117
  0.78      0.00000      0.00153     -0.00153
  0.80      0.00000      0.00193     -0.00193
  0.82      0.00000      0.00237     -0.00237
  0.84      0.00000      0.00282     -0.00282
  0.86      0.00000      0.00329     -0.00329
  0.88      0.00000      0.00377     -0.00377
  0.90      0.00000      0.00426     -0.00426
  0.92      0.00000      0.00475     -0.00475
  0.94      0.00000      0.00523     -0.00523
  0.96      0.00000      0.00572     -0.00572
  0.98      0.00000      0.00621     -0.00621
  1.00      0.00000      0.00670     -0.00670
  1.02      0.00000      0.00719     -0.00719
  1.04      0.00000      0.00768     -0.00768
  1.06      0.00000      0.00817     -0.00817
  1.08      0.00000      0.00866     -0.00866
  1.10      0.00000      0.00915     -0.00915
  1.12      0.00000      0.00964     -0.00964
  1.14      0.00000      0.01013     -0.01013
  1.16      0.00000      0.01062     -0.01062
  1.18      0.00000      0.01111     -0.01111
  1.20      0.00000      0.01160     -0.01160
  1.22      0.00000      0.01209     -0.01209
  1.24      0.00000      0.01258     -0.01258
  1.26      0.00000      0.01307     -0.01307
  1.28      0.00000      0.01356     -0.01356
  1.30      0.00000      0.01405     -0.01405
  1.32      0.00000      0.01454     -0.01454
  1.34      0.00000      0.01503     -0.01503
  1.36      0.00000      0.01552     -0.01552
  1.38      0.00000      0.01601     -0.01601
  1.40      0.00000      0.01650     -0.01650
  1.42      0.00000      0.01699     -0.01699
  1.44      0.00000      0.01748     -0.01748
  1.46      0.00000      0.01797     -0.01797
  1.48      0.00000      0.01846     -0.01846
  1.50      0.00000      0.01895     -0.01895
  1.52      0.00000      0.01944     -0.01944
  1.54      0.00000      0.01993     -0.01993
  1.56      0.00000      0.02042     -0.02042
  1.58      0.00000      0.02092     -0.02092
  1.60      0.00000      0.02141     -0.02141
  1.62      0.00000      0.02190     -0.02190
  1.64      0.00000      0.02239     -0.02239
  1.66      0.00000      0.02288     -0.02288
  1.68      0.00000      0.02337     -0.02337
  1.70      0.00000      0.02386     -0.02386
  1.72      0.00000      0.02436     -0.02436
  1.74      0.00000      0.02485     -0.02485
  1.76      0.00000      0.02535     -0.02535
  1.78      0.00000      0.02586     -0.02586
  1.80      0.00000      0.02637     -0.02637
  1.82      0.00000      0.02690     -0.02690
  1.84      0.00000      0.02744     -0.02744
  1.86      0.00000      0.02798     -0.02798
  1.88      0.00000      0.02855     -0.02855
  1.90      0.00000      0.02913     -0.02913
  1.92      0.00000      0.02973     -0.02973
  1.94      0.00000      0.03034     -0.03034
  1.96      0.00000      0.03096     -0.03096
  1.98      0.00000      0.03159     -0.03159
  2.00      0.00000      0.03223     -0.03223
  2.02      0.00000      0.03287     -0.03287
  2.04      0.00000      0.03352     -0.03352
  2.06      0.00000      0.03417     -0.03417
  2.08      0.00000      0.03482     -0.03482
  2.10      0.00000      0.03547     -0.03547
  2.12      0.00000      0.03612     -0.03612
  2.14      0.00000      0.03677     -0.03677
  2.16      0.00000      0.03743     -0.03743
  2.18      0.00000      0.03808     -0.03808
  2.20      0.00000      0.03873     -0.03873
  2.22      0.00000      0.03938     -0.03938
  2.24      0.00000      0.04003     -0.04003
  2.26      0.00000      0.04068     -0.04068
  2.28      0.00000      0.04133     -0.04133
  2.30      0.00000      0.04199     -0.04199
