 #r(A)        G(r)
  0.02     -0.00000
  0.04     -0.00000
  0.06     -0.00000
  0.08     -0.00000
  0.10     -0.00001
  0.12     -0.00001
  0.14     -0.00002
  0.16     -0.00003
  0.18     -0.00006
  0.20     -0.00010
  0.22     -0.00016
  0.24     -0.00024
  0.26     -0.00035
  0.28     -0.00049
  0.30     -0.00065
  0.32     -0.00085
  0.34     -0.00107
  0.36     -0.00133
  0.38     -0.00161
  0.40     -0.00193
  0.42     -0.00227
  0.44     -0.00263
  0.46     -0.00301
  0.48     -0.00340
  0.50     -0.00381
  0.52     -0.00424
  0.54     -0.00468
  0.56     -0.00513
  0.58     -0.00559
  0.60     -0.00606
  0.62     -0.00654
  0.64     -0.00702
  0.66     -0.00752
  0.68     -0.00802
  0.70     -0.00853
  0.72     -0.00904
  0.74     -0.00956
  0.76     -0.01009
  0.78     -0.01062
  0.80     -0.01115
  0.82     -0.01169
  0.84     -0.01224
  0.86     -0.01279
  0.88     -0.01334
  0.90     -0.01389
  0.92     -0.01445
  0.94     -0.01501
  0.96     -0.01557
  0.98     -0.01613
  1.00     -0.01670
  1.02     -0.01727
  1.04     -0.01785
  1.06     -0.01842
  1.08     -0.01900
  1.10     -0.01959
  1.12     -0.02018
  1.14     -0.02077
  1.16     -0.02136
  1.18     -0.02195
  1.20     -0.02255
  1.22     -0.02315
  1.24     -0.02376
  1.26     -0.02436
  1.28     -0.02497
  1.30     -0.02558
  1.32     -0.02620
  1.34     -0.02681
  1.36     -0.02744
  1.38     -0.02806
  1.40     -0.02869
  1.42     -0.02932
  1.44     -0.02996
  1.46     -0.03060
  1.48     -0.03124
  1.50     -0.03189
  1.52     -0.03254
  1.54     -0.03320
  1.56     -0.03385
  1.58     -0.03452
  1.60     -0.03518
  1.62     -0.03586
  1.64     -0.03653
  1.66     -0.03721
  1.68     -0.03790
  1.70     -0.03859
  1.72     -0.03929
  1.74     -0.03999
  1.76     -0.04070
  1.78     -0.04142
  1.80     -0.04214
  1.82     -0.04287
  1.84     -0.04361
  1.86     -0.04436
  1.88     -0.04512
  1.90     -0.04590
  1.92     -0.04668
  1.94     -0.04748
  1.96     -0.04828
  1.98     -0.04711
  2.00     -0.04794
  2.02     -0.04879
  2.04     -0.04826
  2.06     -0.04844
  2.08     -0.04653
  2.10     -0.03997
  2.12     -0.02558
  2.14     -0.00859
  2.16      0.02053
  2.18      0.05061
  2.20      0.09340
  2.22      0.12727
  2.24      0.17112
  2.26      0.19469
  2.28      0.21736
  2.30      0.23046
  2.32      0.23541
  2.34      0.23809
  2.36      0.24839
  2.38      0.22778
  2.40      0.20414
  2.42      0.18418
  2.44      0.15487
