 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00001
  0.30     -0.00002
  0.32     -0.00003
  0.34     -0.00003
  0.36     -0.00005
  0.38     -0.00006
  0.40     -0.00008
  0.42     -0.00010
  0.44     -0.00012
  0.46     -0.00015
  0.48     -0.00019
  0.50     -0.00024
  0.52     -0.00029
  0.54     -0.00036
  0.56     -0.00045
  0.58     -0.00056
  0.60     -0.00071
  0.62     -0.00088
  0.64     -0.00108
  0.66     -0.00132
  0.68     -0.00161
  0.70     -0.00192
  0.72     -0.00227
  0.74     -0.00265
  0.76     -0.00306
  0.78     -0.00348
  0.80     -0.00392
  0.82     -0.00437
  0.84     -0.00483
  0.86     -0.00529
  0.88     -0.00577
  0.90     -0.00624
  0.92     -0.00672
  0.94     -0.00720
  0.96     -0.00768
  0.98     -0.00816
  1.00     -0.00864
  1.02     -0.00912
  1.04     -0.00960
  1.06     -0.01008
  1.08     -0.01057
  1.10     -0.01105
  1.12     -0.01154
  1.14     -0.01202
  1.16     -0.01250
  1.18     -0.01299
  1.20     -0.01347
  1.22     -0.01396
  1.24     -0.01444
  1.26     -0.01493
  1.28     -0.01542
  1.30     -0.01590
  1.32     -0.01639
  1.34     -0.01688
  1.36     -0.01736
  1.38     -0.01785
  1.40     -0.01834
  1.42     -0.01883
  1.44     -0.01933
  1.46     -0.01982
  1.48     -0.02032
  1.50     -0.02081
  1.52     -0.02131
  1.54     -0.02182
  1.56     -0.02232
  1.58     -0.02283
  1.60     -0.02334
  1.62     -0.02386
  1.64     -0.02438
  1.66     -0.02491
  1.68     -0.02544
  1.70     -0.02598
  1.72     -0.02653
  1.74     -0.02709
  1.76     -0.02765
  1.78     -0.02822
  1.80     -0.02880
  1.82     -0.02939
  1.84     -0.02999
  1.86     -0.03059
  1.88     -0.03120
  1.90     -0.03181
  1.92     -0.03243
  1.94     -0.03306
  1.96     -0.03369
  1.98     -0.03432
  2.00     -0.03495
  2.02     -0.03559
  2.04     -0.03604
  2.06     -0.03650
  2.08     -0.03714
  2.10     -0.03760
  2.12     -0.03788
  2.14     -0.03800
  2.16     -0.03859
  2.18     -0.03832
  2.20     -0.03820
  2.22     -0.03709
  2.24     -0.03616
  2.26     -0.03399
  2.28     -0.03222
  2.30     -0.03059
  2.32     -0.02961
  2.34     -0.02659
  2.36     -0.02404
  2.38     -0.02002
  2.40     -0.01342
  2.42     -0.00643
