 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00001
  0.30     -0.00001
  0.32     -0.00001
  0.34     -0.00001
  0.36     -0.00002
  0.38     -0.00002
  0.40     -0.00003
  0.42     -0.00004
  0.44     -0.00005
  0.46     -0.00006
  0.48     -0.00008
  0.50     -0.00009
  0.52     -0.00011
  0.54     -0.00013
  0.56     -0.00016
  0.58     -0.00020
  0.60     -0.00024
  0.62     -0.00030
  0.64     -0.00038
  0.66     -0.00050
  0.68     -0.00066
  0.70     -0.00087
  0.72     -0.00114
  0.74     -0.00147
  0.76     -0.00184
  0.78     -0.00227
  0.80     -0.00273
  0.82     -0.00322
  0.84     -0.00373
  0.86     -0.00426
  0.88     -0.00479
  0.90     -0.00533
  0.92     -0.00587
  0.94     -0.00641
  0.96     -0.00696
  0.98     -0.00750
  1.00     -0.00805
  1.02     -0.00860
  1.04     -0.00915
  1.06     -0.00969
  1.08     -0.01024
  1.10     -0.01079
  1.12     -0.01134
  1.14     -0.01189
  1.16     -0.01244
  1.18     -0.01299
  1.20     -0.01353
  1.22     -0.01408
  1.24     -0.01463
  1.26     -0.01518
  1.28     -0.01573
  1.30     -0.01628
  1.32     -0.01683
  1.34     -0.01738
  1.36     -0.01793
  1.38     -0.01848
  1.40     -0.01903
  1.42     -0.01958
  1.44     -0.02014
  1.46     -0.02069
  1.48     -0.02124
  1.50     -0.02179
  1.52     -0.02234
  1.54     -0.02290
  1.56     -0.02345
  1.58     -0.02401
  1.60     -0.02456
  1.62     -0.02512
  1.64     -0.02568
  1.66     -0.02623
  1.68     -0.02679
  1.70     -0.02736
  1.72     -0.02793
  1.74     -0.02850
  1.76     -0.02907
  1.78     -0.02966
  1.80     -0.03025
  1.82     -0.03086
  1.84     -0.03148
  1.86     -0.03211
  1.88     -0.03276
  1.90     -0.03343
  1.92     -0.03411
  1.94     -0.03480
  1.96     -0.03550
  1.98     -0.03621
  2.00     -0.03693
  2.02     -0.03765
  2.04     -0.03837
  2.06     -0.03910
  2.08     -0.03983
  2.10     -0.04042
  2.12     -0.04102
  2.14     -0.04129
  2.16     -0.04158
  2.18     -0.04195
  2.20     -0.04241
  2.22     -0.04269
  2.24     -0.04309
  2.26     -0.04302
  2.28     -0.04264
  2.30     -0.04273
  2.32     -0.04282
  2.34     -0.04186
  2.36     -0.04053
  2.38     -0.03886
  2.40     -0.03715
  2.42     -0.03649
