 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00001
  0.20     -0.00002
  0.22     -0.00003
  0.24     -0.00006
  0.26     -0.00009
  0.28     -0.00014
  0.30     -0.00021
  0.32     -0.00029
  0.34     -0.00039
  0.36     -0.00051
  0.38     -0.00064
  0.40     -0.00079
  0.42     -0.00096
  0.44     -0.00114
  0.46     -0.00134
  0.48     -0.00155
  0.50     -0.00178
  0.52     -0.00202
  0.54     -0.00227
  0.56     -0.00254
  0.58     -0.00281
  0.60     -0.00310
  0.62     -0.00340
  0.64     -0.00371
  0.66     -0.00406
  0.68     -0.00444
  0.70     -0.00485
  0.72     -0.00529
  0.74     -0.00575
  0.76     -0.00623
  0.78     -0.00673
  0.80     -0.00725
  0.82     -0.00777
  0.84     -0.00830
  0.86     -0.00884
  0.88     -0.00937
  0.90     -0.00991
  0.92     -0.01046
  0.94     -0.01100
  0.96     -0.01154
  0.98     -0.01209
  1.00     -0.01264
  1.02     -0.01319
  1.04     -0.01374
  1.06     -0.01429
  1.08     -0.01484
  1.10     -0.01540
  1.12     -0.01595
  1.14     -0.01651
  1.16     -0.01707
  1.18     -0.01764
  1.20     -0.01820
  1.22     -0.01877
  1.24     -0.01933
  1.26     -0.01991
  1.28     -0.02048
  1.30     -0.02105
  1.32     -0.02163
  1.34     -0.02221
  1.36     -0.02279
  1.38     -0.02338
  1.40     -0.02397
  1.42     -0.02456
  1.44     -0.02515
  1.46     -0.02575
  1.48     -0.02636
  1.50     -0.02696
  1.52     -0.02757
  1.54     -0.02819
  1.56     -0.02880
  1.58     -0.02943
  1.60     -0.03005
  1.62     -0.03068
  1.64     -0.03132
  1.66     -0.03196
  1.68     -0.03260
  1.70     -0.03325
  1.72     -0.03391
  1.74     -0.03457
  1.76     -0.03524
  1.78     -0.03591
  1.80     -0.03660
  1.82     -0.03730
  1.84     -0.03802
  1.86     -0.03874
  1.88     -0.03947
  1.90     -0.04022
  1.92     -0.04097
  1.94     -0.04174
  1.96     -0.04251
  1.98     -0.04330
  2.00     -0.04409
  2.02     -0.04489
  2.04     -0.04534
  2.06     -0.04579
  2.08     -0.04626
  2.10     -0.04604
  2.12     -0.04495
  2.14     -0.04076
  2.16     -0.03335
  2.18     -0.02139
  2.20     -0.00435
  2.22      0.01620
  2.24      0.04080
  2.26      0.06087
  2.28      0.07669
  2.30      0.09203
  2.32      0.10750
  2.34      0.10985
  2.36      0.11449
  2.38      0.11840
  2.40      0.11769
  2.42      0.10733
  2.44      0.09922
