 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38     -0.00000
  0.40     -0.00000
  0.42     -0.00000
  0.44     -0.00000
  0.46     -0.00000
  0.48     -0.00001
  0.50     -0.00001
  0.52     -0.00003
  0.54     -0.00005
  0.56     -0.00007
  0.58     -0.00012
  0.60     -0.00018
  0.62     -0.00026
  0.64     -0.00037
  0.66     -0.00051
  0.68     -0.00069
  0.70     -0.00092
  0.72     -0.00118
  0.74     -0.00148
  0.76     -0.00182
  0.78     -0.00219
  0.80     -0.00259
  0.82     -0.00301
  0.84     -0.00344
  0.86     -0.00389
  0.88     -0.00434
  0.90     -0.00480
  0.92     -0.00527
  0.94     -0.00574
  0.96     -0.00622
  0.98     -0.00669
  1.00     -0.00717
  1.02     -0.00766
  1.04     -0.00814
  1.06     -0.00863
  1.08     -0.00912
  1.10     -0.00960
  1.12     -0.01009
  1.14     -0.01058
  1.16     -0.01108
  1.18     -0.01157
  1.20     -0.01206
  1.22     -0.01256
  1.24     -0.01305
  1.26     -0.01355
  1.28     -0.01404
  1.30     -0.01454
  1.32     -0.01503
  1.34     -0.01553
  1.36     -0.01603
  1.38     -0.01652
  1.40     -0.01702
  1.42     -0.01752
  1.44     -0.01802
  1.46     -0.01852
  1.48     -0.01902
  1.50     -0.01952
  1.52     -0.02002
  1.54     -0.02052
  1.56     -0.02103
  1.58     -0.02153
  1.60     -0.02204
  1.62     -0.02255
  1.64     -0.02306
  1.66     -0.02357
  1.68     -0.02408
  1.70     -0.02460
  1.72     -0.02512
  1.74     -0.02564
  1.76     -0.02617
  1.78     -0.02671
  1.80     -0.02725
  1.82     -0.02780
  1.84     -0.02836
  1.86     -0.02893
  1.88     -0.02951
  1.90     -0.03010
  1.92     -0.03070
  1.94     -0.03131
  1.96     -0.03193
  1.98     -0.03255
  2.00     -0.03318
  2.02     -0.03382
  2.04     -0.03445
  2.06     -0.03509
  2.08     -0.03574
  2.10     -0.03639
  2.12     -0.03703
  2.14     -0.03768
  2.16     -0.03834
  2.18     -0.03899
  2.20     -0.03965
  2.22     -0.04030
  2.24     -0.04096
  2.26     -0.04162
  2.28     -0.04228
  2.30     -0.04295
  2.32     -0.04361
  2.34     -0.04404
  2.36     -0.04447
  2.38     -0.04490
  2.40     -0.04439
  2.42     -0.04295
  2.44     -0.04037
