 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00001
  0.24     -0.00001
  0.26     -0.00002
  0.28     -0.00003
  0.30     -0.00005
  0.32     -0.00006
  0.34     -0.00009
  0.36     -0.00012
  0.38     -0.00016
  0.40     -0.00020
  0.42     -0.00026
  0.44     -0.00032
  0.46     -0.00039
  0.48     -0.00047
  0.50     -0.00056
  0.52     -0.00065
  0.54     -0.00075
  0.56     -0.00087
  0.58     -0.00099
  0.60     -0.00113
  0.62     -0.00128
  0.64     -0.00146
  0.66     -0.00167
  0.68     -0.00192
  0.70     -0.00219
  0.72     -0.00251
  0.74     -0.00287
  0.76     -0.00325
  0.78     -0.00367
  0.80     -0.00411
  0.82     -0.00458
  0.84     -0.00506
  0.86     -0.00556
  0.88     -0.00608
  0.90     -0.00659
  0.92     -0.00712
  0.94     -0.00765
  0.96     -0.00818
  0.98     -0.00871
  1.00     -0.00925
  1.02     -0.00978
  1.04     -0.01032
  1.06     -0.01086
  1.08     -0.01139
  1.10     -0.01193
  1.12     -0.01247
  1.14     -0.01301
  1.16     -0.01355
  1.18     -0.01409
  1.20     -0.01463
  1.22     -0.01517
  1.24     -0.01571
  1.26     -0.01626
  1.28     -0.01680
  1.30     -0.01734
  1.32     -0.01789
  1.34     -0.01844
  1.36     -0.01898
  1.38     -0.01953
  1.40     -0.02008
  1.42     -0.02063
  1.44     -0.02119
  1.46     -0.02174
  1.48     -0.02229
  1.50     -0.02285
  1.52     -0.02341
  1.54     -0.02397
  1.56     -0.02454
  1.58     -0.02510
  1.60     -0.02567
  1.62     -0.02624
  1.64     -0.02681
  1.66     -0.02739
  1.68     -0.02797
  1.70     -0.02856
  1.72     -0.02915
  1.74     -0.02974
  1.76     -0.03034
  1.78     -0.03095
  1.80     -0.03157
  1.82     -0.03220
  1.84     -0.03283
  1.86     -0.03347
  1.88     -0.03412
  1.90     -0.03478
  1.92     -0.03545
  1.94     -0.03613
  1.96     -0.03681
  1.98     -0.03751
  2.00     -0.03821
  2.02     -0.03892
  2.04     -0.03963
  2.06     -0.04026
  2.08     -0.04080
  2.10     -0.04145
  2.12     -0.04174
  2.14     -0.04136
  2.16     -0.04015
  2.18     -0.03905
  2.20     -0.03610
  2.22     -0.03064
  2.24     -0.02667
  2.26     -0.02168
  2.28     -0.01454
  2.30     -0.00870
  2.32     -0.00346
  2.34      0.00441
  2.36      0.01072
  2.38      0.01727
  2.40      0.02306
  2.42      0.02914
  2.44      0.02985
