 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56      0.00000
  0.58      0.00000
  0.60      0.00000
  0.62      0.00000
  0.64      0.00000
  0.66      0.00000
  0.68      0.00000
  0.70      0.00000
  0.72      0.00000
  0.74      0.00000
  0.76      0.00000
  0.78      0.00000
  0.80      0.00000
  0.82      0.00000
  0.84      0.00000
  0.86      0.00000
  0.88      0.00000
  0.90      0.00000
  0.92      0.00000
  0.94      0.00000
  0.96      0.00000
  0.98      0.00000
  1.00      0.00000
  1.02      0.00000
  1.04      0.00000
  1.06      0.00000
  1.08      0.00000
  1.10      0.00000
  1.12      0.00000
  1.14      0.00000
  1.16      0.00000
  1.18      0.00000
  1.20      0.00000
  1.22      0.00000
  1.24      0.00000
  1.26      0.00000
  1.28      0.00000
  1.30      0.00000
  1.32      0.00000
  1.34      0.00000
  1.36      0.00000
  1.38      0.00000
  1.40      0.00000
  1.42      0.00000
  1.44      0.00000
  1.46      0.00000
  1.48      0.00000
  1.50      0.00000
  1.52      0.00000
  1.54     -0.00053
  1.56     -0.00159
  1.58     -0.00317
  1.60     -0.00529
  1.62     -0.00793
  1.64     -0.01057
  1.66     -0.01322
  1.68     -0.01586
  1.70     -0.01850
  1.72     -0.02114
  1.74     -0.02379
  1.76     -0.02643
  1.78     -0.02907
  1.80     -0.03172
  1.82     -0.03436
  1.84     -0.03700
  1.86     -0.03965
  1.88     -0.04229
  1.90     -0.04493
  1.92     -0.04705
  1.94     -0.04863
  1.96     -0.04969
  1.98     -0.05022
  2.00     -0.05022
  2.02     -0.05022
  2.04     -0.05022
  2.06     -0.05022
  2.08     -0.05022
  2.10     -0.05022
  2.12     -0.05022
  2.14     -0.05022
  2.16     -0.05022
  2.18     -0.05022
  2.20     -0.05022
  2.22     -0.05022
  2.24     -0.05022
  2.26     -0.05022
  2.28     -0.05022
  2.30     -0.05022
  2.32     -0.05022
  2.34     -0.05022
  2.36     -0.04741
  2.38     -0.04179
  2.40     -0.03336
  2.42     -0.02212
  2.44     -0.00807
  2.46      0.00598
  2.48      0.02003
  2.50      0.03408
  2.52      0.04813
  2.54      0.06218
  2.56      0.07623
