 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00003     -0.00003
  0.52      0.00000      0.00004     -0.00004
  0.54      0.00000      0.00006     -0.00006
  0.56      0.00000      0.00009     -0.00009
  0.58      0.00000      0.00013     -0.00013
  0.60      0.00000      0.00018     -0.00018
  0.62      0.00000      0.00024     -0.00024
  0.64      0.00000      0.00032     -0.00032
  0.66      0.00000      0.00042     -0.00042
  0.68      0.00000      0.00053     -0.00053
  0.70      0.00000      0.00065     -0.00065
  0.72      0.00000      0.00078     -0.00078
  0.74      0.00000      0.00093     -0.00093
  0.76      0.00000      0.00108     -0.00108
  0.78      0.00000      0.00124     -0.00124
  0.80      0.00000      0.00141     -0.00141
  0.82      0.00000      0.00157     -0.00157
  0.84      0.00000      0.00175     -0.00175
  0.86      0.00000      0.00192     -0.00192
  0.88      0.00000      0.00210     -0.00210
  0.90      0.00000      0.00227     -0.00227
  0.92      0.00000      0.00245     -0.00245
  0.94      0.00000      0.00263     -0.00263
  0.96      0.00000      0.00281     -0.00281
  0.98      0.00000      0.00299     -0.00299
  1.00      0.00000      0.00317     -0.00317
  1.02      0.00000      0.00336     -0.00336
  1.04      0.00000      0.00354     -0.00354
  1.06      0.00000      0.00372     -0.00372
  1.08      0.00000      0.00390     -0.00390
  1.10      0.00000      0.00409     -0.00409
  1.12      0.00000      0.00427     -0.00427
  1.14      0.00000      0.00445     -0.00445
  1.16      0.00000      0.00464     -0.00464
  1.18      0.00000      0.00482     -0.00482
  1.20      0.00000      0.00500     -0.00500
  1.22      0.00000      0.00519     -0.00519
  1.24      0.00000      0.00537     -0.00537
  1.26      0.00000      0.00556     -0.00556
  1.28      0.00000      0.00574     -0.00574
  1.30      0.00000      0.00593     -0.00593
  1.32      0.00000      0.00611     -0.00611
  1.34      0.00000      0.00630     -0.00630
  1.36      0.00000      0.00648     -0.00648
  1.38      0.00000      0.00667     -0.00667
  1.40      0.00000      0.00686     -0.00686
  1.42      0.00000      0.00704     -0.00704
  1.44      0.00000      0.00723     -0.00723
  1.46      0.00000      0.00741     -0.00741
  1.48      0.00000      0.00760     -0.00760
  1.50      0.00000      0.00779     -0.00779
  1.52      0.00000      0.00798     -0.00798
  1.54      0.00000      0.00817     -0.00817
  1.56      0.00000      0.00835     -0.00835
  1.58      0.00000      0.00854     -0.00854
  1.60      0.00000      0.00874     -0.00874
  1.62      0.00000      0.00893     -0.00893
  1.64      0.00000      0.00912     -0.00912
  1.66      0.00000      0.00932     -0.00932
  1.68      0.00000      0.00952     -0.00952
  1.70      0.00000      0.00972     -0.00972
  1.72      0.00000      0.00993     -0.00993
  1.74      0.00000      0.01014     -0.01014
  1.76      0.00000      0.01035     -0.01035
  1.78      0.00000      0.01057     -0.01057
  1.80      0.00000      0.01079     -0.01079
  1.82      0.00000      0.01102     -0.01102
  1.84      0.00000      0.01125     -0.01125
  1.86      0.00000      0.01148     -0.01148
  1.88      0.00000      0.01171     -0.01171
  1.90      0.00000      0.01195     -0.01195
  1.92      0.00000      0.01219     -0.01219
  1.94      0.00000      0.01243     -0.01243
  1.96      0.00000      0.01267     -0.01267
  1.98      0.00000      0.01291     -0.01291
  2.00      0.00000      0.01316     -0.01316
  2.02      0.00000      0.01340     -0.01340
  2.04      0.00000      0.01365     -0.01365
  2.06      0.00000      0.01389     -0.01389
  2.08      0.00000      0.01414     -0.01414
  2.10      0.00000      0.01439     -0.01439
  2.12      0.00000      0.01463     -0.01463
  2.14      0.00000      0.01488     -0.01488
  2.16      0.00000      0.01513     -0.01513
  2.18      0.00000      0.01538     -0.01538
  2.20      0.00000      0.01563     -0.01563
  2.22      0.00000      0.01588     -0.01588
  2.24      0.00000      0.01613     -0.01607
  2.26      0.00000      0.01638     -0.01631
  2.28      0.00030      0.01663     -0.01655
  2.30      0.00005      0.01688     -0.01669
