 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00001     -0.00001
  0.50      0.00000      0.00002     -0.00002
  0.52      0.00000      0.00003     -0.00003
  0.54      0.00000      0.00005     -0.00005
  0.56      0.00000      0.00008     -0.00008
  0.58      0.00000      0.00011     -0.00011
  0.60      0.00000      0.00016     -0.00016
  0.62      0.00000      0.00022     -0.00022
  0.64      0.00000      0.00030     -0.00030
  0.66      0.00000      0.00040     -0.00040
  0.68      0.00000      0.00051     -0.00051
  0.70      0.00000      0.00063     -0.00063
  0.72      0.00000      0.00077     -0.00077
  0.74      0.00000      0.00091     -0.00091
  0.76      0.00000      0.00107     -0.00107
  0.78      0.00000      0.00124     -0.00124
  0.80      0.00000      0.00141     -0.00141
  0.82      0.00000      0.00158     -0.00158
  0.84      0.00000      0.00176     -0.00176
  0.86      0.00000      0.00194     -0.00194
  0.88      0.00000      0.00212     -0.00212
  0.90      0.00000      0.00231     -0.00231
  0.92      0.00000      0.00249     -0.00249
  0.94      0.00000      0.00267     -0.00267
  0.96      0.00000      0.00286     -0.00286
  0.98      0.00000      0.00304     -0.00304
  1.00      0.00000      0.00323     -0.00323
  1.02      0.00000      0.00342     -0.00342
  1.04      0.00000      0.00360     -0.00360
  1.06      0.00000      0.00379     -0.00379
  1.08      0.00000      0.00398     -0.00398
  1.10      0.00000      0.00416     -0.00416
  1.12      0.00000      0.00435     -0.00435
  1.14      0.00000      0.00454     -0.00454
  1.16      0.00000      0.00472     -0.00472
  1.18      0.00000      0.00491     -0.00491
  1.20      0.00000      0.00510     -0.00510
  1.22      0.00000      0.00529     -0.00529
  1.24      0.00000      0.00547     -0.00547
  1.26      0.00000      0.00566     -0.00566
  1.28      0.00000      0.00585     -0.00585
  1.30      0.00000      0.00604     -0.00604
  1.32      0.00000      0.00622     -0.00622
  1.34      0.00000      0.00641     -0.00641
  1.36      0.00000      0.00660     -0.00660
  1.38      0.00000      0.00679     -0.00679
  1.40      0.00000      0.00698     -0.00698
  1.42      0.00000      0.00716     -0.00716
  1.44      0.00000      0.00735     -0.00735
  1.46      0.00000      0.00754     -0.00754
  1.48      0.00000      0.00773     -0.00773
  1.50      0.00000      0.00792     -0.00792
  1.52      0.00000      0.00811     -0.00811
  1.54      0.00000      0.00830     -0.00830
  1.56      0.00000      0.00849     -0.00849
  1.58      0.00000      0.00868     -0.00868
  1.60      0.00000      0.00887     -0.00887
  1.62      0.00000      0.00907     -0.00907
  1.64      0.00000      0.00926     -0.00926
  1.66      0.00000      0.00946     -0.00946
  1.68      0.00000      0.00966     -0.00966
  1.70      0.00000      0.00987     -0.00987
  1.72      0.00000      0.01008     -0.01008
  1.74      0.00000      0.01029     -0.01029
  1.76      0.00000      0.01050     -0.01050
  1.78      0.00000      0.01072     -0.01072
  1.80      0.00000      0.01095     -0.01095
  1.82      0.00000      0.01118     -0.01118
  1.84      0.00000      0.01141     -0.01141
  1.86      0.00000      0.01165     -0.01165
  1.88      0.00000      0.01189     -0.01189
  1.90      0.00000      0.01213     -0.01213
  1.92      0.00000      0.01237     -0.01237
  1.94      0.00000      0.01262     -0.01262
  1.96      0.00000      0.01287     -0.01287
  1.98      0.00000      0.01311     -0.01311
  2.00      0.00000      0.01336     -0.01336
  2.02      0.00000      0.01361     -0.01361
  2.04      0.00000      0.01386     -0.01386
  2.06      0.00000      0.01411     -0.01411
  2.08      0.00000      0.01436     -0.01436
  2.10      0.00000      0.01461     -0.01461
  2.12      0.00000      0.01486     -0.01486
  2.14      0.00000      0.01512     -0.01512
  2.16      0.00000      0.01537     -0.01537
  2.18      0.00000      0.01562     -0.01561
  2.20      0.00000      0.01587     -0.01585
  2.22      0.00003      0.01612     -0.01610
  2.24      0.00006      0.01638     -0.01635
  2.26      0.00003      0.01663     -0.01656
  2.28      0.00003      0.01688     -0.01663
