 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000     -0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00003     -0.00003
  0.52      0.00000      0.00005     -0.00005
  0.54      0.00000      0.00007     -0.00007
  0.56      0.00000      0.00010     -0.00010
  0.58      0.00000      0.00014     -0.00014
  0.60      0.00000      0.00018     -0.00018
  0.62      0.00000      0.00024     -0.00024
  0.64      0.00000      0.00031     -0.00031
  0.66      0.00000      0.00039     -0.00039
  0.68      0.00000      0.00048     -0.00048
  0.70      0.00000      0.00059     -0.00059
  0.72      0.00000      0.00071     -0.00071
  0.74      0.00000      0.00084     -0.00084
  0.76      0.00000      0.00098     -0.00098
  0.78      0.00000      0.00113     -0.00113
  0.80      0.00000      0.00129     -0.00129
  0.82      0.00000      0.00145     -0.00145
  0.84      0.00000      0.00163     -0.00163
  0.86      0.00000      0.00181     -0.00181
  0.88      0.00000      0.00199     -0.00199
  0.90      0.00000      0.00217     -0.00217
  0.92      0.00000      0.00236     -0.00236
  0.94      0.00000      0.00255     -0.00255
  0.96      0.00000      0.00275     -0.00275
  0.98      0.00000      0.00294     -0.00294
  1.00      0.00000      0.00313     -0.00313
  1.02      0.00000      0.00333     -0.00333
  1.04      0.00000      0.00352     -0.00352
  1.06      0.00000      0.00372     -0.00372
  1.08      0.00000      0.00392     -0.00392
  1.10      0.00000      0.00411     -0.00411
  1.12      0.00000      0.00431     -0.00431
  1.14      0.00000      0.00451     -0.00451
  1.16      0.00000      0.00471     -0.00471
  1.18      0.00000      0.00490     -0.00490
  1.20      0.00000      0.00510     -0.00510
  1.22      0.00000      0.00530     -0.00530
  1.24      0.00000      0.00550     -0.00550
  1.26      0.00000      0.00570     -0.00570
  1.28      0.00000      0.00589     -0.00589
  1.30      0.00000      0.00609     -0.00609
  1.32      0.00000      0.00629     -0.00629
  1.34      0.00000      0.00649     -0.00649
  1.36      0.00000      0.00669     -0.00669
  1.38      0.00000      0.00688     -0.00688
  1.40      0.00000      0.00708     -0.00708
  1.42      0.00000      0.00728     -0.00728
  1.44      0.00000      0.00748     -0.00748
  1.46      0.00000      0.00768     -0.00768
  1.48      0.00000      0.00788     -0.00788
  1.50      0.00000      0.00808     -0.00808
  1.52      0.00000      0.00828     -0.00828
  1.54      0.00000      0.00848     -0.00848
  1.56      0.00000      0.00868     -0.00868
  1.58      0.00000      0.00889     -0.00889
  1.60      0.00000      0.00909     -0.00909
  1.62      0.00000      0.00930     -0.00930
  1.64      0.00000      0.00950     -0.00950
  1.66      0.00000      0.00971     -0.00971
  1.68      0.00000      0.00992     -0.00992
  1.70      0.00000      0.01014     -0.01014
  1.72      0.00000      0.01035     -0.01035
  1.74      0.00000      0.01057     -0.01057
  1.76      0.00000      0.01079     -0.01079
  1.78      0.00000      0.01102     -0.01102
  1.80      0.00000      0.01124     -0.01124
  1.82      0.00000      0.01148     -0.01148
  1.84      0.00000      0.01171     -0.01171
  1.86      0.00000      0.01195     -0.01195
  1.88      0.00000      0.01219     -0.01219
  1.90      0.00000      0.01244     -0.01244
  1.92      0.00000      0.01269     -0.01269
  1.94      0.00000      0.01294     -0.01294
  1.96      0.00000      0.01319     -0.01319
  1.98      0.00000      0.01345     -0.01345
  2.00      0.00000      0.01370     -0.01370
  2.02      0.00000      0.01396     -0.01396
  2.04      0.00000      0.01422     -0.01422
  2.06      0.00000      0.01448     -0.01448
  2.08      0.00000      0.01475     -0.01474
  2.10      0.00003      0.01501     -0.01500
  2.12      0.00000      0.01527     -0.01526
  2.14      0.00000      0.01554     -0.01550
  2.16      0.00003      0.01580     -0.01577
  2.18      0.00012      0.01607     -0.01600
  2.20      0.00003      0.01634     -0.01623
  2.22      0.00017      0.01660     -0.01645
  2.24      0.00020      0.01687     -0.01667
  2.26      0.00023      0.01714     -0.01680
  2.28      0.00037      0.01740     -0.01690
