 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00000     -0.00000
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00001     -0.00001
  0.50      0.00000      0.00002     -0.00002
  0.52      0.00000      0.00003     -0.00003
  0.54      0.00000      0.00005     -0.00005
  0.56      0.00000      0.00008     -0.00008
  0.58      0.00000      0.00012     -0.00012
  0.60      0.00000      0.00016     -0.00016
  0.62      0.00000      0.00023     -0.00023
  0.64      0.00000      0.00030     -0.00030
  0.66      0.00000      0.00040     -0.00040
  0.68      0.00000      0.00051     -0.00051
  0.70      0.00000      0.00063     -0.00063
  0.72      0.00000      0.00077     -0.00077
  0.74      0.00000      0.00091     -0.00091
  0.76      0.00000      0.00107     -0.00107
  0.78      0.00000      0.00124     -0.00124
  0.80      0.00000      0.00141     -0.00141
  0.82      0.00000      0.00158     -0.00158
  0.84      0.00000      0.00176     -0.00176
  0.86      0.00000      0.00194     -0.00194
  0.88      0.00000      0.00212     -0.00212
  0.90      0.00000      0.00230     -0.00230
  0.92      0.00000      0.00248     -0.00248
  0.94      0.00000      0.00266     -0.00266
  0.96      0.00000      0.00285     -0.00285
  0.98      0.00000      0.00303     -0.00303
  1.00      0.00000      0.00322     -0.00322
  1.02      0.00000      0.00340     -0.00340
  1.04      0.00000      0.00359     -0.00359
  1.06      0.00000      0.00377     -0.00377
  1.08      0.00000      0.00396     -0.00396
  1.10      0.00000      0.00414     -0.00414
  1.12      0.00000      0.00433     -0.00433
  1.14      0.00000      0.00451     -0.00451
  1.16      0.00000      0.00470     -0.00470
  1.18      0.00000      0.00489     -0.00489
  1.20      0.00000      0.00507     -0.00507
  1.22      0.00000      0.00526     -0.00526
  1.24      0.00000      0.00545     -0.00545
  1.26      0.00000      0.00563     -0.00563
  1.28      0.00000      0.00582     -0.00582
  1.30      0.00000      0.00601     -0.00601
  1.32      0.00000      0.00620     -0.00620
  1.34      0.00000      0.00638     -0.00638
  1.36      0.00000      0.00657     -0.00657
  1.38      0.00000      0.00676     -0.00676
  1.40      0.00000      0.00695     -0.00695
  1.42      0.00000      0.00713     -0.00713
  1.44      0.00000      0.00732     -0.00732
  1.46      0.00000      0.00751     -0.00751
  1.48      0.00000      0.00770     -0.00770
  1.50      0.00000      0.00789     -0.00789
  1.52      0.00000      0.00807     -0.00807
  1.54      0.00000      0.00826     -0.00826
  1.56      0.00000      0.00845     -0.00845
  1.58      0.00000      0.00865     -0.00865
  1.60      0.00000      0.00884     -0.00884
  1.62      0.00000      0.00903     -0.00903
  1.64      0.00000      0.00923     -0.00923
  1.66      0.00000      0.00943     -0.00943
  1.68      0.00000      0.00963     -0.00963
  1.70      0.00000      0.00983     -0.00983
  1.72      0.00000      0.01004     -0.01004
  1.74      0.00000      0.01025     -0.01025
  1.76      0.00000      0.01046     -0.01046
  1.78      0.00000      0.01068     -0.01068
  1.80      0.00000      0.01091     -0.01091
  1.82      0.00000      0.01114     -0.01114
  1.84      0.00000      0.01137     -0.01137
  1.86      0.00000      0.01160     -0.01160
  1.88      0.00000      0.01184     -0.01184
  1.90      0.00000      0.01208     -0.01208
  1.92      0.00000      0.01232     -0.01232
  1.94      0.00000      0.01257     -0.01257
  1.96      0.00000      0.01281     -0.01281
  1.98      0.00000      0.01306     -0.01306
  2.00      0.00000      0.01331     -0.01331
  2.02      0.00000      0.01356     -0.01356
  2.04      0.00000      0.01381     -0.01381
  2.06      0.00000      0.01406     -0.01406
  2.08      0.00000      0.01431     -0.01431
  2.10      0.00000      0.01456     -0.01456
  2.12      0.00000      0.01481     -0.01481
  2.14      0.00000      0.01506     -0.01506
  2.16      0.00000      0.01531     -0.01531
  2.18      0.00000      0.01556     -0.01555
  2.20      0.00000      0.01581     -0.01580
  2.22      0.00003      0.01606     -0.01601
  2.24      0.00000      0.01631     -0.01626
  2.26      0.00022      0.01657     -0.01650
  2.28      0.00003      0.01682     -0.01670
