 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000     -0.00000
  0.08      0.00000      0.00000     -0.00000
  0.10      0.00000      0.00000     -0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00001     -0.00001
  0.40      0.00000      0.00001     -0.00001
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00002     -0.00002
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00003     -0.00003
  0.50      0.00000      0.00005     -0.00005
  0.52      0.00000      0.00006     -0.00006
  0.54      0.00000      0.00009     -0.00009
  0.56      0.00000      0.00012     -0.00012
  0.58      0.00000      0.00016     -0.00016
  0.60      0.00000      0.00021     -0.00021
  0.62      0.00000      0.00027     -0.00027
  0.64      0.00000      0.00034     -0.00034
  0.66      0.00000      0.00043     -0.00043
  0.68      0.00000      0.00054     -0.00054
  0.70      0.00000      0.00066     -0.00066
  0.72      0.00000      0.00079     -0.00079
  0.74      0.00000      0.00094     -0.00094
  0.76      0.00000      0.00110     -0.00110
  0.78      0.00000      0.00127     -0.00127
  0.80      0.00000      0.00145     -0.00145
  0.82      0.00000      0.00164     -0.00164
  0.84      0.00000      0.00184     -0.00184
  0.86      0.00000      0.00204     -0.00204
  0.88      0.00000      0.00224     -0.00224
  0.90      0.00000      0.00245     -0.00245
  0.92      0.00000      0.00267     -0.00267
  0.94      0.00000      0.00288     -0.00288
  0.96      0.00000      0.00309     -0.00309
  0.98      0.00000      0.00331     -0.00331
  1.00      0.00000      0.00353     -0.00353
  1.02      0.00000      0.00375     -0.00375
  1.04      0.00000      0.00397     -0.00397
  1.06      0.00000      0.00419     -0.00419
  1.08      0.00000      0.00440     -0.00440
  1.10      0.00000      0.00462     -0.00462
  1.12      0.00000      0.00484     -0.00484
  1.14      0.00000      0.00506     -0.00506
  1.16      0.00000      0.00528     -0.00528
  1.18      0.00000      0.00551     -0.00551
  1.20      0.00000      0.00573     -0.00573
  1.22      0.00000      0.00595     -0.00595
  1.24      0.00000      0.00617     -0.00617
  1.26      0.00000      0.00639     -0.00639
  1.28      0.00000      0.00661     -0.00661
  1.30      0.00000      0.00683     -0.00683
  1.32      0.00000      0.00705     -0.00705
  1.34      0.00000      0.00727     -0.00727
  1.36      0.00000      0.00750     -0.00750
  1.38      0.00000      0.00772     -0.00772
  1.40      0.00000      0.00794     -0.00794
  1.42      0.00000      0.00816     -0.00816
  1.44      0.00000      0.00839     -0.00839
  1.46      0.00000      0.00861     -0.00861
  1.48      0.00000      0.00883     -0.00883
  1.50      0.00000      0.00906     -0.00906
  1.52      0.00000      0.00928     -0.00928
  1.54      0.00000      0.00951     -0.00951
  1.56      0.00000      0.00973     -0.00973
  1.58      0.00000      0.00996     -0.00996
  1.60      0.00000      0.01019     -0.01019
  1.62      0.00000      0.01042     -0.01042
  1.64      0.00000      0.01065     -0.01065
  1.66      0.00000      0.01088     -0.01088
  1.68      0.00000      0.01111     -0.01111
  1.70      0.00000      0.01135     -0.01135
  1.72      0.00000      0.01159     -0.01159
  1.74      0.00000      0.01183     -0.01183
  1.76      0.00000      0.01208     -0.01208
  1.78      0.00000      0.01233     -0.01233
  1.80      0.00000      0.01259     -0.01259
  1.82      0.00000      0.01285     -0.01285
  1.84      0.00000      0.01311     -0.01311
  1.86      0.00000      0.01338     -0.01338
  1.88      0.00000      0.01365     -0.01365
  1.90      0.00000      0.01392     -0.01392
  1.92      0.00000      0.01420     -0.01420
  1.94      0.00000      0.01448     -0.01448
  1.96      0.00000      0.01476     -0.01476
  1.98      0.00000      0.01505     -0.01505
  2.00      0.00000      0.01534     -0.01534
  2.02      0.00000      0.01563     -0.01562
  2.04      0.00000      0.01592     -0.01590
  2.06      0.00004      0.01621     -0.01617
  2.08      0.00004      0.01651     -0.01645
  2.10      0.00012      0.01680     -0.01672
  2.12      0.00008      0.01710     -0.01699
  2.14      0.00012      0.01740     -0.01727
  2.16      0.00016      0.01769     -0.01748
  2.18      0.00016      0.01799     -0.01768
  2.20      0.00055      0.01829     -0.01787
  2.22      0.00058      0.01859     -0.01806
  2.24      0.00065      0.01889     -0.01816
  2.26      0.00069      0.01919     -0.01837
  2.28      0.00117      0.01949     -0.01855
