 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00003     -0.00003
  0.52      0.00000      0.00005     -0.00005
  0.54      0.00000      0.00008     -0.00008
  0.56      0.00000      0.00011     -0.00011
  0.58      0.00000      0.00015     -0.00015
  0.60      0.00000      0.00021     -0.00021
  0.62      0.00000      0.00028     -0.00028
  0.64      0.00000      0.00036     -0.00036
  0.66      0.00000      0.00046     -0.00046
  0.68      0.00000      0.00057     -0.00057
  0.70      0.00000      0.00070     -0.00070
  0.72      0.00000      0.00083     -0.00083
  0.74      0.00000      0.00097     -0.00097
  0.76      0.00000      0.00113     -0.00113
  0.78      0.00000      0.00128     -0.00128
  0.80      0.00000      0.00144     -0.00144
  0.82      0.00000      0.00161     -0.00161
  0.84      0.00000      0.00178     -0.00178
  0.86      0.00000      0.00195     -0.00195
  0.88      0.00000      0.00212     -0.00212
  0.90      0.00000      0.00229     -0.00229
  0.92      0.00000      0.00246     -0.00246
  0.94      0.00000      0.00264     -0.00264
  0.96      0.00000      0.00281     -0.00281
  0.98      0.00000      0.00299     -0.00299
  1.00      0.00000      0.00317     -0.00317
  1.02      0.00000      0.00334     -0.00334
  1.04      0.00000      0.00352     -0.00352
  1.06      0.00000      0.00370     -0.00370
  1.08      0.00000      0.00387     -0.00387
  1.10      0.00000      0.00405     -0.00405
  1.12      0.00000      0.00423     -0.00423
  1.14      0.00000      0.00441     -0.00441
  1.16      0.00000      0.00459     -0.00459
  1.18      0.00000      0.00477     -0.00477
  1.20      0.00000      0.00495     -0.00495
  1.22      0.00000      0.00513     -0.00513
  1.24      0.00000      0.00531     -0.00531
  1.26      0.00000      0.00549     -0.00549
  1.28      0.00000      0.00567     -0.00567
  1.30      0.00000      0.00585     -0.00585
  1.32      0.00000      0.00604     -0.00604
  1.34      0.00000      0.00622     -0.00622
  1.36      0.00000      0.00640     -0.00640
  1.38      0.00000      0.00658     -0.00658
  1.40      0.00000      0.00677     -0.00677
  1.42      0.00000      0.00695     -0.00695
  1.44      0.00000      0.00713     -0.00713
  1.46      0.00000      0.00732     -0.00732
  1.48      0.00000      0.00750     -0.00750
  1.50      0.00000      0.00769     -0.00769
  1.52      0.00000      0.00787     -0.00787
  1.54      0.00000      0.00806     -0.00806
  1.56      0.00000      0.00825     -0.00825
  1.58      0.00000      0.00843     -0.00843
  1.60      0.00000      0.00862     -0.00862
  1.62      0.00000      0.00882     -0.00882
  1.64      0.00000      0.00901     -0.00901
  1.66      0.00000      0.00920     -0.00920
  1.68      0.00000      0.00940     -0.00940
  1.70      0.00000      0.00960     -0.00960
  1.72      0.00000      0.00981     -0.00981
  1.74      0.00000      0.01002     -0.01002
  1.76      0.00000      0.01023     -0.01023
  1.78      0.00000      0.01044     -0.01044
  1.80      0.00000      0.01066     -0.01066
  1.82      0.00000      0.01089     -0.01089
  1.84      0.00000      0.01111     -0.01111
  1.86      0.00000      0.01134     -0.01134
  1.88      0.00000      0.01157     -0.01157
  1.90      0.00000      0.01180     -0.01180
  1.92      0.00000      0.01203     -0.01203
  1.94      0.00000      0.01227     -0.01227
  1.96      0.00000      0.01250     -0.01250
  1.98      0.00000      0.01274     -0.01274
  2.00      0.00000      0.01298     -0.01298
  2.02      0.00000      0.01322     -0.01322
  2.04      0.00000      0.01346     -0.01346
  2.06      0.00000      0.01370     -0.01370
  2.08      0.00000      0.01394     -0.01394
  2.10      0.00000      0.01418     -0.01418
  2.12      0.00000      0.01442     -0.01442
  2.14      0.00000      0.01467     -0.01467
  2.16      0.00000      0.01491     -0.01491
  2.18      0.00000      0.01515     -0.01515
  2.20      0.00000      0.01540     -0.01540
  2.22      0.00000      0.01564     -0.01564
  2.24      0.00000      0.01589     -0.01586
  2.26      0.00000      0.01614     -0.01608
  2.28      0.00014      0.01638     -0.01622
  2.30      0.00013      0.01663     -0.01634
