 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000     -0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00001     -0.00001
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00002     -0.00002
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00003     -0.00003
  0.50      0.00000      0.00005     -0.00005
  0.52      0.00000      0.00007     -0.00007
  0.54      0.00000      0.00010     -0.00010
  0.56      0.00000      0.00013     -0.00013
  0.58      0.00000      0.00018     -0.00018
  0.60      0.00000      0.00023     -0.00023
  0.62      0.00000      0.00029     -0.00029
  0.64      0.00000      0.00037     -0.00037
  0.66      0.00000      0.00045     -0.00045
  0.68      0.00000      0.00055     -0.00055
  0.70      0.00000      0.00066     -0.00066
  0.72      0.00000      0.00078     -0.00078
  0.74      0.00000      0.00091     -0.00091
  0.76      0.00000      0.00105     -0.00105
  0.78      0.00000      0.00120     -0.00120
  0.80      0.00000      0.00135     -0.00135
  0.82      0.00000      0.00151     -0.00151
  0.84      0.00000      0.00167     -0.00167
  0.86      0.00000      0.00184     -0.00184
  0.88      0.00000      0.00202     -0.00202
  0.90      0.00000      0.00219     -0.00219
  0.92      0.00000      0.00237     -0.00237
  0.94      0.00000      0.00254     -0.00254
  0.96      0.00000      0.00272     -0.00272
  0.98      0.00000      0.00291     -0.00291
  1.00      0.00000      0.00309     -0.00309
  1.02      0.00000      0.00327     -0.00327
  1.04      0.00000      0.00345     -0.00345
  1.06      0.00000      0.00364     -0.00364
  1.08      0.00000      0.00382     -0.00382
  1.10      0.00000      0.00401     -0.00401
  1.12      0.00000      0.00419     -0.00419
  1.14      0.00000      0.00438     -0.00438
  1.16      0.00000      0.00456     -0.00456
  1.18      0.00000      0.00475     -0.00475
  1.20      0.00000      0.00493     -0.00493
  1.22      0.00000      0.00512     -0.00512
  1.24      0.00000      0.00530     -0.00530
  1.26      0.00000      0.00549     -0.00549
  1.28      0.00000      0.00568     -0.00568
  1.30      0.00000      0.00586     -0.00586
  1.32      0.00000      0.00605     -0.00605
  1.34      0.00000      0.00624     -0.00624
  1.36      0.00000      0.00642     -0.00642
  1.38      0.00000      0.00661     -0.00661
  1.40      0.00000      0.00680     -0.00680
  1.42      0.00000      0.00699     -0.00699
  1.44      0.00000      0.00717     -0.00717
  1.46      0.00000      0.00736     -0.00736
  1.48      0.00000      0.00755     -0.00755
  1.50      0.00000      0.00774     -0.00774
  1.52      0.00000      0.00793     -0.00793
  1.54      0.00000      0.00812     -0.00812
  1.56      0.00000      0.00831     -0.00831
  1.58      0.00000      0.00851     -0.00851
  1.60      0.00000      0.00870     -0.00870
  1.62      0.00000      0.00890     -0.00890
  1.64      0.00000      0.00909     -0.00909
  1.66      0.00000      0.00929     -0.00929
  1.68      0.00000      0.00950     -0.00950
  1.70      0.00000      0.00970     -0.00970
  1.72      0.00000      0.00991     -0.00991
  1.74      0.00000      0.01012     -0.01012
  1.76      0.00000      0.01033     -0.01033
  1.78      0.00000      0.01054     -0.01054
  1.80      0.00000      0.01076     -0.01076
  1.82      0.00000      0.01099     -0.01099
  1.84      0.00000      0.01121     -0.01121
  1.86      0.00000      0.01144     -0.01144
  1.88      0.00000      0.01167     -0.01167
  1.90      0.00000      0.01191     -0.01191
  1.92      0.00000      0.01214     -0.01214
  1.94      0.00000      0.01238     -0.01238
  1.96      0.00000      0.01262     -0.01262
  1.98      0.00000      0.01286     -0.01286
  2.00      0.00000      0.01311     -0.01311
  2.02      0.00000      0.01335     -0.01335
  2.04      0.00000      0.01360     -0.01360
  2.06      0.00000      0.01385     -0.01383
  2.08      0.00000      0.01409     -0.01408
  2.10      0.00006      0.01434     -0.01432
  2.12      0.00000      0.01459     -0.01457
  2.14      0.00003      0.01484     -0.01482
  2.16      0.00003      0.01509     -0.01508
  2.18      0.00000      0.01534     -0.01532
  2.20      0.00000      0.01559     -0.01554
  2.22      0.00003      0.01584     -0.01565
  2.24      0.00023      0.01610     -0.01585
  2.26      0.00072      0.01635     -0.01598
  2.28      0.00027      0.01660     -0.01577
