 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00003     -0.00003
  0.50      0.00000      0.00004     -0.00004
  0.52      0.00000      0.00006     -0.00006
  0.54      0.00000      0.00009     -0.00009
  0.56      0.00000      0.00012     -0.00012
  0.58      0.00000      0.00017     -0.00017
  0.60      0.00000      0.00023     -0.00023
  0.62      0.00000      0.00030     -0.00030
  0.64      0.00000      0.00038     -0.00038
  0.66      0.00000      0.00048     -0.00048
  0.68      0.00000      0.00059     -0.00059
  0.70      0.00000      0.00071     -0.00071
  0.72      0.00000      0.00084     -0.00084
  0.74      0.00000      0.00099     -0.00099
  0.76      0.00000      0.00114     -0.00114
  0.78      0.00000      0.00129     -0.00129
  0.80      0.00000      0.00146     -0.00146
  0.82      0.00000      0.00163     -0.00163
  0.84      0.00000      0.00180     -0.00180
  0.86      0.00000      0.00197     -0.00197
  0.88      0.00000      0.00215     -0.00215
  0.90      0.00000      0.00233     -0.00233
  0.92      0.00000      0.00251     -0.00251
  0.94      0.00000      0.00269     -0.00269
  0.96      0.00000      0.00288     -0.00288
  0.98      0.00000      0.00306     -0.00306
  1.00      0.00000      0.00324     -0.00324
  1.02      0.00000      0.00343     -0.00343
  1.04      0.00000      0.00361     -0.00361
  1.06      0.00000      0.00380     -0.00380
  1.08      0.00000      0.00398     -0.00398
  1.10      0.00000      0.00417     -0.00417
  1.12      0.00000      0.00435     -0.00435
  1.14      0.00000      0.00454     -0.00454
  1.16      0.00000      0.00472     -0.00472
  1.18      0.00000      0.00491     -0.00491
  1.20      0.00000      0.00510     -0.00510
  1.22      0.00000      0.00528     -0.00528
  1.24      0.00000      0.00547     -0.00547
  1.26      0.00000      0.00566     -0.00566
  1.28      0.00000      0.00584     -0.00584
  1.30      0.00000      0.00603     -0.00603
  1.32      0.00000      0.00622     -0.00622
  1.34      0.00000      0.00641     -0.00641
  1.36      0.00000      0.00659     -0.00659
  1.38      0.00000      0.00678     -0.00678
  1.40      0.00000      0.00697     -0.00697
  1.42      0.00000      0.00716     -0.00716
  1.44      0.00000      0.00735     -0.00735
  1.46      0.00000      0.00754     -0.00754
  1.48      0.00000      0.00773     -0.00773
  1.50      0.00000      0.00792     -0.00792
  1.52      0.00000      0.00811     -0.00811
  1.54      0.00000      0.00830     -0.00830
  1.56      0.00000      0.00849     -0.00849
  1.58      0.00000      0.00869     -0.00869
  1.60      0.00000      0.00888     -0.00888
  1.62      0.00000      0.00908     -0.00908
  1.64      0.00000      0.00928     -0.00928
  1.66      0.00000      0.00948     -0.00948
  1.68      0.00000      0.00968     -0.00968
  1.70      0.00000      0.00989     -0.00989
  1.72      0.00000      0.01010     -0.01010
  1.74      0.00000      0.01031     -0.01031
  1.76      0.00000      0.01053     -0.01053
  1.78      0.00000      0.01075     -0.01075
  1.80      0.00000      0.01097     -0.01097
  1.82      0.00000      0.01120     -0.01120
  1.84      0.00000      0.01143     -0.01143
  1.86      0.00000      0.01167     -0.01167
  1.88      0.00000      0.01190     -0.01190
  1.90      0.00000      0.01214     -0.01214
  1.92      0.00000      0.01238     -0.01238
  1.94      0.00000      0.01263     -0.01263
  1.96      0.00000      0.01287     -0.01287
  1.98      0.00000      0.01312     -0.01312
  2.00      0.00000      0.01336     -0.01336
  2.02      0.00000      0.01361     -0.01361
  2.04      0.00000      0.01386     -0.01386
  2.06      0.00000      0.01411     -0.01411
  2.08      0.00000      0.01436     -0.01436
  2.10      0.00000      0.01461     -0.01461
  2.12      0.00000      0.01486     -0.01486
  2.14      0.00000      0.01511     -0.01511
  2.16      0.00000      0.01537     -0.01537
  2.18      0.00000      0.01562     -0.01561
  2.20      0.00000      0.01587     -0.01586
  2.22      0.00006      0.01613     -0.01605
  2.24      0.00000      0.01638     -0.01625
  2.26      0.00030      0.01664     -0.01632
  2.28      0.00030      0.01689     -0.01647
