#r(A)          g(r)_raw       g(r)_smooth       Base
    0.0250      0.0000000      0.0000000      0.0487962
    0.0750      0.0000000      0.0000000      0.0571954
    0.1250      0.0000000      0.0000000      0.0664408
    0.1750      0.0000000      0.0000000      0.0765257
    0.2250      0.0000000      0.0000000      0.0873812
    0.2750      0.0000000      0.0000000      0.0989045
    0.3250      0.0000000      0.0000000      0.1110077
    0.3750      0.0000000      0.0000000      0.1235658
    0.4250      0.0000000      0.0000000      0.1364586
    0.4750      0.0000000      0.0000000      0.1495600
    0.5250      0.0000000      0.0000000      0.1627487
    0.5750      0.0000000      0.0000000      0.1759317
    0.6250      0.0000000      0.0000000      0.1890334
    0.6750      0.0000000      0.0000000      0.2019760
    0.7250      0.0000000      0.0000000      0.2146959
    0.7750      0.0000000      0.0000000      0.2271543
    0.8250      0.0000000      0.0000000      0.2393155
    0.8750      0.0000000      0.0000000      0.2511657
    0.9250      0.0000000      0.0000000      0.2626957
    0.9750      0.0000000      0.0000000      0.2739078
    1.0250      0.0000000      0.0000000      0.2848212
    1.0750      0.0000000      0.0004965      0.2954466
    1.1250      0.0000000      0.0004965      0.3058102
    1.1750      0.0024823      0.0004965      0.3159401
    1.2250      0.0000000      0.0014725      0.3258582
    1.2750      0.0000000      0.0021976      0.3355957
    1.3250      0.0048802      0.0020387      0.3519373
    1.3750      0.0036254      0.0028263      0.3685034
    1.4250      0.0016877      0.0044473      0.3853036
    1.4750      0.0039381      0.0066489      0.4023466
    1.5250      0.0081051      0.0116344      0.4196360
    1.5750      0.0158880      0.0178931      0.4371736
    1.6250      0.0285529      0.0262042      0.4549710
    1.6750      0.0329813      0.0352434      0.4730342
    1.7250      0.0454938      0.0460599      0.4913833
    1.7750      0.0533007      0.0574089      0.5100275
    1.8250      0.0699708      0.0767085      0.5289814
    1.8750      0.0852981      0.1045117      0.5482583
    1.9250      0.1294793      0.1528565      0.5678814
    1.9750      0.1845095      0.2178227      0.5878403
    2.0250      0.2950247      0.3025389      0.6081170
    2.0750      0.3948018      0.4111755      0.6286500
    2.1250      0.5088791      0.5370948      0.6493858
    2.1750      0.6726622      0.6863429      0.6702552
    2.2250      0.8141060      0.8422788      0.6911446
    2.2750      1.0412656      1.0143411      0.7119645
    2.3250      1.1744809      1.1894436      0.7325487
    2.3750      1.3691909      1.3689113      0.7527978
    2.4250      1.5481748      1.5318296      0.7725683
    2.4750      1.7114442      1.6965754      0.7917114
    2.5250      1.8558573      1.8357489      0.8101005
    2.5750      1.9982096      1.9630559      0.8276172
    2.6250      2.0650587      2.0623136      0.8440532
    2.6750      2.1847099      2.1237296      0.8593298
    2.7250      2.2077324      2.1484547      0.8733253
    2.7750      2.1629374      2.1354754      0.8860009
    2.8250      2.1218350      2.0707862      0.8973735
    2.8750      2.0001624      1.9667034      0.9074470
    2.9250      1.8612635      1.8334752      0.9163032
    2.9750      1.6873187      1.6759773      0.9240437
    3.0250      1.4967964      1.5133912      0.9307998
    3.0750      1.3343453      1.3450891      0.9367148
    3.1250      1.1872321      1.1808181      0.9419190
    3.1750      1.0197532      1.0315738      0.9465214
    3.2250      0.8659635      0.8915534      0.9506675
    3.2750      0.7505750      0.7657617      0.9544817
    3.3250      0.6342435      0.6598581      0.9580649
    3.3750      0.5582736      0.5759797      0.9615097
    3.4250      0.4902352      0.5144560      0.9648840
    3.4750      0.4465713      0.4721289      0.9682452
    3.5250      0.4429564      0.4490700      0.9716331
    3.5750      0.4226081      0.4456745      0.9750553
    3.6250      0.4429791      0.4554284      0.9785352
    3.6750      0.4732578      0.4752747      0.9820554
    3.7250      0.4953404      0.5033782      0.9855940
    3.7750      0.5421881      0.5343797      0.9891244
    3.8250      0.5631256      0.5634389      0.9926048
    3.8750      0.5979867      0.5914958      0.9960059
    3.9250      0.6185535      0.6131793      0.9992899
    3.9750      0.6356252      0.6337758      1.0024353
    4.0250      0.6506053      0.6573019      1.0054139
    4.0750      0.6661081      0.6860283      1.0082082
    4.1250      0.7156175      0.7234969      1.0108088
    4.1750      0.7621852      0.7683938      1.0131839
    4.2250      0.8229682      0.8208058      1.0153064
    4.2750      0.8750899      0.8774319      1.0171421
    4.3250      0.9281681      0.9430971      1.0186710
    4.3750      0.9987483      1.0105330      1.0198736
    4.4250      1.0905109      1.0815596      1.0207170
    4.4750      1.1601475      1.1574986      1.0211597
    4.5250      1.2302230      1.2324099      1.0211890
    4.5750      1.3078633      1.2985394      1.0207928
    4.6250      1.3733051      1.3573455      1.0199744
    4.6750      1.4211582      1.4094251      1.0187385
    4.7250      1.4541780      1.4478382      1.0171093
    4.7750      1.4906210      1.4678773      1.0151326
    4.8250      1.4999286      1.4742857      1.0128386
    4.8750      1.4735006      1.4588894      1.0102946
    4.9250      1.4532003      1.4246021      1.0075615
    4.9750      1.3771966      1.3723821      1.0047114
    5.0250      1.3191842      1.3147391      1.0018487
    5.0750      1.2388287      1.2469997      0.9990603
    5.1250      1.1852857      1.1790428      0.9964388
    5.1750      1.1145030      1.1116917      0.9940591
    5.2250      1.0374123      1.0512399      0.9919826
    5.2750      0.9824288      0.9871857      0.9903036
    5.3250      0.9365697      0.9310511      0.9890594
    5.3750      0.8650145      0.8877370      0.9882517
    5.4250      0.8338300      0.8540672      0.9879166
    5.4750      0.8208421      0.8279189      0.9880247
    5.5250      0.8140798      0.8189266      0.9885358
    5.5750      0.8058282      0.8139749      0.9893923
    5.6250      0.8200529      0.8203297      0.9905366
    5.6750      0.8090715      0.8313036      0.9919069
    5.7250      0.8526158      0.8501285      0.9934654
    5.7750      0.8689497      0.8678734      0.9951269
    5.8250      0.8999523      0.8926675      0.9968326
    5.8750      0.9087777      0.9114313      0.9985216
    5.9250      0.9330421      0.9301535      1.0001411
    5.9750      0.9464348      0.9451746      1.0016409
    6.0250      0.9625606      0.9625041      1.0029874
    6.0750      0.9750579      0.9740526      1.0041502
    6.1250      0.9954249      0.9836435      1.0051156
    6.1750      0.9907846      0.9844938      1.0058557
    6.2250      0.9943894      0.9803307      1.0063782
    6.2750      0.9668121      0.9652332      1.0066876
    6.3250      0.9542426      0.9444338      1.0068077
    6.3750      0.9199373      0.9201114      1.0067614
    6.4250      0.8867877      0.8939143      1.0065814
    6.4750      0.8727771      0.8666282      1.0063020
    6.5250      0.8358270      0.8467342      1.0059371
    6.5750      0.8178120      0.8350977      1.0055197
    6.6250      0.8204673      0.8283398      1.0050695
    6.6750      0.8286051      0.8345532      1.0045903
    6.7250      0.8389876      0.8523303      1.0041025
    6.7750      0.8668940      0.8791079      1.0036245
    6.8250      0.9066975      0.9119956      1.0031633
    6.8750      0.9543554      0.9549319      1.0027162
    6.9250      0.9930435      1.0046660      1.0022786
    6.9750      1.0536691      1.0571958      1.0018624
    7.0250      1.1155645      1.1107963      1.0014687
    7.0750      1.1693465      1.1653932      1.0010907
    7.1250      1.2223580      1.2167482      1.0007248
    7.1750      1.2660279      1.2599821      1.0003731
    7.2250      1.3104441      1.2945142      1.0000380
    7.2750      1.3317340      1.3116980      0.9997094
    7.3250      1.3420070      1.3145905      0.9993847
    7.3750      1.3082770      1.2991314      0.9990725
    7.4250      1.2804904      1.2674747      0.9988029
    7.4750      1.2331484      1.2230484      0.9985810
    7.5250      1.1734507      1.1726494      0.9984304
    7.5750      1.1198753      1.1167618      0.9983545
    7.6250      1.0562819      1.0606322      0.9983579
    7.6750      1.0010524      1.0108080      0.9984404
    7.7250      0.9525006      0.9643570      0.9986105
    7.7750      0.9243300      0.9222544      0.9988581
    7.8250      0.8876200      0.8895665      0.9991603
    7.8750      0.8457688      0.8630886      0.9995082
    7.9250      0.8376132      0.8439271      0.9999056
    7.9750      0.8201111      0.8342509      1.0003211
    8.0250      0.8285225      0.8378056      1.0007491
    8.0750      0.8392387      0.8489722      1.0011718
    8.1250      0.8635423      0.8690268      1.0015762
    8.1750      0.8934466      0.8940350      1.0019414
    8.2250      0.9203838      0.9235516      1.0022515
    8.2750      0.9535635      0.9520340      1.0024836
    8.3250      0.9868217      0.9738155      1.0026309
    8.3750      1.0059542      0.9890773      1.0026808
    8.4250      1.0023541      0.9991491      1.0026316
    8.4750      0.9966932      1.0018892      1.0024976
    8.5250      1.0039224      0.9994615      1.0022979
    8.5750      1.0005220      0.9954464      1.0020406
    8.6250      0.9938157      0.9906290      1.0017399
    8.6750      0.9822788      0.9820663      1.0014067
    8.7250      0.9726060      0.9712019      1.0010666
    8.7750      0.9611087      0.9590739      1.0007294
    8.8250      0.9462003      0.9484502      1.0004110
    8.8750      0.9331758      0.9373346      1.0001186
    8.9250      0.9291601      0.9260332      0.9998666
    8.9750      0.9170279      0.9167200      0.9996501
    9.0250      0.9046019      0.9099962      0.9994745
    9.0750      0.8996342      0.9040254      0.9993515
    9.1250      0.8995569      0.9044887      0.9992779
    9.1750      0.8993058      0.9118343      0.9992545
    9.2250      0.9193445      0.9228265      0.9992851
    9.2750      0.9413302      0.9378314      0.9993665
    9.3250      0.9545948      0.9591111      0.9994887
    9.3750      0.9745816      0.9838095      0.9996552
    9.4250      1.0057043      1.0105886      0.9998677
    9.4750      1.0428364      1.0420294      1.0001210
    9.5250      1.0752257      1.0751557      1.0003998
    9.5750      1.1117990      1.1087132      1.0007011
    9.6250      1.1402129      1.1405723      1.0010190
    9.6750      1.1734918      1.1688231      1.0013442
    9.7250      1.2021323      1.1903851      1.0016649
    9.7750      1.2164794      1.2075047      1.0019716
    9.8250      1.2196089      1.2182670      1.0022592
    9.8750      1.2258109      1.2201819      1.0025249
    9.9250      1.2273035      1.2166080      1.0027580
    9.9750      1.2117067      1.2054564      1.0029348
   10.0250      1.1986099      1.1856831      1.0030464
   10.0750      1.1638511      1.1561189      1.0030764
   10.1250      1.1269440      1.1226606      1.0030224
   10.1750      1.0794825      1.0813959      1.0028857
   10.2250      1.0444154      1.0392792      1.0026726
   10.2750      0.9922864      0.9961997      1.0023821
   10.3250      0.9532677      0.9570617      1.0020332
   10.3750      0.9115464      0.9196556      1.0016392
   10.4250      0.8837927      0.8889648      1.0012140
   10.4750      0.8573850      0.8628094      1.0007624
   10.5250      0.8388321      0.8438606      1.0002990
   10.5750      0.8224910      0.8309417      0.9998311
   10.6250      0.8168021      0.8241311      0.9993777
   10.6750      0.8191983      0.8221955      0.9989493
   10.7250      0.8233319      0.8244507      0.9985551
   10.7750      0.8291543      0.8313590      0.9982091
   10.8250      0.8337668      0.8383980      0.9979190
   10.8750      0.8513434      0.8487873      0.9977024
   10.9250      0.8543937      0.8608208      0.9975633
   10.9750      0.8752784      0.8764066      0.9975109
   11.0250      0.8893215      0.8912418      0.9975355
   11.0750      0.9116958      0.9060070      0.9976328
   11.1250      0.9255194      0.9211737      0.9977986
   11.1750      0.9282196      0.9356820      0.9980273
   11.2250      0.9511122      0.9487155      0.9983291
   11.2750      0.9618630      0.9622553      0.9986896
   11.3250      0.9768632      0.9800315      0.9991041
   11.3750      0.9932184      0.9959553      0.9995672
   11.4250      1.0171009      1.0143017      1.0000676
   11.4750      1.0307311      1.0335844      1.0005862
   11.5250      1.0535950      1.0533301      1.0011180
   11.5750      1.0732765      1.0722786      1.0016433
   11.6250      1.0919471      1.0898892      1.0021459
   11.6750      1.1118432      1.1075835      1.0026104
   11.7250      1.1187841      1.1228747      1.0030219
   11.7750      1.1420665      1.1360186      1.0033736
   11.8250      1.1497325      1.1460678      1.0036536
   11.8750      1.1576665      1.1549335      1.0038604
   11.9250      1.1620895      1.1582692      1.0039869
   11.9750      1.1631123      1.1594634      1.0040248
   12.0250      1.1587453      1.1581008      1.0039730
   12.0750      1.1557033      1.1517659      1.0038348
   12.1250      1.1508537      1.1416863      1.0036123
