#r(A)          g(r)_raw       g(r)_smooth       Base
    0.0250      0.0000000      0.0000000      0.5664592
    0.0750      0.0000000      0.0000000      0.7275514
    0.1250      0.0000000      0.0000000      0.9185209
    0.1750      0.0000000      0.0000000      1.1571696
    0.2250      0.0000000      0.0000000      1.4478197
    0.2750      0.0000000      0.0000000      1.7728647
    0.3250      0.0000000      0.0000000      2.1107401
    0.3750      0.0000000      0.0000000      2.4443517
    0.4250      0.0000000      0.0000000      2.7668695
    0.4750      0.0000000      0.0000000      3.0764486
    0.5250      0.0000000      0.0000000      3.3710157
    0.5750      0.0000000      0.0000000      3.6521199
    0.6250      0.0000000      0.0000000      3.9197233
    0.6750      0.0000000      0.0000000      4.1754867
    0.7250      0.0000000      0.0000000      4.4201455
    0.7750      0.0000000      0.0000000      4.6540074
    0.8250      0.0000000      0.0000000      4.8783276
    0.8750      0.0000000      0.0000000      5.0943796
    0.9250      0.0000000      0.0000000      5.3020069
    0.9750      0.0000000      0.0000000      5.5019897
    1.0250      0.0000000      0.0000000      5.6952383
    1.0750      0.0000000      0.0000000      5.8823289
    1.1250      0.0000000      0.0000000      6.0641622
    1.1750      0.0000000      0.0000000      6.2422629
    1.2250      0.0000000      0.0000000      6.4175372
    1.2750      0.0000000      0.0000000      6.5924086
    1.3250      0.0000000      0.0000000      6.9001942
    1.3750      0.0000000      0.0000000      7.2161850
    1.4250      0.0000000      0.0000000      7.5412430
    1.4750      0.0000000      0.0000000      7.8718388
    1.5250      0.0000000      0.0000000      8.2072059
    1.5750      0.0000000      0.0000000      8.5464482
    1.6250      0.0000000      0.0000000      8.8894031
    1.6750      0.0000000      0.0000000      9.2358698
    1.7250      0.0000000      0.0000000      9.5857215
    1.7750      0.0000000      0.0000000      9.9396739
    1.8250      0.0000000      0.0000000     10.2976329
    1.8750      0.0000000      0.0000000     10.6607578
    1.9250      0.0000000      0.0000000     11.0294335
    1.9750      0.0000000      0.0474065     11.4049279
    2.0250      0.0000000      0.1378102     11.7884132
    2.0750      0.2370325      0.8713176     12.1821905
    2.1250      0.4520185      2.6854407     12.5902939
    2.1750      3.6675370      6.8263966     13.0153089
    2.2250      9.0706155     12.1408632     13.4579023
    2.2750     20.7047794     19.1792049     13.9110998
    2.3250     26.8093658     25.9082789     14.3615770
    2.3750     35.6437270     31.5581573     14.7993418
    2.4250     37.3129069     35.0047186     15.2150985
    2.4750     37.3200075     37.9544219     15.6065690
    2.5250     37.9375859     42.6448848     15.9738258
    2.5750     41.5578822     53.1816149     16.3163812
    2.6250     59.0960414     66.4984433     16.6300437
    2.6750     89.9965574     75.7158825     16.9014593
    2.7250    103.9041497     78.2230681     17.1076258
    2.7750     84.0247818     71.8613213     17.2375207
    2.8250     54.0938103     56.8203224     17.3075109
    2.8750     27.2873076     37.9997769     17.3415157
    2.9250     14.7915626     21.9978396     17.3620043
    2.9750      9.8014222     12.1073005     17.3783710
    3.0250      4.0150953      7.1514711     17.3936023
    3.0750      4.6411150      4.9423423     17.4105940
    3.1250      2.5081604      3.6689408     17.4275638
    3.1750      3.7459189      3.3416857     17.4455777
    3.2250      3.4344146      3.0965757     17.4632134
    3.2750      2.3788196      3.5446785     17.4809847
    3.3250      3.4155648      3.4219001     17.5004540
    3.3750      4.7486748      3.4618474     17.5210484
    3.4250      3.1320267      3.9059904     17.5431440
    3.4750      3.6341508      4.2130564     17.5694367
    3.5250      4.5995346      4.5059693     17.6011391
    3.5750      4.9508949      5.7233870     17.6388309
    3.6250      6.2132392      7.1883917     17.6835200
    3.6750      9.2191155      9.6344378     17.7323018
    3.7250     10.9591741     12.3273728     17.7814169
    3.7750     16.8297653     15.3530780     17.8278548
    3.8250     18.4155697     18.2260258     17.8656575
    3.8750     21.3417656     18.9149353     17.8927659
    3.9250     23.5838545     18.0310210     17.9070472
    3.9750     14.4037212     16.3637780     17.9068067
    4.0250     12.4101939     14.0267353     17.8994719
    4.0750     10.0793548     11.1367423     17.8863703
    4.1250      9.6565519     10.0169252     17.8698005
    4.1750      9.1338894      9.6681044     17.8504905
    4.2250      8.8046360      9.7364136     17.8290504
    4.2750     10.6660899     10.4924179     17.8053707
    4.3250     10.4209006     11.5531755     17.7778361
    4.3750     13.4365736     13.3392980     17.7464310
    4.4250     14.4376773     15.3630127     17.7093496
    4.4750     17.7352484     18.6326586     17.6664251
    4.5250     20.7846635     23.5028031     17.6163195
    4.5750     26.7691301     29.6089421     17.5572866
    4.6250     37.7872962     36.7861810     17.4876098
    4.6750     44.9683722     41.9931973     17.4005763
    4.7250     53.6214430     43.8901555     17.2918269
    4.7750     46.8197449     40.7386733     17.1548736
    4.8250     36.2539210     34.7239604     16.9944523
    4.8750     22.0298853     26.1768394     16.8204411
    4.9250     14.8948078     18.7367746     16.6440325
    4.9750     10.8858380     13.1264758     16.4730557
    5.0250      9.6194211     10.3135884     16.3108119
    5.0750      8.2024268      8.9961634     16.1582071
    5.1250      7.9654485      8.8750483     16.0166951
    5.1750      8.3076826      8.8363853     15.8880201
    5.2250     10.2802627      9.6433497     15.7786692
    5.2750      9.4261057     10.9681387     15.6991948
    5.3250     12.2372492     13.1904539     15.6556433
    5.3750     14.5893931     14.9067830     15.6379608
    5.4250     19.4192589     16.3515209     15.6330247
    5.4750     18.8619083     16.4258998     15.6270901
    5.5250     16.6497949     15.3530157     15.6166463
    5.5750     12.6091436     13.0156008     15.6026082
    5.6250      9.2249727     10.5447948     15.5872355
    5.6750      7.7321844      8.6592180     15.5738869
    5.7250      6.5078782      7.9721612     15.5629406
    5.7750      7.2219111      8.0786835     15.5552377
    5.8250      9.1738596      9.2126387     15.5486749
    5.8750      9.7575842     11.3472181     15.5404199
    5.9250     13.4019603     14.1706135     15.5299829
    5.9750     17.1807755     17.2913652     15.5153329
    6.0250     21.3388880     20.9601839     15.4932060
    6.0750     24.7776181     22.8941091     15.4613456
    6.1250     28.1016775     23.3189501     15.4175548
    6.1750     23.0715861     22.0422141     15.3594348
    6.2250     19.3049808     19.3265335     15.2907204
    6.2750     14.9552082     15.5092496     15.2146350
    6.3250     11.1992147     12.7590324     15.1350270
    6.3750      9.0152584     10.7772745     15.0570839
    6.4250      9.3204997      9.8573127     14.9828307
    6.4750      9.3961917      9.5816255     14.9138780
    6.5250     10.3553987     10.0061771     14.8515271
    6.5750      9.8207787     10.5792324     14.7915825
    6.6250     11.1380165     11.2454679     14.7335841
    6.6750     12.1857763     11.5312351     14.6749144
    6.7250     12.7273690     11.8281727     14.6141099
    6.7750     11.7842346     11.7554799     14.5503921
    6.8250     11.3054668     11.7401723     14.4847524
    6.8750     10.7745527     11.9301768     14.4188150
    6.9250     12.1092382     12.9317690     14.3531665
    6.9750     13.6773916     14.3406559     14.2883903
    7.0250     16.7921955     17.3563976     14.2235998
    7.0750     18.3499012     20.9730657     14.1578644
    7.1250     25.8532617     24.8379963     14.0909742
    7.1750     30.1925784     27.5228983     14.0198493
    7.2250     33.0020448     28.5586648     13.9459193
    7.2750     30.2167055     26.6791774     13.8707103
    7.3250     23.5287336     22.8435788     13.8008127
    7.3750     16.4558248     17.8979866     13.7385694
    7.4250     11.0145855     13.2892896     13.6840840
    7.4750      8.2740839      9.9815243     13.6347450
    7.5250      7.1732204      8.1543235     13.5886474
    7.5750      6.9899068      7.5037768     13.5441570
    7.6250      7.3198211      7.4052429     13.5004551
    7.6750      7.7618520      7.6251088     13.4566016
    7.7250      7.7814142      7.9038971     13.4121202
    7.7750      8.2725499      7.9868635     13.3673879
    7.8250      8.3838481      8.0822135     13.3230884
    7.8750      7.7346532      8.3167300     13.2790501
    7.9250      8.2386021      8.9030218     13.2373219
    7.9750      8.9539966     10.0560634     13.1986620
    8.0250     11.2040088     12.0555578     13.1652197
    8.0750     14.1490564     14.2225430     13.1352103
    8.1250     17.7321252     16.2726233     13.1052724
    8.1750     19.0735278     17.5730548     13.0708170
    8.2250     19.2043981     17.5381793     13.0286737
    8.2750     17.7061666     16.3052655     12.9779401
    8.3250     13.9746789     14.5753978     12.9192245
    8.3750     11.5675559     12.9539700     12.8556221
    8.4250     10.4241895     11.7691274     12.7897948
    8.4750     11.0972592     11.7195695     12.7226810
    8.5250     11.7819533     12.1910374     12.6554180
    8.5750     13.7268897     12.9025642     12.5890950
    8.6250     13.9248955     13.1579399     12.5239211
    8.6750     13.9818233     12.8453296     12.4616161
    8.7250     12.3741376     12.0577380     12.4038361
    8.7750     10.2189021     11.2526018     12.3497942
    8.8250      9.7889314     10.2986483     12.2996397
