 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00003     -0.00003
  0.50      0.00000      0.00004     -0.00004
  0.52      0.00000      0.00006     -0.00006
  0.54      0.00000      0.00008     -0.00008
  0.56      0.00000      0.00012     -0.00012
  0.58      0.00000      0.00016     -0.00016
  0.60      0.00000      0.00022     -0.00022
  0.62      0.00000      0.00030     -0.00030
  0.64      0.00000      0.00038     -0.00038
  0.66      0.00000      0.00048     -0.00048
  0.68      0.00000      0.00059     -0.00059
  0.70      0.00000      0.00072     -0.00072
  0.72      0.00000      0.00085     -0.00085
  0.74      0.00000      0.00100     -0.00100
  0.76      0.00000      0.00115     -0.00115
  0.78      0.00000      0.00130     -0.00130
  0.80      0.00000      0.00146     -0.00146
  0.82      0.00000      0.00163     -0.00163
  0.84      0.00000      0.00179     -0.00179
  0.86      0.00000      0.00196     -0.00196
  0.88      0.00000      0.00213     -0.00213
  0.90      0.00000      0.00230     -0.00230
  0.92      0.00000      0.00248     -0.00248
  0.94      0.00000      0.00265     -0.00265
  0.96      0.00000      0.00282     -0.00282
  0.98      0.00000      0.00300     -0.00300
  1.00      0.00000      0.00318     -0.00318
  1.02      0.00000      0.00335     -0.00335
  1.04      0.00000      0.00353     -0.00353
  1.06      0.00000      0.00371     -0.00371
  1.08      0.00000      0.00388     -0.00388
  1.10      0.00000      0.00406     -0.00406
  1.12      0.00000      0.00424     -0.00424
  1.14      0.00000      0.00442     -0.00442
  1.16      0.00000      0.00460     -0.00460
  1.18      0.00000      0.00478     -0.00478
  1.20      0.00000      0.00496     -0.00496
  1.22      0.00000      0.00514     -0.00514
  1.24      0.00000      0.00532     -0.00532
  1.26      0.00000      0.00550     -0.00550
  1.28      0.00000      0.00568     -0.00568
  1.30      0.00000      0.00586     -0.00586
  1.32      0.00000      0.00604     -0.00604
  1.34      0.00000      0.00622     -0.00622
  1.36      0.00000      0.00641     -0.00641
  1.38      0.00000      0.00659     -0.00659
  1.40      0.00000      0.00677     -0.00677
  1.42      0.00000      0.00696     -0.00696
  1.44      0.00000      0.00714     -0.00714
  1.46      0.00000      0.00732     -0.00732
  1.48      0.00000      0.00751     -0.00751
  1.50      0.00000      0.00769     -0.00769
  1.52      0.00000      0.00788     -0.00788
  1.54      0.00000      0.00807     -0.00807
  1.56      0.00000      0.00825     -0.00825
  1.58      0.00000      0.00844     -0.00844
  1.60      0.00000      0.00863     -0.00863
  1.62      0.00000      0.00882     -0.00882
  1.64      0.00000      0.00902     -0.00902
  1.66      0.00000      0.00921     -0.00921
  1.68      0.00000      0.00941     -0.00941
  1.70      0.00000      0.00962     -0.00962
  1.72      0.00000      0.00982     -0.00982
  1.74      0.00000      0.01003     -0.01003
  1.76      0.00000      0.01024     -0.01024
  1.78      0.00000      0.01046     -0.01046
  1.80      0.00000      0.01068     -0.01068
  1.82      0.00000      0.01090     -0.01090
  1.84      0.00000      0.01113     -0.01113
  1.86      0.00000      0.01136     -0.01136
  1.88      0.00000      0.01159     -0.01159
  1.90      0.00000      0.01182     -0.01182
  1.92      0.00000      0.01205     -0.01205
  1.94      0.00000      0.01228     -0.01228
  1.96      0.00000      0.01252     -0.01252
  1.98      0.00000      0.01276     -0.01276
  2.00      0.00000      0.01300     -0.01300
  2.02      0.00000      0.01324     -0.01324
  2.04      0.00000      0.01347     -0.01347
  2.06      0.00000      0.01372     -0.01372
  2.08      0.00000      0.01396     -0.01396
  2.10      0.00000      0.01420     -0.01420
  2.12      0.00000      0.01444     -0.01444
  2.14      0.00000      0.01468     -0.01468
  2.16      0.00000      0.01493     -0.01493
  2.18      0.00000      0.01517     -0.01514
  2.20      0.00000      0.01542     -0.01538
  2.22      0.00014      0.01566     -0.01563
  2.24      0.00003      0.01591     -0.01588
  2.26      0.00000      0.01616     -0.01604
  2.28      0.00000      0.01640     -0.01605
