 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00001     -0.00001
  0.50      0.00000      0.00002     -0.00002
  0.52      0.00000      0.00003     -0.00003
  0.54      0.00000      0.00004     -0.00004
  0.56      0.00000      0.00006     -0.00006
  0.58      0.00000      0.00009     -0.00009
  0.60      0.00000      0.00013     -0.00013
  0.62      0.00000      0.00017     -0.00017
  0.64      0.00000      0.00024     -0.00024
  0.66      0.00000      0.00032     -0.00032
  0.68      0.00000      0.00042     -0.00042
  0.70      0.00000      0.00053     -0.00053
  0.72      0.00000      0.00066     -0.00066
  0.74      0.00000      0.00081     -0.00081
  0.76      0.00000      0.00096     -0.00096
  0.78      0.00000      0.00113     -0.00113
  0.80      0.00000      0.00131     -0.00131
  0.82      0.00000      0.00150     -0.00150
  0.84      0.00000      0.00169     -0.00169
  0.86      0.00000      0.00188     -0.00188
  0.88      0.00000      0.00208     -0.00208
  0.90      0.00000      0.00228     -0.00228
  0.92      0.00000      0.00248     -0.00248
  0.94      0.00000      0.00268     -0.00268
  0.96      0.00000      0.00288     -0.00288
  0.98      0.00000      0.00308     -0.00308
  1.00      0.00000      0.00328     -0.00328
  1.02      0.00000      0.00348     -0.00348
  1.04      0.00000      0.00369     -0.00369
  1.06      0.00000      0.00389     -0.00389
  1.08      0.00000      0.00409     -0.00409
  1.10      0.00000      0.00429     -0.00429
  1.12      0.00000      0.00449     -0.00449
  1.14      0.00000      0.00470     -0.00470
  1.16      0.00000      0.00490     -0.00490
  1.18      0.00000      0.00510     -0.00510
  1.20      0.00000      0.00530     -0.00530
  1.22      0.00000      0.00551     -0.00551
  1.24      0.00000      0.00571     -0.00571
  1.26      0.00000      0.00591     -0.00591
  1.28      0.00000      0.00611     -0.00611
  1.30      0.00000      0.00632     -0.00632
  1.32      0.00000      0.00652     -0.00652
  1.34      0.00000      0.00672     -0.00672
  1.36      0.00000      0.00693     -0.00693
  1.38      0.00000      0.00713     -0.00713
  1.40      0.00000      0.00733     -0.00733
  1.42      0.00000      0.00753     -0.00753
  1.44      0.00000      0.00774     -0.00774
  1.46      0.00000      0.00794     -0.00794
  1.48      0.00000      0.00815     -0.00815
  1.50      0.00000      0.00835     -0.00835
  1.52      0.00000      0.00855     -0.00855
  1.54      0.00000      0.00876     -0.00876
  1.56      0.00000      0.00896     -0.00896
  1.58      0.00000      0.00917     -0.00917
  1.60      0.00000      0.00938     -0.00938
  1.62      0.00000      0.00958     -0.00958
  1.64      0.00000      0.00979     -0.00979
  1.66      0.00000      0.01000     -0.01000
  1.68      0.00000      0.01022     -0.01022
  1.70      0.00000      0.01043     -0.01043
  1.72      0.00000      0.01065     -0.01065
  1.74      0.00000      0.01087     -0.01087
  1.76      0.00000      0.01110     -0.01110
  1.78      0.00000      0.01132     -0.01132
  1.80      0.00000      0.01156     -0.01156
  1.82      0.00000      0.01180     -0.01180
  1.84      0.00000      0.01204     -0.01204
  1.86      0.00000      0.01229     -0.01229
  1.88      0.00000      0.01254     -0.01254
  1.90      0.00000      0.01280     -0.01280
  1.92      0.00000      0.01305     -0.01305
  1.94      0.00000      0.01332     -0.01332
  1.96      0.00000      0.01358     -0.01358
  1.98      0.00000      0.01385     -0.01385
  2.00      0.00000      0.01411     -0.01411
  2.02      0.00000      0.01438     -0.01438
  2.04      0.00000      0.01465     -0.01465
  2.06      0.00000      0.01492     -0.01492
  2.08      0.00000      0.01519     -0.01519
  2.10      0.00000      0.01547     -0.01547
  2.12      0.00000      0.01574     -0.01571
  2.14      0.00000      0.01601     -0.01597
  2.16      0.00012      0.01628     -0.01622
  2.18      0.00009      0.01655     -0.01647
  2.20      0.00012      0.01683     -0.01671
  2.22      0.00009      0.01710     -0.01694
  2.24      0.00017      0.01737     -0.01712
  2.26      0.00034      0.01764     -0.01724
  2.28      0.00056      0.01792     -0.01738
