 #r(A)        ρ(r)_raw       ρ_smooth(r)         Base
    0.0500      0.0000000      0.0000000      0.0463613
    0.1500      0.0000000      0.0000000      0.0467286
    0.2500      0.0000000      0.0000000      0.0471227
    0.3500      0.0000000      0.0010504      0.0475377
    0.4500      0.0031511      0.0024567      0.0479694
    0.5500      0.0042189      0.0048823      0.0484143
    0.6500      0.0072769      0.0079914      0.0488710
    0.7500      0.0124785      0.0115631      0.0493388
    0.8500      0.0149339      0.0146438      0.0498156
    0.9500      0.0165191      0.0172543      0.0503001
    1.0500      0.0203099      0.0189436      0.0507918
    1.1500      0.0200018      0.0196992      0.0512884
    1.2500      0.0187858      0.0190617      0.0517889
    1.3500      0.0183975      0.0185656      0.0522912
    1.4500      0.0185134      0.0182273      0.0527924
    1.5500      0.0177711      0.0177200      0.0532896
    1.6500      0.0168755      0.0167263      0.0537820
    1.7500      0.0155323      0.0162773      0.0542700
    1.8500      0.0164240      0.0176290      0.0547561
    1.9500      0.0209307      0.0225512      0.0552424
    2.0500      0.0302988      0.0323910      0.0557305
    2.1500      0.0459433      0.0473421      0.0562201
    2.2500      0.0657842      0.0664477      0.0567074
    2.3500      0.0876157      0.0878477      0.0571859
    2.4500      0.1101432      0.1102070      0.0576468
    2.5500      0.1328621      0.1301739      0.0580803
    2.6500      0.1475164      0.1445667      0.0590847
    2.7500      0.1533216      0.1491485      0.0599740
    2.8500      0.1466075      0.1430977      0.0607464
    2.9500      0.1293641      0.1275227      0.0614144
    3.0500      0.1065966      0.1072223      0.0620010
    3.1500      0.0857062      0.0862576      0.0625344
    3.2500      0.0664700      0.0685052      0.0630394
    3.3500      0.0533393      0.0549426      0.0635376
    3.4500      0.0450186      0.0473668      0.0640421
    3.5500      0.0437425      0.0450606      0.0645603
    3.6500      0.0464207      0.0471888      0.0650924
    3.7500      0.0514031      0.0508480      0.0656343
    3.8500      0.0547201      0.0541613      0.0661801
    3.9500      0.0563606      0.0560351      0.0667257
    4.0500      0.0570246      0.0575038      0.0672689
    4.1500      0.0591261      0.0600055      0.0678085
    4.2500      0.0638659      0.0640111      0.0683437
    4.3500      0.0690412      0.0699874      0.0688718
    4.4500      0.0770550      0.0769519      0.0693908
    4.5500      0.0847593      0.0848166      0.0698968
    4.6500      0.0926355      0.0917275      0.0703868
    4.7500      0.0977877      0.0966545      0.0708575
    4.8500      0.0995404      0.0978043      0.0713069
    4.9500      0.0960847      0.0949063      0.0717350
    5.0500      0.0890939      0.0893343      0.0721447
    5.1500      0.0828242      0.0825885      0.0725402
    5.2500      0.0758475      0.0765315      0.0729033
    5.3500      0.0709227      0.0715966      0.0732369
    5.4500      0.0680197      0.0689492      0.0735428
    5.5500      0.0679052      0.0682983      0.0738219
    5.6500      0.0689700      0.0698114      0.0740750
    5.7500      0.0725591      0.0724159      0.0743017
    5.8500      0.0757188      0.0752280      0.0745007
    5.9500      0.0774061      0.0773803      0.0746717
    6.0500      0.0790159      0.0787504      0.0748148
    6.1500      0.0798291      0.0790267      0.0749295
    6.2500      0.0782351      0.0771066      0.0750166
    6.3500      0.0732555      0.0730332      0.0750770
    6.4500      0.0676091      0.0673093      0.0751147
    6.5500      0.0610633      0.0623180      0.0751347
    6.6500      0.0582817      0.0589682      0.0751431
    6.7500      0.0575595      0.0589436      0.0751431
    6.8500      0.0609896      0.0616645      0.0751363
    6.9500      0.0664445      0.0673890      0.0751206
    7.0500      0.0747328      0.0748888      0.0750930
    7.1500      0.0834890      0.0829539      0.0750490
    7.2500      0.0906400      0.0891335      0.0749854
    7.3500      0.0932716      0.0917754      0.0749017
    7.4500      0.0914147      0.0903210      0.0748025
    7.5500      0.0862767      0.0857477      0.0746963
    7.6500      0.0795515      0.0801978      0.0745947
    7.7500      0.0747650      0.0749979      0.0745104
    7.8500      0.0706771      0.0713933      0.0744518
    7.9500      0.0687376      0.0697079      0.0744234
    8.0500      0.0697090      0.0703943      0.0744236
    8.1500      0.0727362      0.0729882      0.0744450
    8.2500      0.0765193      0.0763461      0.0744763
    8.3500      0.0797827      0.0785022      0.0745070
    8.4500      0.0792046      0.0788754      0.0745273
    8.5500      0.0776388      0.0773152      0.0745336
    8.6500      0.0751021      0.0746486      0.0745244
    8.7500      0.0712048      0.0712015      0.0745023
    8.8500      0.0672976      0.0676113      0.0744724
    8.9500      0.0643314      0.0643219      0.0744403
    9.0500      0.0613366      0.0618137      0.0744106
    9.1500      0.0597732      0.0608255      0.0743871
    9.2500      0.0613665      0.0617698      0.0743717
    9.3500      0.0641696      0.0649011      0.0743648
    9.4500      0.0691671      0.0695597      0.0743658
    9.5500      0.0753423      0.0755886      0.0743718
    9.6500      0.0822564      0.0820072      0.0743800
    9.7500      0.0884228      0.0875296      0.0743863
    9.8500      0.0919094      0.0912619      0.0743874
    9.9500      0.0934533      0.0924737      0.0743815
   10.0500      0.0920583      0.0908782      0.0743669
   10.1500      0.0871231      0.0869220      0.0743429
   10.2500      0.0815847      0.0812139      0.0743111
   10.3500      0.0749341      0.0754033      0.0742739
   10.4500      0.0696911      0.0703643      0.0742350
   10.5500      0.0664676      0.0670625      0.0741976
   10.6500      0.0650289      0.0654993      0.0741636
   10.7500      0.0650013      0.0652230      0.0741347
   10.8500      0.0656388      0.0656745      0.0741117
   10.9500      0.0663835      0.0664047      0.0740954
   11.0500      0.0671918      0.0670858      0.0740863
   11.1500      0.0676820      0.0674559      0.0740839
   11.2500      0.0674939      0.0674397      0.0740883
   11.3500      0.0671433      0.0677340      0.0741002
   11.4500      0.0685650      0.0688317      0.0741196
   11.5500      0.0707868      0.0709513      0.0741437
   11.6500      0.0735022      0.0737401      0.0741693
   11.7500      0.0769312      0.0769682      0.0741922
   11.8500      0.0804712      0.0802716      0.0742090
   11.9500      0.0834124      0.0831011      0.0742164
   12.0500      0.0854196      0.0849760      0.0742128
   12.1500      0.0860960      0.0856429      0.0741977
   12.2500      0.0854132      0.0849322      0.0741725
   12.3500      0.0832875      0.0830092      0.0741401
   12.4500      0.0803269      0.0802162      0.0741041
   12.5500      0.0770343      0.0772087      0.0740675
   12.6500      0.0742650      0.0742303      0.0740324
   12.7500      0.0713917      0.0714723      0.0739997
   12.8500      0.0687602      0.0689364      0.0739701
   12.9500      0.0666574      0.0668976      0.0739450
   13.0500      0.0652753      0.0656655      0.0739256
   13.1500      0.0650639      0.0650574      0.0739127
   13.2500      0.0648332      0.0651171      0.0739068
   13.3500      0.0654543      0.0655814      0.0739088
   13.4500      0.0664567      0.0667053      0.0739191
