 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000     -0.00000
  0.10      0.00000      0.00000     -0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00001     -0.00001
  0.18      0.00000      0.00001     -0.00001
  0.20      0.00000      0.00002     -0.00002
  0.22      0.00000      0.00003     -0.00003
  0.24      0.00000      0.00005     -0.00005
  0.26      0.00000      0.00007     -0.00007
  0.28      0.00000      0.00011     -0.00011
  0.30      0.00000      0.00015     -0.00015
  0.32      0.00000      0.00021     -0.00021
  0.34      0.00000      0.00028     -0.00028
  0.36      0.00000      0.00038     -0.00038
  0.38      0.00000      0.00049     -0.00049
  0.40      0.00000      0.00063     -0.00063
  0.42      0.00000      0.00080     -0.00080
  0.44      0.00000      0.00101     -0.00101
  0.46      0.00000      0.00124     -0.00124
  0.48      0.00000      0.00149     -0.00149
  0.50      0.00000      0.00177     -0.00177
  0.52      0.00000      0.00208     -0.00208
  0.54      0.00000      0.00240     -0.00240
  0.56      0.00000      0.00274     -0.00274
  0.58      0.00000      0.00308     -0.00308
  0.60      0.00000      0.00344     -0.00344
  0.62      0.00000      0.00380     -0.00380
  0.64      0.00000      0.00417     -0.00417
  0.66      0.00000      0.00454     -0.00454
  0.68      0.00000      0.00491     -0.00491
  0.70      0.00000      0.00529     -0.00529
  0.72      0.00000      0.00567     -0.00567
  0.74      0.00000      0.00604     -0.00604
  0.76      0.00000      0.00643     -0.00643
  0.78      0.00000      0.00681     -0.00681
  0.80      0.00000      0.00719     -0.00719
  0.82      0.00000      0.00758     -0.00758
  0.84      0.00000      0.00796     -0.00796
  0.86      0.00000      0.00835     -0.00835
  0.88      0.00000      0.00874     -0.00874
  0.90      0.00000      0.00913     -0.00913
  0.92      0.00000      0.00952     -0.00952
  0.94      0.00000      0.00991     -0.00991
  0.96      0.00000      0.01030     -0.01030
  0.98      0.00000      0.01070     -0.01070
  1.00      0.00000      0.01109     -0.01109
  1.02      0.00000      0.01149     -0.01149
  1.04      0.00000      0.01188     -0.01188
  1.06      0.00000      0.01228     -0.01228
  1.08      0.00000      0.01268     -0.01268
  1.10      0.00000      0.01308     -0.01308
  1.12      0.00000      0.01348     -0.01348
  1.14      0.00000      0.01388     -0.01388
  1.16      0.00000      0.01428     -0.01428
  1.18      0.00000      0.01468     -0.01468
  1.20      0.00000      0.01509     -0.01509
  1.22      0.00000      0.01549     -0.01549
  1.24      0.00000      0.01590     -0.01590
  1.26      0.00000      0.01631     -0.01631
  1.28      0.00000      0.01672     -0.01672
  1.30      0.00000      0.01713     -0.01713
  1.32      0.00000      0.01754     -0.01754
  1.34      0.00000      0.01796     -0.01796
  1.36      0.00000      0.01838     -0.01838
  1.38      0.00000      0.01880     -0.01880
  1.40      0.00000      0.01923     -0.01923
  1.42      0.00000      0.01967     -0.01967
  1.44      0.00000      0.02011     -0.02011
  1.46      0.00000      0.02055     -0.02055
  1.48      0.00000      0.02101     -0.02101
  1.50      0.00000      0.02147     -0.02147
  1.52      0.00000      0.02195     -0.02195
  1.54      0.00000      0.02243     -0.02243
  1.56      0.00000      0.02291     -0.02291
  1.58      0.00000      0.02340     -0.02340
  1.60      0.00000      0.02390     -0.02390
  1.62      0.00000      0.02440     -0.02440
  1.64      0.00000      0.02490     -0.02490
  1.66      0.00000      0.02541     -0.02541
  1.68      0.00000      0.02593     -0.02593
  1.70      0.00000      0.02644     -0.02644
  1.72      0.00000      0.02696     -0.02696
  1.74      0.00000      0.02748     -0.02748
  1.76      0.00000      0.02800     -0.02800
  1.78      0.00000      0.02852     -0.02852
  1.80      0.00000      0.02905     -0.02905
  1.82      0.00000      0.02958     -0.02958
  1.84      0.00000      0.03011     -0.03011
  1.86      0.00000      0.03064     -0.03064
  1.88      0.00000      0.03118     -0.03118
  1.90      0.00000      0.03172     -0.03172
  1.92      0.00000      0.03226     -0.03226
  1.94      0.00000      0.03280     -0.03280
  1.96      0.00000      0.03335     -0.03335
  1.98      0.00000      0.03390     -0.03390
  2.00      0.00000      0.03446     -0.03446
  2.02      0.00000      0.03502     -0.03502
  2.04      0.00000      0.03559     -0.03544
  2.06      0.00000      0.03616     -0.03500
  2.08      0.00073      0.03674     -0.03487
  2.10      0.00504      0.03732     -0.03361
  2.12      0.00357      0.03791     -0.03125
  2.14      0.00921      0.03851     -0.02714
  2.16      0.01472      0.03912     -0.02311
  2.18      0.02431      0.03975     -0.01667
  2.20      0.02823      0.04038     -0.01035
  2.22      0.03892      0.04103      0.00108
  2.24      0.04397      0.04170      0.01523
  2.26      0.07511      0.04238      0.03223
  2.28      0.09841      0.04308      0.05042
