 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06     -0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00001
  0.22     -0.00001
  0.24     -0.00001
  0.26     -0.00002
  0.28     -0.00003
  0.30     -0.00004
  0.32     -0.00005
  0.34     -0.00007
  0.36     -0.00009
  0.38     -0.00011
  0.40     -0.00014
  0.42     -0.00017
  0.44     -0.00020
  0.46     -0.00024
  0.48     -0.00029
  0.50     -0.00034
  0.52     -0.00040
  0.54     -0.00046
  0.56     -0.00054
  0.58     -0.00063
  0.60     -0.00073
  0.62     -0.00086
  0.64     -0.00102
  0.66     -0.00123
  0.68     -0.00148
  0.70     -0.00177
  0.72     -0.00213
  0.74     -0.00252
  0.76     -0.00295
  0.78     -0.00341
  0.80     -0.00391
  0.82     -0.00442
  0.84     -0.00494
  0.86     -0.00547
  0.88     -0.00600
  0.90     -0.00654
  0.92     -0.00709
  0.94     -0.00764
  0.96     -0.00819
  0.98     -0.00874
  1.00     -0.00929
  1.02     -0.00985
  1.04     -0.01040
  1.06     -0.01096
  1.08     -0.01151
  1.10     -0.01207
  1.12     -0.01263
  1.14     -0.01318
  1.16     -0.01374
  1.18     -0.01430
  1.20     -0.01486
  1.22     -0.01542
  1.24     -0.01598
  1.26     -0.01655
  1.28     -0.01711
  1.30     -0.01767
  1.32     -0.01823
  1.34     -0.01880
  1.36     -0.01936
  1.38     -0.01993
  1.40     -0.02049
  1.42     -0.02106
  1.44     -0.02163
  1.46     -0.02220
  1.48     -0.02277
  1.50     -0.02334
  1.52     -0.02391
  1.54     -0.02449
  1.56     -0.02506
  1.58     -0.02564
  1.60     -0.02622
  1.62     -0.02680
  1.64     -0.02738
  1.66     -0.02797
  1.68     -0.02856
  1.70     -0.02916
  1.72     -0.02976
  1.74     -0.03037
  1.76     -0.03099
  1.78     -0.03162
  1.80     -0.03225
  1.82     -0.03290
  1.84     -0.03357
  1.86     -0.03424
  1.88     -0.03493
  1.90     -0.03563
  1.92     -0.03634
  1.94     -0.03706
  1.96     -0.03779
  1.98     -0.03853
  2.00     -0.03926
  2.02     -0.03980
  2.04     -0.04054
  2.06     -0.04109
  2.08     -0.04177
  2.10     -0.04204
  2.12     -0.04264
  2.14     -0.04206
  2.16     -0.04167
  2.18     -0.04067
  2.20     -0.03911
  2.22     -0.03640
  2.24     -0.03438
  2.26     -0.03174
  2.28     -0.02915
  2.30     -0.02584
  2.32     -0.02412
  2.34     -0.02226
  2.36     -0.01961
  2.38     -0.01666
  2.40     -0.01462
  2.42     -0.01149
