 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00001     -0.00001
  0.50      0.00000      0.00002     -0.00002
  0.52      0.00000      0.00003     -0.00003
  0.54      0.00000      0.00005     -0.00005
  0.56      0.00000      0.00007     -0.00007
  0.58      0.00000      0.00010     -0.00010
  0.60      0.00000      0.00014     -0.00014
  0.62      0.00000      0.00020     -0.00020
  0.64      0.00000      0.00026     -0.00026
  0.66      0.00000      0.00035     -0.00035
  0.68      0.00000      0.00044     -0.00044
  0.70      0.00000      0.00055     -0.00055
  0.72      0.00000      0.00068     -0.00068
  0.74      0.00000      0.00082     -0.00082
  0.76      0.00000      0.00097     -0.00097
  0.78      0.00000      0.00113     -0.00113
  0.80      0.00000      0.00130     -0.00130
  0.82      0.00000      0.00147     -0.00147
  0.84      0.00000      0.00165     -0.00165
  0.86      0.00000      0.00184     -0.00184
  0.88      0.00000      0.00203     -0.00203
  0.90      0.00000      0.00222     -0.00222
  0.92      0.00000      0.00241     -0.00241
  0.94      0.00000      0.00261     -0.00261
  0.96      0.00000      0.00280     -0.00280
  0.98      0.00000      0.00300     -0.00300
  1.00      0.00000      0.00319     -0.00319
  1.02      0.00000      0.00339     -0.00339
  1.04      0.00000      0.00359     -0.00359
  1.06      0.00000      0.00379     -0.00379
  1.08      0.00000      0.00398     -0.00398
  1.10      0.00000      0.00418     -0.00418
  1.12      0.00000      0.00438     -0.00438
  1.14      0.00000      0.00458     -0.00458
  1.16      0.00000      0.00478     -0.00478
  1.18      0.00000      0.00497     -0.00497
  1.20      0.00000      0.00517     -0.00517
  1.22      0.00000      0.00537     -0.00537
  1.24      0.00000      0.00557     -0.00557
  1.26      0.00000      0.00577     -0.00577
  1.28      0.00000      0.00596     -0.00596
  1.30      0.00000      0.00616     -0.00616
  1.32      0.00000      0.00636     -0.00636
  1.34      0.00000      0.00656     -0.00656
  1.36      0.00000      0.00676     -0.00676
  1.38      0.00000      0.00696     -0.00696
  1.40      0.00000      0.00716     -0.00716
  1.42      0.00000      0.00735     -0.00735
  1.44      0.00000      0.00755     -0.00755
  1.46      0.00000      0.00775     -0.00775
  1.48      0.00000      0.00795     -0.00795
  1.50      0.00000      0.00815     -0.00815
  1.52      0.00000      0.00835     -0.00835
  1.54      0.00000      0.00855     -0.00855
  1.56      0.00000      0.00875     -0.00875
  1.58      0.00000      0.00896     -0.00896
  1.60      0.00000      0.00916     -0.00916
  1.62      0.00000      0.00936     -0.00936
  1.64      0.00000      0.00957     -0.00957
  1.66      0.00000      0.00978     -0.00978
  1.68      0.00000      0.00999     -0.00999
  1.70      0.00000      0.01020     -0.01020
  1.72      0.00000      0.01041     -0.01041
  1.74      0.00000      0.01063     -0.01063
  1.76      0.00000      0.01085     -0.01085
  1.78      0.00000      0.01108     -0.01108
  1.80      0.00000      0.01131     -0.01131
  1.82      0.00000      0.01154     -0.01154
  1.84      0.00000      0.01178     -0.01178
  1.86      0.00000      0.01202     -0.01202
  1.88      0.00000      0.01227     -0.01227
  1.90      0.00000      0.01252     -0.01252
  1.92      0.00000      0.01277     -0.01277
  1.94      0.00000      0.01302     -0.01302
  1.96      0.00000      0.01328     -0.01328
  1.98      0.00000      0.01354     -0.01354
  2.00      0.00000      0.01380     -0.01380
  2.02      0.00000      0.01406     -0.01406
  2.04      0.00000      0.01432     -0.01432
  2.06      0.00000      0.01459     -0.01459
  2.08      0.00000      0.01485     -0.01484
  2.10      0.00000      0.01511     -0.01510
  2.12      0.00003      0.01538     -0.01536
  2.14      0.00003      0.01564     -0.01562
  2.16      0.00003      0.01591     -0.01586
  2.18      0.00006      0.01618     -0.01611
  2.20      0.00009      0.01644     -0.01636
  2.22      0.00012      0.01671     -0.01657
  2.24      0.00011      0.01698     -0.01676
  2.26      0.00034      0.01724     -0.01698
  2.28      0.00042      0.01751     -0.01714
