 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00003     -0.00003
  0.50      0.00000      0.00005     -0.00005
  0.52      0.00000      0.00007     -0.00007
  0.54      0.00000      0.00010     -0.00010
  0.56      0.00000      0.00013     -0.00013
  0.58      0.00000      0.00018     -0.00018
  0.60      0.00000      0.00025     -0.00025
  0.62      0.00000      0.00032     -0.00032
  0.64      0.00000      0.00041     -0.00041
  0.66      0.00000      0.00051     -0.00051
  0.68      0.00000      0.00063     -0.00063
  0.70      0.00000      0.00076     -0.00076
  0.72      0.00000      0.00089     -0.00089
  0.74      0.00000      0.00104     -0.00104
  0.76      0.00000      0.00120     -0.00120
  0.78      0.00000      0.00136     -0.00136
  0.80      0.00000      0.00152     -0.00152
  0.82      0.00000      0.00169     -0.00169
  0.84      0.00000      0.00186     -0.00186
  0.86      0.00000      0.00203     -0.00203
  0.88      0.00000      0.00221     -0.00221
  0.90      0.00000      0.00238     -0.00238
  0.92      0.00000      0.00256     -0.00256
  0.94      0.00000      0.00274     -0.00274
  0.96      0.00000      0.00292     -0.00292
  0.98      0.00000      0.00310     -0.00310
  1.00      0.00000      0.00328     -0.00328
  1.02      0.00000      0.00346     -0.00346
  1.04      0.00000      0.00365     -0.00365
  1.06      0.00000      0.00383     -0.00383
  1.08      0.00000      0.00401     -0.00401
  1.10      0.00000      0.00419     -0.00419
  1.12      0.00000      0.00438     -0.00438
  1.14      0.00000      0.00456     -0.00456
  1.16      0.00000      0.00475     -0.00475
  1.18      0.00000      0.00493     -0.00493
  1.20      0.00000      0.00512     -0.00512
  1.22      0.00000      0.00530     -0.00530
  1.24      0.00000      0.00549     -0.00549
  1.26      0.00000      0.00568     -0.00568
  1.28      0.00000      0.00586     -0.00586
  1.30      0.00000      0.00605     -0.00605
  1.32      0.00000      0.00624     -0.00624
  1.34      0.00000      0.00642     -0.00642
  1.36      0.00000      0.00661     -0.00661
  1.38      0.00000      0.00680     -0.00680
  1.40      0.00000      0.00699     -0.00699
  1.42      0.00000      0.00718     -0.00718
  1.44      0.00000      0.00737     -0.00737
  1.46      0.00000      0.00756     -0.00756
  1.48      0.00000      0.00775     -0.00775
  1.50      0.00000      0.00795     -0.00795
  1.52      0.00000      0.00814     -0.00814
  1.54      0.00000      0.00833     -0.00833
  1.56      0.00000      0.00853     -0.00853
  1.58      0.00000      0.00872     -0.00872
  1.60      0.00000      0.00892     -0.00892
  1.62      0.00000      0.00912     -0.00912
  1.64      0.00000      0.00932     -0.00932
  1.66      0.00000      0.00953     -0.00953
  1.68      0.00000      0.00973     -0.00973
  1.70      0.00000      0.00994     -0.00994
  1.72      0.00000      0.01016     -0.01016
  1.74      0.00000      0.01037     -0.01037
  1.76      0.00000      0.01059     -0.01059
  1.78      0.00000      0.01081     -0.01081
  1.80      0.00000      0.01104     -0.01104
  1.82      0.00000      0.01127     -0.01127
  1.84      0.00000      0.01150     -0.01150
  1.86      0.00000      0.01174     -0.01174
  1.88      0.00000      0.01197     -0.01197
  1.90      0.00000      0.01221     -0.01221
  1.92      0.00000      0.01245     -0.01245
  1.94      0.00000      0.01270     -0.01270
  1.96      0.00000      0.01294     -0.01294
  1.98      0.00000      0.01318     -0.01318
  2.00      0.00000      0.01343     -0.01343
  2.02      0.00000      0.01368     -0.01368
  2.04      0.00000      0.01392     -0.01392
  2.06      0.00000      0.01417     -0.01417
  2.08      0.00000      0.01442     -0.01442
  2.10      0.00000      0.01467     -0.01467
  2.12      0.00000      0.01492     -0.01492
  2.14      0.00000      0.01517     -0.01517
  2.16      0.00000      0.01542     -0.01542
  2.18      0.00000      0.01568     -0.01568
  2.20      0.00000      0.01593     -0.01590
  2.22      0.00000      0.01619     -0.01615
  2.24      0.00015      0.01644     -0.01638
  2.26      0.00000      0.01670     -0.01658
  2.28      0.00015      0.01695     -0.01654
