 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00002     -0.00002
  0.52      0.00000      0.00003     -0.00003
  0.54      0.00000      0.00005     -0.00005
  0.56      0.00000      0.00007     -0.00007
  0.58      0.00000      0.00010     -0.00010
  0.60      0.00000      0.00013     -0.00013
  0.62      0.00000      0.00018     -0.00018
  0.64      0.00000      0.00025     -0.00025
  0.66      0.00000      0.00032     -0.00032
  0.68      0.00000      0.00042     -0.00042
  0.70      0.00000      0.00053     -0.00053
  0.72      0.00000      0.00066     -0.00066
  0.74      0.00000      0.00080     -0.00080
  0.76      0.00000      0.00096     -0.00096
  0.78      0.00000      0.00113     -0.00113
  0.80      0.00000      0.00130     -0.00130
  0.82      0.00000      0.00149     -0.00149
  0.84      0.00000      0.00168     -0.00168
  0.86      0.00000      0.00187     -0.00187
  0.88      0.00000      0.00207     -0.00207
  0.90      0.00000      0.00227     -0.00227
  0.92      0.00000      0.00247     -0.00247
  0.94      0.00000      0.00267     -0.00267
  0.96      0.00000      0.00287     -0.00287
  0.98      0.00000      0.00307     -0.00307
  1.00      0.00000      0.00328     -0.00328
  1.02      0.00000      0.00348     -0.00348
  1.04      0.00000      0.00368     -0.00368
  1.06      0.00000      0.00388     -0.00388
  1.08      0.00000      0.00409     -0.00409
  1.10      0.00000      0.00429     -0.00429
  1.12      0.00000      0.00449     -0.00449
  1.14      0.00000      0.00470     -0.00470
  1.16      0.00000      0.00490     -0.00490
  1.18      0.00000      0.00510     -0.00510
  1.20      0.00000      0.00531     -0.00531
  1.22      0.00000      0.00551     -0.00551
  1.24      0.00000      0.00571     -0.00571
  1.26      0.00000      0.00592     -0.00592
  1.28      0.00000      0.00612     -0.00612
  1.30      0.00000      0.00633     -0.00633
  1.32      0.00000      0.00653     -0.00653
  1.34      0.00000      0.00673     -0.00673
  1.36      0.00000      0.00694     -0.00694
  1.38      0.00000      0.00714     -0.00714
  1.40      0.00000      0.00734     -0.00734
  1.42      0.00000      0.00755     -0.00755
  1.44      0.00000      0.00775     -0.00775
  1.46      0.00000      0.00796     -0.00796
  1.48      0.00000      0.00816     -0.00816
  1.50      0.00000      0.00837     -0.00837
  1.52      0.00000      0.00857     -0.00857
  1.54      0.00000      0.00878     -0.00878
  1.56      0.00000      0.00898     -0.00898
  1.58      0.00000      0.00919     -0.00919
  1.60      0.00000      0.00940     -0.00940
  1.62      0.00000      0.00961     -0.00961
  1.64      0.00000      0.00982     -0.00982
  1.66      0.00000      0.01003     -0.01003
  1.68      0.00000      0.01024     -0.01024
  1.70      0.00000      0.01046     -0.01046
  1.72      0.00000      0.01067     -0.01067
  1.74      0.00000      0.01090     -0.01090
  1.76      0.00000      0.01112     -0.01112
  1.78      0.00000      0.01135     -0.01135
  1.80      0.00000      0.01158     -0.01158
  1.82      0.00000      0.01182     -0.01182
  1.84      0.00000      0.01206     -0.01206
  1.86      0.00000      0.01231     -0.01231
  1.88      0.00000      0.01256     -0.01256
  1.90      0.00000      0.01282     -0.01282
  1.92      0.00000      0.01308     -0.01308
  1.94      0.00000      0.01334     -0.01334
  1.96      0.00000      0.01361     -0.01361
  1.98      0.00000      0.01387     -0.01387
  2.00      0.00000      0.01414     -0.01414
  2.02      0.00000      0.01441     -0.01441
  2.04      0.00000      0.01468     -0.01468
  2.06      0.00000      0.01495     -0.01495
  2.08      0.00000      0.01523     -0.01523
  2.10      0.00000      0.01550     -0.01549
  2.12      0.00000      0.01577     -0.01575
  2.14      0.00006      0.01605     -0.01600
  2.16      0.00006      0.01632     -0.01624
  2.18      0.00012      0.01659     -0.01646
  2.20      0.00015      0.01687     -0.01667
  2.22      0.00027      0.01714     -0.01685
  2.24      0.00038      0.01741     -0.01702
  2.26      0.00053      0.01769     -0.01721
  2.28      0.00067      0.01796     -0.01732
