 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00001
  0.30     -0.00001
  0.32     -0.00001
  0.34     -0.00002
  0.36     -0.00002
  0.38     -0.00003
  0.40     -0.00004
  0.42     -0.00005
  0.44     -0.00006
  0.46     -0.00007
  0.48     -0.00008
  0.50     -0.00009
  0.52     -0.00011
  0.54     -0.00012
  0.56     -0.00014
  0.58     -0.00016
  0.60     -0.00018
  0.62     -0.00022
  0.64     -0.00027
  0.66     -0.00035
  0.68     -0.00047
  0.70     -0.00063
  0.72     -0.00084
  0.74     -0.00111
  0.76     -0.00143
  0.78     -0.00180
  0.80     -0.00220
  0.82     -0.00263
  0.84     -0.00308
  0.86     -0.00353
  0.88     -0.00400
  0.90     -0.00446
  0.92     -0.00493
  0.94     -0.00540
  0.96     -0.00587
  0.98     -0.00634
  1.00     -0.00681
  1.02     -0.00728
  1.04     -0.00775
  1.06     -0.00822
  1.08     -0.00869
  1.10     -0.00916
  1.12     -0.00963
  1.14     -0.01010
  1.16     -0.01057
  1.18     -0.01104
  1.20     -0.01151
  1.22     -0.01199
  1.24     -0.01246
  1.26     -0.01293
  1.28     -0.01340
  1.30     -0.01387
  1.32     -0.01434
  1.34     -0.01481
  1.36     -0.01529
  1.38     -0.01576
  1.40     -0.01623
  1.42     -0.01670
  1.44     -0.01718
  1.46     -0.01765
  1.48     -0.01812
  1.50     -0.01860
  1.52     -0.01907
  1.54     -0.01955
  1.56     -0.02002
  1.58     -0.02049
  1.60     -0.02097
  1.62     -0.02145
  1.64     -0.02192
  1.66     -0.02240
  1.68     -0.02288
  1.70     -0.02336
  1.72     -0.02385
  1.74     -0.02433
  1.76     -0.02482
  1.78     -0.02532
  1.80     -0.02583
  1.82     -0.02635
  1.84     -0.02688
  1.86     -0.02742
  1.88     -0.02797
  1.90     -0.02854
  1.92     -0.02913
  1.94     -0.02972
  1.96     -0.03032
  1.98     -0.03093
  2.00     -0.03155
  2.02     -0.03217
  2.04     -0.03280
  2.06     -0.03339
  2.08     -0.03392
  2.10     -0.03441
  2.12     -0.03492
  2.14     -0.03532
  2.16     -0.03566
  2.18     -0.03585
  2.20     -0.03570
  2.22     -0.03539
  2.24     -0.03506
  2.26     -0.03465
  2.28     -0.03396
  2.30     -0.03393
  2.32     -0.03378
  2.34     -0.03335
  2.36     -0.03360
  2.38     -0.03415
  2.40     -0.03423
  2.42     -0.03476
