 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00002
  0.30     -0.00002
  0.32     -0.00003
  0.34     -0.00004
  0.36     -0.00005
  0.38     -0.00007
  0.40     -0.00008
  0.42     -0.00010
  0.44     -0.00012
  0.46     -0.00014
  0.48     -0.00017
  0.50     -0.00019
  0.52     -0.00022
  0.54     -0.00025
  0.56     -0.00029
  0.58     -0.00033
  0.60     -0.00038
  0.62     -0.00044
  0.64     -0.00052
  0.66     -0.00063
  0.68     -0.00078
  0.70     -0.00097
  0.72     -0.00122
  0.74     -0.00153
  0.76     -0.00189
  0.78     -0.00229
  0.80     -0.00274
  0.82     -0.00321
  0.84     -0.00369
  0.86     -0.00420
  0.88     -0.00471
  0.90     -0.00522
  0.92     -0.00574
  0.94     -0.00627
  0.96     -0.00679
  0.98     -0.00732
  1.00     -0.00785
  1.02     -0.00838
  1.04     -0.00891
  1.06     -0.00944
  1.08     -0.00997
  1.10     -0.01050
  1.12     -0.01103
  1.14     -0.01156
  1.16     -0.01210
  1.18     -0.01263
  1.20     -0.01316
  1.22     -0.01370
  1.24     -0.01423
  1.26     -0.01477
  1.28     -0.01530
  1.30     -0.01584
  1.32     -0.01638
  1.34     -0.01691
  1.36     -0.01745
  1.38     -0.01799
  1.40     -0.01853
  1.42     -0.01906
  1.44     -0.01960
  1.46     -0.02014
  1.48     -0.02068
  1.50     -0.02122
  1.52     -0.02177
  1.54     -0.02231
  1.56     -0.02285
  1.58     -0.02339
  1.60     -0.02394
  1.62     -0.02448
  1.64     -0.02503
  1.66     -0.02558
  1.68     -0.02613
  1.70     -0.02668
  1.72     -0.02724
  1.74     -0.02780
  1.76     -0.02836
  1.78     -0.02894
  1.80     -0.02952
  1.82     -0.03010
  1.84     -0.03071
  1.86     -0.03133
  1.88     -0.03196
  1.90     -0.03261
  1.92     -0.03327
  1.94     -0.03395
  1.96     -0.03463
  1.98     -0.03532
  2.00     -0.03602
  2.02     -0.03673
  2.04     -0.03744
  2.06     -0.03811
  2.08     -0.03878
  2.10     -0.03925
  2.12     -0.03975
  2.14     -0.03984
  2.16     -0.03994
  2.18     -0.03929
  2.20     -0.03819
  2.22     -0.03683
  2.24     -0.03468
  2.26     -0.03309
  2.28     -0.03226
  2.30     -0.03113
  2.32     -0.03003
  2.34     -0.03081
  2.36     -0.03014
  2.38     -0.03001
  2.40     -0.03071
  2.42     -0.03194
