 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50     -0.00000
  0.52     -0.00000
  0.54     -0.00000
  0.56     -0.00000
  0.58     -0.00001
  0.60     -0.00002
  0.62     -0.00004
  0.64     -0.00007
  0.66     -0.00013
  0.68     -0.00022
  0.70     -0.00035
  0.72     -0.00052
  0.74     -0.00075
  0.76     -0.00102
  0.78     -0.00134
  0.80     -0.00169
  0.82     -0.00207
  0.84     -0.00247
  0.86     -0.00288
  0.88     -0.00330
  0.90     -0.00373
  0.92     -0.00416
  0.94     -0.00459
  0.96     -0.00503
  0.98     -0.00546
  1.00     -0.00589
  1.02     -0.00633
  1.04     -0.00676
  1.06     -0.00720
  1.08     -0.00763
  1.10     -0.00806
  1.12     -0.00850
  1.14     -0.00893
  1.16     -0.00937
  1.18     -0.00980
  1.20     -0.01023
  1.22     -0.01067
  1.24     -0.01110
  1.26     -0.01154
  1.28     -0.01197
  1.30     -0.01240
  1.32     -0.01284
  1.34     -0.01327
  1.36     -0.01371
  1.38     -0.01414
  1.40     -0.01458
  1.42     -0.01501
  1.44     -0.01544
  1.46     -0.01588
  1.48     -0.01631
  1.50     -0.01675
  1.52     -0.01718
  1.54     -0.01761
  1.56     -0.01805
  1.58     -0.01848
  1.60     -0.01892
  1.62     -0.01935
  1.64     -0.01978
  1.66     -0.02022
  1.68     -0.02065
  1.70     -0.02109
  1.72     -0.02153
  1.74     -0.02197
  1.76     -0.02242
  1.78     -0.02287
  1.80     -0.02332
  1.82     -0.02379
  1.84     -0.02427
  1.86     -0.02475
  1.88     -0.02526
  1.90     -0.02577
  1.92     -0.02630
  1.94     -0.02683
  1.96     -0.02738
  1.98     -0.02794
  2.00     -0.02851
  2.02     -0.02907
  2.04     -0.02965
  2.06     -0.03022
  2.08     -0.03080
  2.10     -0.03137
  2.12     -0.03195
  2.14     -0.03253
  2.16     -0.03311
  2.18     -0.03368
  2.20     -0.03426
  2.22     -0.03484
  2.24     -0.03542
  2.26     -0.03600
  2.28     -0.03657
  2.30     -0.03715
  2.32     -0.03773
  2.34     -0.03831
  2.36     -0.03889
  2.38     -0.03946
  2.40     -0.04004
  2.42     -0.04062
  2.44     -0.04120
  2.46     -0.04145
