 #r(A)        G(r)
  0.02      0.00000
  0.04     -0.00000
  0.06     -0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00001
  0.24     -0.00001
  0.26     -0.00001
  0.28     -0.00002
  0.30     -0.00003
  0.32     -0.00004
  0.34     -0.00005
  0.36     -0.00006
  0.38     -0.00008
  0.40     -0.00010
  0.42     -0.00012
  0.44     -0.00015
  0.46     -0.00018
  0.48     -0.00022
  0.50     -0.00026
  0.52     -0.00030
  0.54     -0.00035
  0.56     -0.00041
  0.58     -0.00047
  0.60     -0.00054
  0.62     -0.00063
  0.64     -0.00074
  0.66     -0.00086
  0.68     -0.00103
  0.70     -0.00123
  0.72     -0.00149
  0.74     -0.00179
  0.76     -0.00214
  0.78     -0.00252
  0.80     -0.00293
  0.82     -0.00336
  0.84     -0.00380
  0.86     -0.00426
  0.88     -0.00472
  0.90     -0.00519
  0.92     -0.00566
  0.94     -0.00613
  0.96     -0.00661
  0.98     -0.00708
  1.00     -0.00756
  1.02     -0.00803
  1.04     -0.00851
  1.06     -0.00898
  1.08     -0.00946
  1.10     -0.00993
  1.12     -0.01041
  1.14     -0.01089
  1.16     -0.01136
  1.18     -0.01184
  1.20     -0.01232
  1.22     -0.01280
  1.24     -0.01327
  1.26     -0.01375
  1.28     -0.01423
  1.30     -0.01471
  1.32     -0.01519
  1.34     -0.01567
  1.36     -0.01615
  1.38     -0.01663
  1.40     -0.01712
  1.42     -0.01760
  1.44     -0.01808
  1.46     -0.01857
  1.48     -0.01905
  1.50     -0.01954
  1.52     -0.02002
  1.54     -0.02051
  1.56     -0.02100
  1.58     -0.02149
  1.60     -0.02198
  1.62     -0.02247
  1.64     -0.02297
  1.66     -0.02347
  1.68     -0.02396
  1.70     -0.02447
  1.72     -0.02497
  1.74     -0.02548
  1.76     -0.02600
  1.78     -0.02652
  1.80     -0.02706
  1.82     -0.02760
  1.84     -0.02815
  1.86     -0.02871
  1.88     -0.02928
  1.90     -0.02986
  1.92     -0.03045
  1.94     -0.03105
  1.96     -0.03166
  1.98     -0.03228
  2.00     -0.03276
  2.02     -0.03338
  2.04     -0.03402
  2.06     -0.03460
  2.08     -0.03519
  2.10     -0.03587
  2.12     -0.03617
  2.14     -0.03605
  2.16     -0.03543
  2.18     -0.03422
  2.20     -0.03357
  2.22     -0.03195
  2.24     -0.03049
  2.26     -0.02845
  2.28     -0.02682
  2.30     -0.02417
  2.32     -0.02301
  2.34     -0.02012
  2.36     -0.01822
  2.38     -0.01487
  2.40     -0.01302
  2.42     -0.00997
