 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00001     -0.00001
  0.26      0.00000      0.00001     -0.00001
  0.28      0.00000      0.00001     -0.00001
  0.30      0.00000      0.00001     -0.00001
  0.32      0.00000      0.00002     -0.00002
  0.34      0.00000      0.00002     -0.00002
  0.36      0.00000      0.00003     -0.00003
  0.38      0.00000      0.00004     -0.00004
  0.40      0.00000      0.00006     -0.00006
  0.42      0.00000      0.00009     -0.00009
  0.44      0.00000      0.00012     -0.00012
  0.46      0.00000      0.00017     -0.00017
  0.48      0.00000      0.00022     -0.00022
  0.50      0.00000      0.00029     -0.00029
  0.52      0.00000      0.00037     -0.00037
  0.54      0.00000      0.00046     -0.00046
  0.56      0.00000      0.00058     -0.00058
  0.58      0.00000      0.00071     -0.00071
  0.60      0.00000      0.00087     -0.00087
  0.62      0.00000      0.00104     -0.00104
  0.64      0.00000      0.00125     -0.00125
  0.66      0.00000      0.00148     -0.00148
  0.68      0.00000      0.00172     -0.00172
  0.70      0.00000      0.00199     -0.00199
  0.72      0.00000      0.00227     -0.00227
  0.74      0.00000      0.00258     -0.00258
  0.76      0.00000      0.00289     -0.00289
  0.78      0.00000      0.00322     -0.00322
  0.80      0.00000      0.00356     -0.00356
  0.82      0.00000      0.00391     -0.00391
  0.84      0.00000      0.00426     -0.00426
  0.86      0.00000      0.00462     -0.00462
  0.88      0.00000      0.00498     -0.00498
  0.90      0.00000      0.00534     -0.00534
  0.92      0.00000      0.00571     -0.00571
  0.94      0.00000      0.00609     -0.00609
  0.96      0.00000      0.00646     -0.00646
  0.98      0.00000      0.00683     -0.00683
  1.00      0.00000      0.00721     -0.00721
  1.02      0.00000      0.00759     -0.00759
  1.04      0.00000      0.00797     -0.00797
  1.06      0.00000      0.00835     -0.00835
  1.08      0.00000      0.00873     -0.00873
  1.10      0.00000      0.00911     -0.00911
  1.12      0.00000      0.00949     -0.00949
  1.14      0.00000      0.00987     -0.00987
  1.16      0.00000      0.01025     -0.01025
  1.18      0.00000      0.01064     -0.01064
  1.20      0.00000      0.01102     -0.01102
  1.22      0.00000      0.01140     -0.01140
  1.24      0.00000      0.01179     -0.01179
  1.26      0.00000      0.01217     -0.01217
  1.28      0.00000      0.01256     -0.01256
  1.30      0.00000      0.01294     -0.01294
  1.32      0.00000      0.01333     -0.01333
  1.34      0.00000      0.01371     -0.01371
  1.36      0.00000      0.01410     -0.01410
  1.38      0.00000      0.01449     -0.01449
  1.40      0.00000      0.01488     -0.01488
  1.42      0.00000      0.01528     -0.01528
  1.44      0.00000      0.01568     -0.01568
  1.46      0.00000      0.01607     -0.01607
  1.48      0.00000      0.01648     -0.01648
  1.50      0.00000      0.01688     -0.01688
  1.52      0.00000      0.01729     -0.01729
  1.54      0.00000      0.01771     -0.01771
  1.56      0.00000      0.01813     -0.01813
  1.58      0.00000      0.01855     -0.01855
  1.60      0.00000      0.01898     -0.01898
  1.62      0.00000      0.01941     -0.01941
  1.64      0.00000      0.01985     -0.01985
  1.66      0.00000      0.02028     -0.02028
  1.68      0.00000      0.02073     -0.02073
  1.70      0.00000      0.02117     -0.02117
  1.72      0.00000      0.02162     -0.02162
  1.74      0.00000      0.02208     -0.02208
  1.76      0.00000      0.02253     -0.02253
  1.78      0.00000      0.02299     -0.02299
  1.80      0.00000      0.02345     -0.02345
  1.82      0.00000      0.02392     -0.02392
  1.84      0.00000      0.02439     -0.02439
  1.86      0.00000      0.02486     -0.02486
  1.88      0.00000      0.02533     -0.02533
  1.90      0.00000      0.02581     -0.02581
  1.92      0.00000      0.02629     -0.02629
  1.94      0.00000      0.02677     -0.02677
  1.96      0.00000      0.02725     -0.02725
  1.98      0.00000      0.02773     -0.02773
  2.00      0.00000      0.02822     -0.02822
  2.02      0.00000      0.02871     -0.02871
  2.04      0.00000      0.02920     -0.02920
  2.06      0.00000      0.02970     -0.02970
  2.08      0.00000      0.03019     -0.02989
  2.10      0.00000      0.03069     -0.03025
  2.12      0.00149      0.03119     -0.03046
  2.14      0.00074      0.03170     -0.03024
  2.16      0.00146      0.03221     -0.03032
  2.18      0.00361      0.03272     -0.03037
  2.20      0.00215      0.03324     -0.03090
  2.22      0.00380      0.03377     -0.03101
  2.24      0.00070      0.03430     -0.03155
  2.26      0.00354      0.03485     -0.03088
  2.28      0.00356      0.03540     -0.02933
