 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00001     -0.00001
  0.26      0.00000      0.00002     -0.00002
  0.28      0.00000      0.00003     -0.00003
  0.30      0.00000      0.00004     -0.00004
  0.32      0.00000      0.00006     -0.00006
  0.34      0.00000      0.00009     -0.00009
  0.36      0.00000      0.00011     -0.00011
  0.38      0.00000      0.00014     -0.00014
  0.40      0.00000      0.00018     -0.00018
  0.42      0.00000      0.00021     -0.00021
  0.44      0.00000      0.00025     -0.00025
  0.46      0.00000      0.00029     -0.00029
  0.48      0.00000      0.00034     -0.00034
  0.50      0.00000      0.00039     -0.00039
  0.52      0.00000      0.00044     -0.00044
  0.54      0.00000      0.00050     -0.00050
  0.56      0.00000      0.00056     -0.00056
  0.58      0.00000      0.00063     -0.00063
  0.60      0.00000      0.00072     -0.00072
  0.62      0.00000      0.00082     -0.00082
  0.64      0.00000      0.00095     -0.00095
  0.66      0.00000      0.00111     -0.00111
  0.68      0.00000      0.00132     -0.00132
  0.70      0.00000      0.00158     -0.00158
  0.72      0.00000      0.00190     -0.00190
  0.74      0.00000      0.00228     -0.00228
  0.76      0.00000      0.00271     -0.00271
  0.78      0.00000      0.00320     -0.00320
  0.80      0.00000      0.00371     -0.00371
  0.82      0.00000      0.00424     -0.00424
  0.84      0.00000      0.00480     -0.00480
  0.86      0.00000      0.00537     -0.00537
  0.88      0.00000      0.00594     -0.00594
  0.90      0.00000      0.00651     -0.00651
  0.92      0.00000      0.00709     -0.00709
  0.94      0.00000      0.00766     -0.00766
  0.96      0.00000      0.00824     -0.00824
  0.98      0.00000      0.00882     -0.00882
  1.00      0.00000      0.00940     -0.00940
  1.02      0.00000      0.00998     -0.00998
  1.04      0.00000      0.01056     -0.01056
  1.06      0.00000      0.01114     -0.01114
  1.08      0.00000      0.01172     -0.01172
  1.10      0.00000      0.01230     -0.01230
  1.12      0.00000      0.01288     -0.01288
  1.14      0.00000      0.01347     -0.01347
  1.16      0.00000      0.01405     -0.01405
  1.18      0.00000      0.01464     -0.01464
  1.20      0.00000      0.01522     -0.01522
  1.22      0.00000      0.01581     -0.01581
  1.24      0.00000      0.01639     -0.01639
  1.26      0.00000      0.01698     -0.01698
  1.28      0.00000      0.01757     -0.01757
  1.30      0.00000      0.01816     -0.01816
  1.32      0.00000      0.01875     -0.01875
  1.34      0.00000      0.01934     -0.01934
  1.36      0.00000      0.01993     -0.01993
  1.38      0.00000      0.02052     -0.02052
  1.40      0.00000      0.02111     -0.02111
  1.42      0.00000      0.02171     -0.02171
  1.44      0.00000      0.02230     -0.02230
  1.46      0.00000      0.02290     -0.02290
  1.48      0.00000      0.02349     -0.02349
  1.50      0.00000      0.02409     -0.02409
  1.52      0.00000      0.02469     -0.02469
  1.54      0.00000      0.02529     -0.02529
  1.56      0.00000      0.02589     -0.02589
  1.58      0.00000      0.02650     -0.02650
  1.60      0.00000      0.02710     -0.02710
  1.62      0.00000      0.02771     -0.02771
  1.64      0.00000      0.02832     -0.02832
  1.66      0.00000      0.02893     -0.02893
  1.68      0.00000      0.02954     -0.02954
  1.70      0.00000      0.03016     -0.03016
  1.72      0.00000      0.03078     -0.03078
  1.74      0.00000      0.03141     -0.03141
  1.76      0.00000      0.03204     -0.03204
  1.78      0.00000      0.03269     -0.03269
  1.80      0.00000      0.03334     -0.03334
  1.82      0.00000      0.03401     -0.03401
  1.84      0.00000      0.03470     -0.03470
  1.86      0.00000      0.03540     -0.03540
  1.88      0.00000      0.03612     -0.03612
  1.90      0.00000      0.03686     -0.03686
  1.92      0.00000      0.03761     -0.03761
  1.94      0.00000      0.03838     -0.03838
  1.96      0.00000      0.03915     -0.03915
  1.98      0.00000      0.03994     -0.03994
  2.00      0.00000      0.04073     -0.04073
  2.02      0.00000      0.04152     -0.04152
  2.04      0.00000      0.04232     -0.04232
  2.06      0.00000      0.04312     -0.04312
  2.08      0.00000      0.04392     -0.04385
  2.10      0.00000      0.04472     -0.04446
  2.12      0.00032      0.04553     -0.04508
  2.14      0.00097      0.04634     -0.04506
  2.16      0.00096      0.04715     -0.04493
  2.18      0.00412      0.04796     -0.04382
  2.20      0.00471      0.04877     -0.04069
  2.22      0.00995      0.04958     -0.03492
  2.24      0.02066      0.05039     -0.02832
  2.26      0.03387      0.05120     -0.02154
  2.28      0.04120      0.05201     -0.01655
