 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00001     -0.00001
  0.36      0.00000      0.00001     -0.00001
  0.38      0.00000      0.00002     -0.00002
  0.40      0.00000      0.00003     -0.00003
  0.42      0.00000      0.00005     -0.00005
  0.44      0.00000      0.00007     -0.00007
  0.46      0.00000      0.00009     -0.00009
  0.48      0.00000      0.00013     -0.00013
  0.50      0.00000      0.00016     -0.00016
  0.52      0.00000      0.00021     -0.00021
  0.54      0.00000      0.00027     -0.00027
  0.56      0.00000      0.00034     -0.00034
  0.58      0.00000      0.00042     -0.00042
  0.60      0.00000      0.00052     -0.00052
  0.62      0.00000      0.00064     -0.00064
  0.64      0.00000      0.00079     -0.00079
  0.66      0.00000      0.00097     -0.00097
  0.68      0.00000      0.00118     -0.00118
  0.70      0.00000      0.00142     -0.00142
  0.72      0.00000      0.00169     -0.00169
  0.74      0.00000      0.00198     -0.00198
  0.76      0.00000      0.00229     -0.00229
  0.78      0.00000      0.00262     -0.00262
  0.80      0.00000      0.00297     -0.00297
  0.82      0.00000      0.00333     -0.00333
  0.84      0.00000      0.00370     -0.00370
  0.86      0.00000      0.00407     -0.00407
  0.88      0.00000      0.00445     -0.00445
  0.90      0.00000      0.00483     -0.00483
  0.92      0.00000      0.00522     -0.00522
  0.94      0.00000      0.00561     -0.00561
  0.96      0.00000      0.00600     -0.00600
  0.98      0.00000      0.00639     -0.00639
  1.00      0.00000      0.00679     -0.00679
  1.02      0.00000      0.00718     -0.00718
  1.04      0.00000      0.00758     -0.00758
  1.06      0.00000      0.00797     -0.00797
  1.08      0.00000      0.00837     -0.00837
  1.10      0.00000      0.00877     -0.00877
  1.12      0.00000      0.00916     -0.00916
  1.14      0.00000      0.00956     -0.00956
  1.16      0.00000      0.00996     -0.00996
  1.18      0.00000      0.01035     -0.01035
  1.20      0.00000      0.01075     -0.01075
  1.22      0.00000      0.01115     -0.01115
  1.24      0.00000      0.01155     -0.01155
  1.26      0.00000      0.01195     -0.01195
  1.28      0.00000      0.01235     -0.01235
  1.30      0.00000      0.01275     -0.01275
  1.32      0.00000      0.01315     -0.01315
  1.34      0.00000      0.01355     -0.01355
  1.36      0.00000      0.01395     -0.01395
  1.38      0.00000      0.01435     -0.01435
  1.40      0.00000      0.01476     -0.01476
  1.42      0.00000      0.01516     -0.01516
  1.44      0.00000      0.01557     -0.01557
  1.46      0.00000      0.01598     -0.01598
  1.48      0.00000      0.01639     -0.01639
  1.50      0.00000      0.01680     -0.01680
  1.52      0.00000      0.01721     -0.01721
  1.54      0.00000      0.01763     -0.01763
  1.56      0.00000      0.01805     -0.01805
  1.58      0.00000      0.01847     -0.01847
  1.60      0.00000      0.01890     -0.01890
  1.62      0.00000      0.01933     -0.01933
  1.64      0.00000      0.01976     -0.01976
  1.66      0.00000      0.02020     -0.02020
  1.68      0.00000      0.02064     -0.02064
  1.70      0.00000      0.02108     -0.02108
  1.72      0.00000      0.02153     -0.02153
  1.74      0.00000      0.02198     -0.02198
  1.76      0.00000      0.02244     -0.02244
  1.78      0.00000      0.02290     -0.02290
  1.80      0.00000      0.02336     -0.02336
  1.82      0.00000      0.02384     -0.02384
  1.84      0.00000      0.02431     -0.02431
  1.86      0.00000      0.02479     -0.02479
  1.88      0.00000      0.02528     -0.02528
  1.90      0.00000      0.02577     -0.02577
  1.92      0.00000      0.02626     -0.02626
  1.94      0.00000      0.02676     -0.02676
  1.96      0.00000      0.02726     -0.02726
  1.98      0.00000      0.02777     -0.02777
  2.00      0.00000      0.02828     -0.02828
  2.02      0.00000      0.02879     -0.02879
  2.04      0.00000      0.02930     -0.02930
  2.06      0.00000      0.02982     -0.02982
  2.08      0.00000      0.03033     -0.03033
  2.10      0.00000      0.03085     -0.03085
  2.12      0.00000      0.03137     -0.03137
  2.14      0.00000      0.03190     -0.03190
  2.16      0.00000      0.03242     -0.03242
  2.18      0.00000      0.03295     -0.03280
  2.20      0.00000      0.03348     -0.03325
  2.22      0.00074      0.03402     -0.03357
  2.24      0.00039      0.03455     -0.03362
  2.26      0.00111      0.03510     -0.03334
  2.28      0.00244      0.03565     -0.03245
