 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00001     -0.00001
  0.26      0.00000      0.00001     -0.00001
  0.28      0.00000      0.00001     -0.00001
  0.30      0.00000      0.00002     -0.00002
  0.32      0.00000      0.00003     -0.00003
  0.34      0.00000      0.00004     -0.00004
  0.36      0.00000      0.00006     -0.00006
  0.38      0.00000      0.00008     -0.00008
  0.40      0.00000      0.00010     -0.00010
  0.42      0.00000      0.00012     -0.00012
  0.44      0.00000      0.00015     -0.00015
  0.46      0.00000      0.00018     -0.00018
  0.48      0.00000      0.00022     -0.00022
  0.50      0.00000      0.00026     -0.00026
  0.52      0.00000      0.00031     -0.00031
  0.54      0.00000      0.00036     -0.00036
  0.56      0.00000      0.00041     -0.00041
  0.58      0.00000      0.00048     -0.00048
  0.60      0.00000      0.00056     -0.00056
  0.62      0.00000      0.00065     -0.00065
  0.64      0.00000      0.00077     -0.00077
  0.66      0.00000      0.00092     -0.00092
  0.68      0.00000      0.00110     -0.00110
  0.70      0.00000      0.00132     -0.00132
  0.72      0.00000      0.00158     -0.00158
  0.74      0.00000      0.00187     -0.00187
  0.76      0.00000      0.00221     -0.00221
  0.78      0.00000      0.00258     -0.00258
  0.80      0.00000      0.00298     -0.00298
  0.82      0.00000      0.00340     -0.00340
  0.84      0.00000      0.00384     -0.00384
  0.86      0.00000      0.00429     -0.00429
  0.88      0.00000      0.00475     -0.00475
  0.90      0.00000      0.00521     -0.00521
  0.92      0.00000      0.00568     -0.00568
  0.94      0.00000      0.00615     -0.00615
  0.96      0.00000      0.00662     -0.00662
  0.98      0.00000      0.00710     -0.00710
  1.00      0.00000      0.00757     -0.00757
  1.02      0.00000      0.00805     -0.00805
  1.04      0.00000      0.00852     -0.00852
  1.06      0.00000      0.00900     -0.00900
  1.08      0.00000      0.00947     -0.00947
  1.10      0.00000      0.00995     -0.00995
  1.12      0.00000      0.01043     -0.01043
  1.14      0.00000      0.01090     -0.01090
  1.16      0.00000      0.01138     -0.01138
  1.18      0.00000      0.01186     -0.01186
  1.20      0.00000      0.01233     -0.01233
  1.22      0.00000      0.01281     -0.01281
  1.24      0.00000      0.01329     -0.01329
  1.26      0.00000      0.01377     -0.01377
  1.28      0.00000      0.01425     -0.01425
  1.30      0.00000      0.01473     -0.01473
  1.32      0.00000      0.01521     -0.01521
  1.34      0.00000      0.01569     -0.01569
  1.36      0.00000      0.01617     -0.01617
  1.38      0.00000      0.01665     -0.01665
  1.40      0.00000      0.01713     -0.01713
  1.42      0.00000      0.01761     -0.01761
  1.44      0.00000      0.01810     -0.01810
  1.46      0.00000      0.01858     -0.01858
  1.48      0.00000      0.01906     -0.01906
  1.50      0.00000      0.01955     -0.01955
  1.52      0.00000      0.02004     -0.02004
  1.54      0.00000      0.02053     -0.02053
  1.56      0.00000      0.02101     -0.02101
  1.58      0.00000      0.02151     -0.02151
  1.60      0.00000      0.02200     -0.02200
  1.62      0.00000      0.02249     -0.02249
  1.64      0.00000      0.02299     -0.02299
  1.66      0.00000      0.02349     -0.02349
  1.68      0.00000      0.02399     -0.02399
  1.70      0.00000      0.02450     -0.02450
  1.72      0.00000      0.02501     -0.02501
  1.74      0.00000      0.02552     -0.02552
  1.76      0.00000      0.02604     -0.02604
  1.78      0.00000      0.02657     -0.02657
  1.80      0.00000      0.02711     -0.02711
  1.82      0.00000      0.02765     -0.02765
  1.84      0.00000      0.02821     -0.02821
  1.86      0.00000      0.02877     -0.02877
  1.88      0.00000      0.02934     -0.02934
  1.90      0.00000      0.02992     -0.02992
  1.92      0.00000      0.03051     -0.03051
  1.94      0.00000      0.03111     -0.03111
  1.96      0.00000      0.03171     -0.03171
  1.98      0.00000      0.03232     -0.03232
  2.00      0.00000      0.03294     -0.03294
  2.02      0.00000      0.03356     -0.03356
  2.04      0.00000      0.03419     -0.03419
  2.06      0.00000      0.03482     -0.03482
  2.08      0.00000      0.03546     -0.03526
  2.10      0.00000      0.03610     -0.03572
  2.12      0.00098      0.03673     -0.03626
  2.14      0.00092      0.03738     -0.03653
  2.16      0.00048      0.03802     -0.03643
  2.18      0.00186      0.03867     -0.03593
  2.20      0.00373      0.03931     -0.03455
  2.22      0.00670      0.03996     -0.03328
  2.24      0.01106      0.04061     -0.03054
  2.26      0.01009      0.04127     -0.02898
  2.28      0.01877      0.04192     -0.02603
