 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00000
  0.32     -0.00000
  0.34     -0.00001
  0.36     -0.00002
  0.38     -0.00003
  0.40     -0.00005
  0.42     -0.00007
  0.44     -0.00010
  0.46     -0.00015
  0.48     -0.00020
  0.50     -0.00026
  0.52     -0.00034
  0.54     -0.00042
  0.56     -0.00052
  0.58     -0.00064
  0.60     -0.00077
  0.62     -0.00093
  0.64     -0.00110
  0.66     -0.00130
  0.68     -0.00153
  0.70     -0.00178
  0.72     -0.00205
  0.74     -0.00234
  0.76     -0.00265
  0.78     -0.00297
  0.80     -0.00330
  0.82     -0.00365
  0.84     -0.00400
  0.86     -0.00436
  0.88     -0.00472
  0.90     -0.00509
  0.92     -0.00546
  0.94     -0.00583
  0.96     -0.00621
  0.98     -0.00658
  1.00     -0.00696
  1.02     -0.00734
  1.04     -0.00772
  1.06     -0.00810
  1.08     -0.00848
  1.10     -0.00886
  1.12     -0.00924
  1.14     -0.00962
  1.16     -0.01000
  1.18     -0.01039
  1.20     -0.01077
  1.22     -0.01115
  1.24     -0.01154
  1.26     -0.01192
  1.28     -0.01230
  1.30     -0.01269
  1.32     -0.01307
  1.34     -0.01346
  1.36     -0.01385
  1.38     -0.01424
  1.40     -0.01463
  1.42     -0.01502
  1.44     -0.01541
  1.46     -0.01581
  1.48     -0.01621
  1.50     -0.01661
  1.52     -0.01702
  1.54     -0.01742
  1.56     -0.01783
  1.58     -0.01825
  1.60     -0.01867
  1.62     -0.01909
  1.64     -0.01951
  1.66     -0.01994
  1.68     -0.02037
  1.70     -0.02080
  1.72     -0.02124
  1.74     -0.02168
  1.76     -0.02213
  1.78     -0.02257
  1.80     -0.02303
  1.82     -0.02348
  1.84     -0.02394
  1.86     -0.02440
  1.88     -0.02487
  1.90     -0.02533
  1.92     -0.02581
  1.94     -0.02628
  1.96     -0.02676
  1.98     -0.02724
  2.00     -0.02772
  2.02     -0.02820
  2.04     -0.02869
  2.06     -0.02918
  2.08     -0.02967
  2.10     -0.03017
  2.12     -0.03067
  2.14     -0.03112
  2.16     -0.03163
  2.18     -0.03209
  2.20     -0.03261
  2.22     -0.03276
  2.24     -0.03260
  2.26     -0.03157
  2.28     -0.03000
  2.30     -0.02527
  2.32     -0.02049
  2.34     -0.01388
  2.36     -0.00451
  2.38      0.00817
  2.40      0.01906
  2.42      0.03167
  2.44      0.04398
