 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00001     -0.00001
  0.22      0.00000      0.00001     -0.00001
  0.24      0.00000      0.00002     -0.00002
  0.26      0.00000      0.00003     -0.00003
  0.28      0.00000      0.00005     -0.00005
  0.30      0.00000      0.00008     -0.00008
  0.32      0.00000      0.00011     -0.00011
  0.34      0.00000      0.00015     -0.00015
  0.36      0.00000      0.00020     -0.00020
  0.38      0.00000      0.00026     -0.00026
  0.40      0.00000      0.00033     -0.00033
  0.42      0.00000      0.00041     -0.00041
  0.44      0.00000      0.00051     -0.00051
  0.46      0.00000      0.00061     -0.00061
  0.48      0.00000      0.00073     -0.00073
  0.50      0.00000      0.00086     -0.00086
  0.52      0.00000      0.00100     -0.00100
  0.54      0.00000      0.00115     -0.00115
  0.56      0.00000      0.00132     -0.00132
  0.58      0.00000      0.00149     -0.00149
  0.60      0.00000      0.00168     -0.00168
  0.62      0.00000      0.00189     -0.00189
  0.64      0.00000      0.00212     -0.00212
  0.66      0.00000      0.00237     -0.00237
  0.68      0.00000      0.00266     -0.00266
  0.70      0.00000      0.00298     -0.00298
  0.72      0.00000      0.00334     -0.00334
  0.74      0.00000      0.00373     -0.00373
  0.76      0.00000      0.00416     -0.00416
  0.78      0.00000      0.00462     -0.00462
  0.80      0.00000      0.00509     -0.00509
  0.82      0.00000      0.00559     -0.00559
  0.84      0.00000      0.00610     -0.00610
  0.86      0.00000      0.00663     -0.00663
  0.88      0.00000      0.00716     -0.00716
  0.90      0.00000      0.00771     -0.00771
  0.92      0.00000      0.00825     -0.00825
  0.94      0.00000      0.00880     -0.00880
  0.96      0.00000      0.00935     -0.00935
  0.98      0.00000      0.00990     -0.00990
  1.00      0.00000      0.01046     -0.01046
  1.02      0.00000      0.01101     -0.01101
  1.04      0.00000      0.01157     -0.01157
  1.06      0.00000      0.01212     -0.01212
  1.08      0.00000      0.01268     -0.01268
  1.10      0.00000      0.01323     -0.01323
  1.12      0.00000      0.01379     -0.01379
  1.14      0.00000      0.01435     -0.01435
  1.16      0.00000      0.01491     -0.01491
  1.18      0.00000      0.01547     -0.01547
  1.20      0.00000      0.01603     -0.01603
  1.22      0.00000      0.01659     -0.01659
  1.24      0.00000      0.01715     -0.01715
  1.26      0.00000      0.01771     -0.01771
  1.28      0.00000      0.01827     -0.01827
  1.30      0.00000      0.01883     -0.01883
  1.32      0.00000      0.01940     -0.01940
  1.34      0.00000      0.01997     -0.01997
  1.36      0.00000      0.02054     -0.02054
  1.38      0.00000      0.02111     -0.02111
  1.40      0.00000      0.02168     -0.02168
  1.42      0.00000      0.02225     -0.02225
  1.44      0.00000      0.02283     -0.02283
  1.46      0.00000      0.02341     -0.02341
  1.48      0.00000      0.02399     -0.02399
  1.50      0.00000      0.02458     -0.02458
  1.52      0.00000      0.02517     -0.02517
  1.54      0.00000      0.02577     -0.02577
  1.56      0.00000      0.02636     -0.02636
  1.58      0.00000      0.02697     -0.02697
  1.60      0.00000      0.02757     -0.02757
  1.62      0.00000      0.02818     -0.02818
  1.64      0.00000      0.02879     -0.02879
  1.66      0.00000      0.02941     -0.02941
  1.68      0.00000      0.03003     -0.03003
  1.70      0.00000      0.03066     -0.03066
  1.72      0.00000      0.03129     -0.03129
  1.74      0.00000      0.03192     -0.03192
  1.76      0.00000      0.03256     -0.03256
  1.78      0.00000      0.03321     -0.03321
  1.80      0.00000      0.03387     -0.03387
  1.82      0.00000      0.03453     -0.03453
  1.84      0.00000      0.03520     -0.03520
  1.86      0.00000      0.03588     -0.03588
  1.88      0.00000      0.03657     -0.03657
  1.90      0.00000      0.03727     -0.03727
  1.92      0.00000      0.03798     -0.03798
  1.94      0.00000      0.03870     -0.03870
  1.96      0.00000      0.03943     -0.03943
  1.98      0.00000      0.04017     -0.04017
  2.00      0.00000      0.04091     -0.04091
  2.02      0.00000      0.04165     -0.04165
  2.04      0.00000      0.04241     -0.04241
  2.06      0.00000      0.04317     -0.04317
  2.08      0.00000      0.04393     -0.04393
  2.10      0.00000      0.04470     -0.04435
  2.12      0.00000      0.04548     -0.04444
  2.14      0.00174      0.04626     -0.04294
  2.16      0.00346      0.04704     -0.03988
  2.18      0.01141      0.04784     -0.03610
  2.20      0.01921      0.04863     -0.03103
  2.22      0.02285      0.04943     -0.02349
  2.24      0.03110      0.05024     -0.01571
  2.26      0.04514      0.05104     -0.00728
  2.28      0.05430      0.05185      0.00043
