 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00001     -0.00001
  0.30      0.00000      0.00001     -0.00001
  0.32      0.00000      0.00001     -0.00001
  0.34      0.00000      0.00002     -0.00002
  0.36      0.00000      0.00003     -0.00003
  0.38      0.00000      0.00003     -0.00003
  0.40      0.00000      0.00004     -0.00004
  0.42      0.00000      0.00005     -0.00005
  0.44      0.00000      0.00006     -0.00006
  0.46      0.00000      0.00007     -0.00007
  0.48      0.00000      0.00009     -0.00009
  0.50      0.00000      0.00010     -0.00010
  0.52      0.00000      0.00012     -0.00012
  0.54      0.00000      0.00014     -0.00014
  0.56      0.00000      0.00016     -0.00016
  0.58      0.00000      0.00018     -0.00018
  0.60      0.00000      0.00021     -0.00021
  0.62      0.00000      0.00026     -0.00026
  0.64      0.00000      0.00033     -0.00033
  0.66      0.00000      0.00042     -0.00042
  0.68      0.00000      0.00056     -0.00056
  0.70      0.00000      0.00074     -0.00074
  0.72      0.00000      0.00098     -0.00098
  0.74      0.00000      0.00128     -0.00128
  0.76      0.00000      0.00163     -0.00163
  0.78      0.00000      0.00202     -0.00202
  0.80      0.00000      0.00246     -0.00246
  0.82      0.00000      0.00292     -0.00292
  0.84      0.00000      0.00341     -0.00341
  0.86      0.00000      0.00391     -0.00391
  0.88      0.00000      0.00442     -0.00442
  0.90      0.00000      0.00494     -0.00494
  0.92      0.00000      0.00546     -0.00546
  0.94      0.00000      0.00598     -0.00598
  0.96      0.00000      0.00650     -0.00650
  0.98      0.00000      0.00703     -0.00703
  1.00      0.00000      0.00755     -0.00755
  1.02      0.00000      0.00808     -0.00808
  1.04      0.00000      0.00861     -0.00861
  1.06      0.00000      0.00913     -0.00913
  1.08      0.00000      0.00966     -0.00966
  1.10      0.00000      0.01018     -0.01018
  1.12      0.00000      0.01071     -0.01071
  1.14      0.00000      0.01124     -0.01124
  1.16      0.00000      0.01176     -0.01176
  1.18      0.00000      0.01229     -0.01229
  1.20      0.00000      0.01282     -0.01282
  1.22      0.00000      0.01334     -0.01334
  1.24      0.00000      0.01387     -0.01387
  1.26      0.00000      0.01440     -0.01440
  1.28      0.00000      0.01493     -0.01493
  1.30      0.00000      0.01545     -0.01545
  1.32      0.00000      0.01598     -0.01598
  1.34      0.00000      0.01651     -0.01651
  1.36      0.00000      0.01704     -0.01704
  1.38      0.00000      0.01757     -0.01757
  1.40      0.00000      0.01810     -0.01810
  1.42      0.00000      0.01862     -0.01862
  1.44      0.00000      0.01915     -0.01915
  1.46      0.00000      0.01968     -0.01968
  1.48      0.00000      0.02021     -0.02021
  1.50      0.00000      0.02074     -0.02074
  1.52      0.00000      0.02127     -0.02127
  1.54      0.00000      0.02180     -0.02180
  1.56      0.00000      0.02233     -0.02233
  1.58      0.00000      0.02286     -0.02286
  1.60      0.00000      0.02339     -0.02339
  1.62      0.00000      0.02392     -0.02392
  1.64      0.00000      0.02445     -0.02445
  1.66      0.00000      0.02499     -0.02499
  1.68      0.00000      0.02552     -0.02552
  1.70      0.00000      0.02606     -0.02606
  1.72      0.00000      0.02660     -0.02660
  1.74      0.00000      0.02715     -0.02715
  1.76      0.00000      0.02770     -0.02770
  1.78      0.00000      0.02827     -0.02827
  1.80      0.00000      0.02884     -0.02884
  1.82      0.00000      0.02942     -0.02942
  1.84      0.00000      0.03001     -0.03001
  1.86      0.00000      0.03061     -0.03061
  1.88      0.00000      0.03123     -0.03123
  1.90      0.00000      0.03187     -0.03187
  1.92      0.00000      0.03251     -0.03251
  1.94      0.00000      0.03317     -0.03317
  1.96      0.00000      0.03384     -0.03384
  1.98      0.00000      0.03452     -0.03452
  2.00      0.00000      0.03520     -0.03520
  2.02      0.00000      0.03589     -0.03589
  2.04      0.00000      0.03658     -0.03658
  2.06      0.00000      0.03728     -0.03728
  2.08      0.00000      0.03798     -0.03798
  2.10      0.00000      0.03869     -0.03864
  2.12      0.00000      0.03939     -0.03930
  2.14      0.00022      0.04009     -0.03970
  2.16      0.00022      0.04080     -0.03997
  2.18      0.00153      0.04151     -0.04029
  2.20      0.00217      0.04221     -0.04007
  2.22      0.00194      0.04292     -0.03964
  2.24      0.00485      0.04363     -0.03894
  2.26      0.00591      0.04433     -0.03853
  2.28      0.00855      0.04504     -0.03754
