 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56      0.00000
  0.58      0.00000
  0.60      0.00000
  0.62      0.00000
  0.64      0.00000
  0.66      0.00000
  0.68      0.00000
  0.70      0.00000
  0.72      0.00000
  0.74      0.00000
  0.76     -0.00049
  0.78     -0.00098
  0.80     -0.00147
  0.82     -0.00196
  0.84     -0.00244
  0.86     -0.00293
  0.88     -0.00342
  0.90     -0.00391
  0.92     -0.00440
  0.94     -0.00489
  0.96     -0.00538
  0.98     -0.00587
  1.00     -0.00635
  1.02     -0.00684
  1.04     -0.00733
  1.06     -0.00782
  1.08     -0.00831
  1.10     -0.00880
  1.12     -0.00929
  1.14     -0.00978
  1.16     -0.01026
  1.18     -0.01075
  1.20     -0.01124
  1.22     -0.01173
  1.24     -0.01222
  1.26     -0.01271
  1.28     -0.01320
  1.30     -0.01369
  1.32     -0.01417
  1.34     -0.01466
  1.36     -0.01515
  1.38     -0.01564
  1.40     -0.01613
  1.42     -0.01662
  1.44     -0.01711
  1.46     -0.01760
  1.48     -0.01809
  1.50     -0.01857
  1.52     -0.01906
  1.54     -0.01955
  1.56     -0.02004
  1.58     -0.02053
  1.60     -0.02102
  1.62     -0.02151
  1.64     -0.02200
  1.66     -0.02248
  1.68     -0.02297
  1.70     -0.02346
  1.72     -0.02395
  1.74     -0.02444
  1.76     -0.02493
  1.78     -0.02542
  1.80     -0.02591
  1.82     -0.02639
  1.84     -0.02688
  1.86     -0.02737
  1.88     -0.02786
  1.90     -0.02851
  1.92     -0.02916
  1.94     -0.02981
  1.96     -0.03046
  1.98     -0.03111
  2.00     -0.03176
  2.02     -0.03241
  2.04     -0.03306
  2.06     -0.03371
  2.08     -0.03436
  2.10     -0.03501
  2.12     -0.03566
  2.14     -0.03631
  2.16     -0.03696
  2.18     -0.03761
  2.20     -0.03826
  2.22     -0.03891
  2.24     -0.03956
  2.26     -0.04021
  2.28     -0.04086
  2.30     -0.04151
  2.32     -0.04216
  2.34     -0.04281
  2.36     -0.04346
  2.38     -0.04411
  2.40     -0.04476
  2.42     -0.04541
  2.44     -0.04606
  2.46     -0.04671
  2.48     -0.04736
