 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000     -0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00003     -0.00003
  0.52      0.00000      0.00004     -0.00004
  0.54      0.00000      0.00006     -0.00006
  0.56      0.00000      0.00008     -0.00008
  0.58      0.00000      0.00012     -0.00012
  0.60      0.00000      0.00016     -0.00016
  0.62      0.00000      0.00021     -0.00021
  0.64      0.00000      0.00028     -0.00028
  0.66      0.00000      0.00036     -0.00036
  0.68      0.00000      0.00046     -0.00046
  0.70      0.00000      0.00057     -0.00057
  0.72      0.00000      0.00069     -0.00069
  0.74      0.00000      0.00083     -0.00083
  0.76      0.00000      0.00098     -0.00098
  0.78      0.00000      0.00113     -0.00113
  0.80      0.00000      0.00130     -0.00130
  0.82      0.00000      0.00147     -0.00147
  0.84      0.00000      0.00165     -0.00165
  0.86      0.00000      0.00184     -0.00184
  0.88      0.00000      0.00202     -0.00202
  0.90      0.00000      0.00221     -0.00221
  0.92      0.00000      0.00240     -0.00240
  0.94      0.00000      0.00260     -0.00260
  0.96      0.00000      0.00279     -0.00279
  0.98      0.00000      0.00299     -0.00299
  1.00      0.00000      0.00318     -0.00318
  1.02      0.00000      0.00338     -0.00338
  1.04      0.00000      0.00358     -0.00358
  1.06      0.00000      0.00377     -0.00377
  1.08      0.00000      0.00397     -0.00397
  1.10      0.00000      0.00417     -0.00417
  1.12      0.00000      0.00437     -0.00437
  1.14      0.00000      0.00456     -0.00456
  1.16      0.00000      0.00476     -0.00476
  1.18      0.00000      0.00496     -0.00496
  1.20      0.00000      0.00516     -0.00516
  1.22      0.00000      0.00535     -0.00535
  1.24      0.00000      0.00555     -0.00555
  1.26      0.00000      0.00575     -0.00575
  1.28      0.00000      0.00595     -0.00595
  1.30      0.00000      0.00615     -0.00615
  1.32      0.00000      0.00635     -0.00635
  1.34      0.00000      0.00654     -0.00654
  1.36      0.00000      0.00674     -0.00674
  1.38      0.00000      0.00694     -0.00694
  1.40      0.00000      0.00714     -0.00714
  1.42      0.00000      0.00734     -0.00734
  1.44      0.00000      0.00754     -0.00754
  1.46      0.00000      0.00774     -0.00774
  1.48      0.00000      0.00794     -0.00794
  1.50      0.00000      0.00814     -0.00814
  1.52      0.00000      0.00834     -0.00834
  1.54      0.00000      0.00854     -0.00854
  1.56      0.00000      0.00874     -0.00874
  1.58      0.00000      0.00894     -0.00894
  1.60      0.00000      0.00914     -0.00914
  1.62      0.00000      0.00935     -0.00935
  1.64      0.00000      0.00955     -0.00955
  1.66      0.00000      0.00976     -0.00976
  1.68      0.00000      0.00997     -0.00997
  1.70      0.00000      0.01018     -0.01018
  1.72      0.00000      0.01040     -0.01040
  1.74      0.00000      0.01062     -0.01062
  1.76      0.00000      0.01084     -0.01084
  1.78      0.00000      0.01106     -0.01106
  1.80      0.00000      0.01129     -0.01129
  1.82      0.00000      0.01153     -0.01153
  1.84      0.00000      0.01176     -0.01176
  1.86      0.00000      0.01200     -0.01200
  1.88      0.00000      0.01225     -0.01225
  1.90      0.00000      0.01250     -0.01250
  1.92      0.00000      0.01275     -0.01275
  1.94      0.00000      0.01300     -0.01300
  1.96      0.00000      0.01326     -0.01326
  1.98      0.00000      0.01352     -0.01352
  2.00      0.00000      0.01377     -0.01377
  2.02      0.00000      0.01404     -0.01404
  2.04      0.00000      0.01430     -0.01430
  2.06      0.00000      0.01456     -0.01455
  2.08      0.00000      0.01482     -0.01482
  2.10      0.00003      0.01509     -0.01507
  2.12      0.00000      0.01535     -0.01532
  2.14      0.00006      0.01562     -0.01558
  2.16      0.00009      0.01588     -0.01583
  2.18      0.00000      0.01615     -0.01608
  2.20      0.00015      0.01642     -0.01633
  2.22      0.00006      0.01668     -0.01660
  2.24      0.00011      0.01695     -0.01678
  2.26      0.00009      0.01722     -0.01701
  2.28      0.00042      0.01748     -0.01716
