 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00003     -0.00003
  0.52      0.00000      0.00004     -0.00004
  0.54      0.00000      0.00006     -0.00006
  0.56      0.00000      0.00009     -0.00009
  0.58      0.00000      0.00013     -0.00013
  0.60      0.00000      0.00018     -0.00018
  0.62      0.00000      0.00024     -0.00024
  0.64      0.00000      0.00031     -0.00031
  0.66      0.00000      0.00040     -0.00040
  0.68      0.00000      0.00051     -0.00051
  0.70      0.00000      0.00063     -0.00063
  0.72      0.00000      0.00076     -0.00076
  0.74      0.00000      0.00091     -0.00091
  0.76      0.00000      0.00107     -0.00107
  0.78      0.00000      0.00124     -0.00124
  0.80      0.00000      0.00142     -0.00142
  0.82      0.00000      0.00161     -0.00161
  0.84      0.00000      0.00180     -0.00180
  0.86      0.00000      0.00200     -0.00200
  0.88      0.00000      0.00220     -0.00220
  0.90      0.00000      0.00240     -0.00240
  0.92      0.00000      0.00261     -0.00261
  0.94      0.00000      0.00281     -0.00281
  0.96      0.00000      0.00302     -0.00302
  0.98      0.00000      0.00323     -0.00323
  1.00      0.00000      0.00343     -0.00343
  1.02      0.00000      0.00364     -0.00364
  1.04      0.00000      0.00385     -0.00385
  1.06      0.00000      0.00406     -0.00406
  1.08      0.00000      0.00427     -0.00427
  1.10      0.00000      0.00448     -0.00448
  1.12      0.00000      0.00469     -0.00469
  1.14      0.00000      0.00489     -0.00489
  1.16      0.00000      0.00510     -0.00510
  1.18      0.00000      0.00531     -0.00531
  1.20      0.00000      0.00552     -0.00552
  1.22      0.00000      0.00573     -0.00573
  1.24      0.00000      0.00594     -0.00594
  1.26      0.00000      0.00615     -0.00615
  1.28      0.00000      0.00636     -0.00636
  1.30      0.00000      0.00657     -0.00657
  1.32      0.00000      0.00678     -0.00678
  1.34      0.00000      0.00699     -0.00699
  1.36      0.00000      0.00720     -0.00720
  1.38      0.00000      0.00741     -0.00741
  1.40      0.00000      0.00762     -0.00762
  1.42      0.00000      0.00783     -0.00783
  1.44      0.00000      0.00804     -0.00804
  1.46      0.00000      0.00825     -0.00825
  1.48      0.00000      0.00846     -0.00846
  1.50      0.00000      0.00867     -0.00867
  1.52      0.00000      0.00889     -0.00889
  1.54      0.00000      0.00910     -0.00910
  1.56      0.00000      0.00931     -0.00931
  1.58      0.00000      0.00953     -0.00953
  1.60      0.00000      0.00974     -0.00974
  1.62      0.00000      0.00996     -0.00996
  1.64      0.00000      0.01018     -0.01018
  1.66      0.00000      0.01040     -0.01040
  1.68      0.00000      0.01062     -0.01062
  1.70      0.00000      0.01085     -0.01085
  1.72      0.00000      0.01107     -0.01107
  1.74      0.00000      0.01131     -0.01131
  1.76      0.00000      0.01154     -0.01154
  1.78      0.00000      0.01178     -0.01178
  1.80      0.00000      0.01202     -0.01202
  1.82      0.00000      0.01227     -0.01227
  1.84      0.00000      0.01253     -0.01253
  1.86      0.00000      0.01278     -0.01278
  1.88      0.00000      0.01304     -0.01304
  1.90      0.00000      0.01330     -0.01330
  1.92      0.00000      0.01357     -0.01357
  1.94      0.00000      0.01384     -0.01384
  1.96      0.00000      0.01411     -0.01411
  1.98      0.00000      0.01439     -0.01439
  2.00      0.00000      0.01466     -0.01466
  2.02      0.00000      0.01494     -0.01494
  2.04      0.00000      0.01522     -0.01522
  2.06      0.00000      0.01550     -0.01550
  2.08      0.00000      0.01578     -0.01578
  2.10      0.00000      0.01606     -0.01606
  2.12      0.00000      0.01634     -0.01634
  2.14      0.00000      0.01662     -0.01661
  2.16      0.00000      0.01690     -0.01687
  2.18      0.00003      0.01718     -0.01713
  2.20      0.00014      0.01747     -0.01736
  2.22      0.00010      0.01775     -0.01757
  2.24      0.00024      0.01803     -0.01780
  2.26      0.00040      0.01832     -0.01796
  2.28      0.00030      0.01860     -0.01802
