 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00003     -0.00003
  0.50      0.00000      0.00004     -0.00004
  0.52      0.00000      0.00006     -0.00006
  0.54      0.00000      0.00009     -0.00009
  0.56      0.00000      0.00012     -0.00012
  0.58      0.00000      0.00016     -0.00016
  0.60      0.00000      0.00021     -0.00021
  0.62      0.00000      0.00028     -0.00028
  0.64      0.00000      0.00035     -0.00035
  0.66      0.00000      0.00044     -0.00044
  0.68      0.00000      0.00054     -0.00054
  0.70      0.00000      0.00065     -0.00065
  0.72      0.00000      0.00078     -0.00078
  0.74      0.00000      0.00091     -0.00091
  0.76      0.00000      0.00105     -0.00105
  0.78      0.00000      0.00120     -0.00120
  0.80      0.00000      0.00136     -0.00136
  0.82      0.00000      0.00152     -0.00152
  0.84      0.00000      0.00169     -0.00169
  0.86      0.00000      0.00186     -0.00186
  0.88      0.00000      0.00203     -0.00203
  0.90      0.00000      0.00221     -0.00221
  0.92      0.00000      0.00239     -0.00239
  0.94      0.00000      0.00257     -0.00257
  0.96      0.00000      0.00275     -0.00275
  0.98      0.00000      0.00293     -0.00293
  1.00      0.00000      0.00311     -0.00311
  1.02      0.00000      0.00330     -0.00330
  1.04      0.00000      0.00348     -0.00348
  1.06      0.00000      0.00367     -0.00367
  1.08      0.00000      0.00385     -0.00385
  1.10      0.00000      0.00403     -0.00403
  1.12      0.00000      0.00422     -0.00422
  1.14      0.00000      0.00441     -0.00441
  1.16      0.00000      0.00459     -0.00459
  1.18      0.00000      0.00478     -0.00478
  1.20      0.00000      0.00496     -0.00496
  1.22      0.00000      0.00515     -0.00515
  1.24      0.00000      0.00534     -0.00534
  1.26      0.00000      0.00552     -0.00552
  1.28      0.00000      0.00571     -0.00571
  1.30      0.00000      0.00590     -0.00590
  1.32      0.00000      0.00608     -0.00608
  1.34      0.00000      0.00627     -0.00627
  1.36      0.00000      0.00646     -0.00646
  1.38      0.00000      0.00664     -0.00664
  1.40      0.00000      0.00683     -0.00683
  1.42      0.00000      0.00702     -0.00702
  1.44      0.00000      0.00721     -0.00721
  1.46      0.00000      0.00740     -0.00740
  1.48      0.00000      0.00759     -0.00759
  1.50      0.00000      0.00778     -0.00778
  1.52      0.00000      0.00797     -0.00797
  1.54      0.00000      0.00816     -0.00816
  1.56      0.00000      0.00835     -0.00835
  1.58      0.00000      0.00854     -0.00854
  1.60      0.00000      0.00874     -0.00874
  1.62      0.00000      0.00893     -0.00893
  1.64      0.00000      0.00913     -0.00913
  1.66      0.00000      0.00933     -0.00933
  1.68      0.00000      0.00953     -0.00953
  1.70      0.00000      0.00974     -0.00974
  1.72      0.00000      0.00995     -0.00995
  1.74      0.00000      0.01016     -0.01016
  1.76      0.00000      0.01037     -0.01037
  1.78      0.00000      0.01059     -0.01059
  1.80      0.00000      0.01081     -0.01081
  1.82      0.00000      0.01103     -0.01103
  1.84      0.00000      0.01126     -0.01126
  1.86      0.00000      0.01149     -0.01149
  1.88      0.00000      0.01172     -0.01172
  1.90      0.00000      0.01195     -0.01195
  1.92      0.00000      0.01219     -0.01219
  1.94      0.00000      0.01243     -0.01243
  1.96      0.00000      0.01267     -0.01267
  1.98      0.00000      0.01292     -0.01292
  2.00      0.00000      0.01316     -0.01316
  2.02      0.00000      0.01341     -0.01341
  2.04      0.00000      0.01365     -0.01365
  2.06      0.00000      0.01390     -0.01390
  2.08      0.00000      0.01415     -0.01415
  2.10      0.00000      0.01440     -0.01440
  2.12      0.00000      0.01465     -0.01465
  2.14      0.00000      0.01490     -0.01490
  2.16      0.00000      0.01515     -0.01514
  2.18      0.00000      0.01540     -0.01538
  2.20      0.00003      0.01565     -0.01563
  2.22      0.00006      0.01590     -0.01582
  2.24      0.00000      0.01615     -0.01606
  2.26      0.00031      0.01640     -0.01613
  2.28      0.00008      0.01666     -0.01626
