 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000     -0.00000
  0.10      0.00000      0.00000     -0.00000
  0.12      0.00000      0.00000     -0.00000
  0.14      0.00000      0.00000     -0.00000
  0.16      0.00000      0.00000     -0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00001     -0.00001
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00002     -0.00002
  0.50      0.00000      0.00004     -0.00004
  0.52      0.00000      0.00005     -0.00005
  0.54      0.00000      0.00007     -0.00007
  0.56      0.00000      0.00010     -0.00010
  0.58      0.00000      0.00014     -0.00014
  0.60      0.00000      0.00019     -0.00019
  0.62      0.00000      0.00025     -0.00025
  0.64      0.00000      0.00032     -0.00032
  0.66      0.00000      0.00041     -0.00041
  0.68      0.00000      0.00051     -0.00051
  0.70      0.00000      0.00063     -0.00063
  0.72      0.00000      0.00077     -0.00077
  0.74      0.00000      0.00091     -0.00091
  0.76      0.00000      0.00107     -0.00107
  0.78      0.00000      0.00124     -0.00124
  0.80      0.00000      0.00142     -0.00142
  0.82      0.00000      0.00161     -0.00161
  0.84      0.00000      0.00180     -0.00180
  0.86      0.00000      0.00200     -0.00200
  0.88      0.00000      0.00220     -0.00220
  0.90      0.00000      0.00240     -0.00240
  0.92      0.00000      0.00261     -0.00261
  0.94      0.00000      0.00281     -0.00281
  0.96      0.00000      0.00302     -0.00302
  0.98      0.00000      0.00323     -0.00323
  1.00      0.00000      0.00344     -0.00344
  1.02      0.00000      0.00366     -0.00366
  1.04      0.00000      0.00387     -0.00387
  1.06      0.00000      0.00408     -0.00408
  1.08      0.00000      0.00429     -0.00429
  1.10      0.00000      0.00450     -0.00450
  1.12      0.00000      0.00472     -0.00472
  1.14      0.00000      0.00493     -0.00493
  1.16      0.00000      0.00514     -0.00514
  1.18      0.00000      0.00535     -0.00535
  1.20      0.00000      0.00557     -0.00557
  1.22      0.00000      0.00578     -0.00578
  1.24      0.00000      0.00599     -0.00599
  1.26      0.00000      0.00620     -0.00620
  1.28      0.00000      0.00642     -0.00642
  1.30      0.00000      0.00663     -0.00663
  1.32      0.00000      0.00684     -0.00684
  1.34      0.00000      0.00706     -0.00706
  1.36      0.00000      0.00727     -0.00727
  1.38      0.00000      0.00748     -0.00748
  1.40      0.00000      0.00770     -0.00770
  1.42      0.00000      0.00791     -0.00791
  1.44      0.00000      0.00813     -0.00813
  1.46      0.00000      0.00834     -0.00834
  1.48      0.00000      0.00856     -0.00856
  1.50      0.00000      0.00877     -0.00877
  1.52      0.00000      0.00899     -0.00899
  1.54      0.00000      0.00920     -0.00920
  1.56      0.00000      0.00942     -0.00942
  1.58      0.00000      0.00964     -0.00964
  1.60      0.00000      0.00986     -0.00986
  1.62      0.00000      0.01008     -0.01008
  1.64      0.00000      0.01030     -0.01030
  1.66      0.00000      0.01052     -0.01052
  1.68      0.00000      0.01075     -0.01075
  1.70      0.00000      0.01098     -0.01098
  1.72      0.00000      0.01121     -0.01121
  1.74      0.00000      0.01144     -0.01144
  1.76      0.00000      0.01168     -0.01168
  1.78      0.00000      0.01192     -0.01192
  1.80      0.00000      0.01217     -0.01217
  1.82      0.00000      0.01242     -0.01242
  1.84      0.00000      0.01267     -0.01267
  1.86      0.00000      0.01293     -0.01293
  1.88      0.00000      0.01320     -0.01320
  1.90      0.00000      0.01346     -0.01346
  1.92      0.00000      0.01373     -0.01373
  1.94      0.00000      0.01400     -0.01400
  1.96      0.00000      0.01428     -0.01428
  1.98      0.00000      0.01456     -0.01456
  2.00      0.00000      0.01484     -0.01484
  2.02      0.00000      0.01512     -0.01512
  2.04      0.00000      0.01540     -0.01539
  2.06      0.00000      0.01568     -0.01567
  2.08      0.00007      0.01597     -0.01595
  2.10      0.00000      0.01625     -0.01623
  2.12      0.00004      0.01654     -0.01651
  2.14      0.00000      0.01682     -0.01677
  2.16      0.00004      0.01711     -0.01699
  2.18      0.00021      0.01740     -0.01721
  2.20      0.00032      0.01768     -0.01745
  2.22      0.00038      0.01797     -0.01768
  2.24      0.00021      0.01826     -0.01789
  2.26      0.00034      0.01855     -0.01808
  2.28      0.00061      0.01884     -0.01832
