 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00001     -0.00001
  0.44      0.00000      0.00001     -0.00001
  0.46      0.00000      0.00002     -0.00002
  0.48      0.00000      0.00003     -0.00003
  0.50      0.00000      0.00004     -0.00004
  0.52      0.00000      0.00006     -0.00006
  0.54      0.00000      0.00009     -0.00009
  0.56      0.00000      0.00013     -0.00013
  0.58      0.00000      0.00017     -0.00017
  0.60      0.00000      0.00022     -0.00022
  0.62      0.00000      0.00029     -0.00029
  0.64      0.00000      0.00037     -0.00037
  0.66      0.00000      0.00046     -0.00046
  0.68      0.00000      0.00056     -0.00056
  0.70      0.00000      0.00067     -0.00067
  0.72      0.00000      0.00080     -0.00080
  0.74      0.00000      0.00093     -0.00093
  0.76      0.00000      0.00108     -0.00108
  0.78      0.00000      0.00123     -0.00123
  0.80      0.00000      0.00139     -0.00139
  0.82      0.00000      0.00155     -0.00155
  0.84      0.00000      0.00172     -0.00172
  0.86      0.00000      0.00189     -0.00189
  0.88      0.00000      0.00207     -0.00207
  0.90      0.00000      0.00224     -0.00224
  0.92      0.00000      0.00242     -0.00242
  0.94      0.00000      0.00260     -0.00260
  0.96      0.00000      0.00278     -0.00278
  0.98      0.00000      0.00297     -0.00297
  1.00      0.00000      0.00315     -0.00315
  1.02      0.00000      0.00333     -0.00333
  1.04      0.00000      0.00352     -0.00352
  1.06      0.00000      0.00370     -0.00370
  1.08      0.00000      0.00389     -0.00389
  1.10      0.00000      0.00407     -0.00407
  1.12      0.00000      0.00426     -0.00426
  1.14      0.00000      0.00444     -0.00444
  1.16      0.00000      0.00463     -0.00463
  1.18      0.00000      0.00481     -0.00481
  1.20      0.00000      0.00500     -0.00500
  1.22      0.00000      0.00518     -0.00518
  1.24      0.00000      0.00537     -0.00537
  1.26      0.00000      0.00555     -0.00555
  1.28      0.00000      0.00574     -0.00574
  1.30      0.00000      0.00593     -0.00593
  1.32      0.00000      0.00611     -0.00611
  1.34      0.00000      0.00630     -0.00630
  1.36      0.00000      0.00649     -0.00649
  1.38      0.00000      0.00667     -0.00667
  1.40      0.00000      0.00686     -0.00686
  1.42      0.00000      0.00705     -0.00705
  1.44      0.00000      0.00723     -0.00723
  1.46      0.00000      0.00742     -0.00742
  1.48      0.00000      0.00761     -0.00761
  1.50      0.00000      0.00780     -0.00780
  1.52      0.00000      0.00799     -0.00799
  1.54      0.00000      0.00818     -0.00818
  1.56      0.00000      0.00837     -0.00837
  1.58      0.00000      0.00856     -0.00856
  1.60      0.00000      0.00875     -0.00875
  1.62      0.00000      0.00895     -0.00895
  1.64      0.00000      0.00914     -0.00914
  1.66      0.00000      0.00934     -0.00934
  1.68      0.00000      0.00955     -0.00955
  1.70      0.00000      0.00975     -0.00975
  1.72      0.00000      0.00996     -0.00996
  1.74      0.00000      0.01017     -0.01017
  1.76      0.00000      0.01038     -0.01038
  1.78      0.00000      0.01060     -0.01060
  1.80      0.00000      0.01082     -0.01082
  1.82      0.00000      0.01104     -0.01104
  1.84      0.00000      0.01127     -0.01127
  1.86      0.00000      0.01150     -0.01150
  1.88      0.00000      0.01174     -0.01174
  1.90      0.00000      0.01197     -0.01197
  1.92      0.00000      0.01221     -0.01221
  1.94      0.00000      0.01245     -0.01245
  1.96      0.00000      0.01269     -0.01269
  1.98      0.00000      0.01294     -0.01294
  2.00      0.00000      0.01318     -0.01318
  2.02      0.00000      0.01343     -0.01343
  2.04      0.00000      0.01367     -0.01367
  2.06      0.00000      0.01392     -0.01392
  2.08      0.00000      0.01417     -0.01417
  2.10      0.00000      0.01442     -0.01442
  2.12      0.00000      0.01467     -0.01467
  2.14      0.00000      0.01492     -0.01492
  2.16      0.00000      0.01517     -0.01517
  2.18      0.00000      0.01542     -0.01542
  2.20      0.00000      0.01567     -0.01567
  2.22      0.00000      0.01592     -0.01589
  2.24      0.00000      0.01617     -0.01604
  2.26      0.00012      0.01642     -0.01617
  2.28      0.00054      0.01667     -0.01623
