 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000      0.00000
  0.20      0.00000      0.00000      0.00000
  0.22      0.00000      0.00000      0.00000
  0.24      0.00000      0.00000      0.00000
  0.26      0.00000      0.00000      0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00000     -0.00000
  0.40      0.00000      0.00000     -0.00000
  0.42      0.00000      0.00000     -0.00000
  0.44      0.00000      0.00000     -0.00000
  0.46      0.00000      0.00001     -0.00001
  0.48      0.00000      0.00001     -0.00001
  0.50      0.00000      0.00002     -0.00002
  0.52      0.00000      0.00003     -0.00003
  0.54      0.00000      0.00005     -0.00005
  0.56      0.00000      0.00007     -0.00007
  0.58      0.00000      0.00011     -0.00011
  0.60      0.00000      0.00016     -0.00016
  0.62      0.00000      0.00022     -0.00022
  0.64      0.00000      0.00029     -0.00029
  0.66      0.00000      0.00039     -0.00039
  0.68      0.00000      0.00049     -0.00049
  0.70      0.00000      0.00062     -0.00062
  0.72      0.00000      0.00075     -0.00075
  0.74      0.00000      0.00090     -0.00090
  0.76      0.00000      0.00106     -0.00106
  0.78      0.00000      0.00122     -0.00122
  0.80      0.00000      0.00139     -0.00139
  0.82      0.00000      0.00157     -0.00157
  0.84      0.00000      0.00175     -0.00175
  0.86      0.00000      0.00193     -0.00193
  0.88      0.00000      0.00211     -0.00211
  0.90      0.00000      0.00229     -0.00229
  0.92      0.00000      0.00247     -0.00247
  0.94      0.00000      0.00266     -0.00266
  0.96      0.00000      0.00284     -0.00284
  0.98      0.00000      0.00303     -0.00303
  1.00      0.00000      0.00321     -0.00321
  1.02      0.00000      0.00340     -0.00340
  1.04      0.00000      0.00358     -0.00358
  1.06      0.00000      0.00377     -0.00377
  1.08      0.00000      0.00396     -0.00396
  1.10      0.00000      0.00414     -0.00414
  1.12      0.00000      0.00433     -0.00433
  1.14      0.00000      0.00452     -0.00452
  1.16      0.00000      0.00470     -0.00470
  1.18      0.00000      0.00489     -0.00489
  1.20      0.00000      0.00508     -0.00508
  1.22      0.00000      0.00526     -0.00526
  1.24      0.00000      0.00545     -0.00545
  1.26      0.00000      0.00564     -0.00564
  1.28      0.00000      0.00582     -0.00582
  1.30      0.00000      0.00601     -0.00601
  1.32      0.00000      0.00620     -0.00620
  1.34      0.00000      0.00639     -0.00639
  1.36      0.00000      0.00657     -0.00657
  1.38      0.00000      0.00676     -0.00676
  1.40      0.00000      0.00695     -0.00695
  1.42      0.00000      0.00714     -0.00714
  1.44      0.00000      0.00733     -0.00733
  1.46      0.00000      0.00751     -0.00751
  1.48      0.00000      0.00770     -0.00770
  1.50      0.00000      0.00789     -0.00789
  1.52      0.00000      0.00808     -0.00808
  1.54      0.00000      0.00827     -0.00827
  1.56      0.00000      0.00846     -0.00846
  1.58      0.00000      0.00865     -0.00865
  1.60      0.00000      0.00884     -0.00884
  1.62      0.00000      0.00904     -0.00904
  1.64      0.00000      0.00923     -0.00923
  1.66      0.00000      0.00943     -0.00943
  1.68      0.00000      0.00963     -0.00963
  1.70      0.00000      0.00984     -0.00984
  1.72      0.00000      0.01004     -0.01004
  1.74      0.00000      0.01026     -0.01026
  1.76      0.00000      0.01047     -0.01047
  1.78      0.00000      0.01069     -0.01069
  1.80      0.00000      0.01091     -0.01091
  1.82      0.00000      0.01114     -0.01114
  1.84      0.00000      0.01137     -0.01137
  1.86      0.00000      0.01161     -0.01161
  1.88      0.00000      0.01185     -0.01185
  1.90      0.00000      0.01209     -0.01209
  1.92      0.00000      0.01233     -0.01233
  1.94      0.00000      0.01258     -0.01258
  1.96      0.00000      0.01282     -0.01282
  1.98      0.00000      0.01307     -0.01307
  2.00      0.00000      0.01332     -0.01332
  2.02      0.00000      0.01357     -0.01357
  2.04      0.00000      0.01382     -0.01382
  2.06      0.00000      0.01407     -0.01407
  2.08      0.00000      0.01432     -0.01432
  2.10      0.00000      0.01457     -0.01457
  2.12      0.00000      0.01482     -0.01482
  2.14      0.00000      0.01507     -0.01507
  2.16      0.00000      0.01532     -0.01532
  2.18      0.00000      0.01557     -0.01557
  2.20      0.00000      0.01583     -0.01583
  2.22      0.00000      0.01608     -0.01608
  2.24      0.00000      0.01633     -0.01632
  2.26      0.00000      0.01658     -0.01657
  2.28      0.00003      0.01683     -0.01680
  2.30      0.00005      0.01709     -0.01686
