 #r(A)        h(r)         Base         G(r)
  0.02      0.00000      0.00000      0.00000
  0.04      0.00000      0.00000      0.00000
  0.06      0.00000      0.00000      0.00000
  0.08      0.00000      0.00000      0.00000
  0.10      0.00000      0.00000      0.00000
  0.12      0.00000      0.00000      0.00000
  0.14      0.00000      0.00000      0.00000
  0.16      0.00000      0.00000      0.00000
  0.18      0.00000      0.00000     -0.00000
  0.20      0.00000      0.00000     -0.00000
  0.22      0.00000      0.00000     -0.00000
  0.24      0.00000      0.00000     -0.00000
  0.26      0.00000      0.00000     -0.00000
  0.28      0.00000      0.00000     -0.00000
  0.30      0.00000      0.00000     -0.00000
  0.32      0.00000      0.00000     -0.00000
  0.34      0.00000      0.00000     -0.00000
  0.36      0.00000      0.00000     -0.00000
  0.38      0.00000      0.00001     -0.00001
  0.40      0.00000      0.00001     -0.00001
  0.42      0.00000      0.00002     -0.00002
  0.44      0.00000      0.00003     -0.00003
  0.46      0.00000      0.00005     -0.00005
  0.48      0.00000      0.00007     -0.00007
  0.50      0.00000      0.00010     -0.00010
  0.52      0.00000      0.00013     -0.00013
  0.54      0.00000      0.00018     -0.00018
  0.56      0.00000      0.00023     -0.00023
  0.58      0.00000      0.00030     -0.00030
  0.60      0.00000      0.00038     -0.00038
  0.62      0.00000      0.00047     -0.00047
  0.64      0.00000      0.00057     -0.00057
  0.66      0.00000      0.00068     -0.00068
  0.68      0.00000      0.00080     -0.00080
  0.70      0.00000      0.00093     -0.00093
  0.72      0.00000      0.00108     -0.00108
  0.74      0.00000      0.00122     -0.00122
  0.76      0.00000      0.00137     -0.00137
  0.78      0.00000      0.00153     -0.00153
  0.80      0.00000      0.00169     -0.00169
  0.82      0.00000      0.00186     -0.00186
  0.84      0.00000      0.00203     -0.00203
  0.86      0.00000      0.00220     -0.00220
  0.88      0.00000      0.00237     -0.00237
  0.90      0.00000      0.00255     -0.00255
  0.92      0.00000      0.00272     -0.00272
  0.94      0.00000      0.00290     -0.00290
  0.96      0.00000      0.00308     -0.00308
  0.98      0.00000      0.00326     -0.00326
  1.00      0.00000      0.00344     -0.00344
  1.02      0.00000      0.00363     -0.00363
  1.04      0.00000      0.00381     -0.00381
  1.06      0.00000      0.00399     -0.00399
  1.08      0.00000      0.00418     -0.00418
  1.10      0.00000      0.00436     -0.00436
  1.12      0.00000      0.00455     -0.00455
  1.14      0.00000      0.00473     -0.00473
  1.16      0.00000      0.00492     -0.00492
  1.18      0.00000      0.00511     -0.00511
  1.20      0.00000      0.00529     -0.00529
  1.22      0.00000      0.00548     -0.00548
  1.24      0.00000      0.00567     -0.00567
  1.26      0.00000      0.00586     -0.00586
  1.28      0.00000      0.00605     -0.00605
  1.30      0.00000      0.00624     -0.00624
  1.32      0.00000      0.00643     -0.00643
  1.34      0.00000      0.00663     -0.00663
  1.36      0.00000      0.00682     -0.00682
  1.38      0.00000      0.00701     -0.00701
  1.40      0.00000      0.00721     -0.00721
  1.42      0.00000      0.00740     -0.00740
  1.44      0.00000      0.00760     -0.00760
  1.46      0.00000      0.00780     -0.00780
  1.48      0.00000      0.00800     -0.00800
  1.50      0.00000      0.00820     -0.00820
  1.52      0.00000      0.00840     -0.00840
  1.54      0.00000      0.00860     -0.00860
  1.56      0.00000      0.00880     -0.00880
  1.58      0.00000      0.00901     -0.00901
  1.60      0.00000      0.00922     -0.00922
  1.62      0.00000      0.00943     -0.00943
  1.64      0.00000      0.00964     -0.00964
  1.66      0.00000      0.00985     -0.00985
  1.68      0.00000      0.01007     -0.01007
  1.70      0.00000      0.01029     -0.01029
  1.72      0.00000      0.01051     -0.01051
  1.74      0.00000      0.01073     -0.01073
  1.76      0.00000      0.01096     -0.01096
  1.78      0.00000      0.01119     -0.01119
  1.80      0.00000      0.01142     -0.01142
  1.82      0.00000      0.01165     -0.01165
  1.84      0.00000      0.01189     -0.01189
  1.86      0.00000      0.01213     -0.01213
  1.88      0.00000      0.01237     -0.01237
  1.90      0.00000      0.01261     -0.01261
  1.92      0.00000      0.01285     -0.01285
  1.94      0.00000      0.01310     -0.01310
  1.96      0.00000      0.01335     -0.01335
  1.98      0.00000      0.01360     -0.01360
  2.00      0.00000      0.01385     -0.01385
  2.02      0.00000      0.01410     -0.01410
  2.04      0.00000      0.01435     -0.01435
  2.06      0.00000      0.01461     -0.01461
  2.08      0.00000      0.01486     -0.01486
  2.10      0.00000      0.01512     -0.01512
  2.12      0.00000      0.01538     -0.01538
  2.14      0.00000      0.01564     -0.01563
  2.16      0.00000      0.01590     -0.01589
  2.18      0.00004      0.01617     -0.01612
  2.20      0.00004      0.01643     -0.01627
  2.22      0.00016      0.01670     -0.01640
  2.24      0.00057      0.01697     -0.01652
  2.26      0.00071      0.01724     -0.01633
  2.28      0.00078      0.01752     -0.01614
