 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00000
  0.32     -0.00000
  0.34     -0.00001
  0.36     -0.00001
  0.38     -0.00002
  0.40     -0.00003
  0.42     -0.00005
  0.44     -0.00007
  0.46     -0.00010
  0.48     -0.00013
  0.50     -0.00017
  0.52     -0.00022
  0.54     -0.00028
  0.56     -0.00035
  0.58     -0.00043
  0.60     -0.00053
  0.62     -0.00065
  0.64     -0.00080
  0.66     -0.00097
  0.68     -0.00118
  0.70     -0.00141
  0.72     -0.00167
  0.74     -0.00196
  0.76     -0.00227
  0.78     -0.00259
  0.80     -0.00293
  0.82     -0.00329
  0.84     -0.00365
  0.86     -0.00402
  0.88     -0.00439
  0.90     -0.00477
  0.92     -0.00516
  0.94     -0.00555
  0.96     -0.00594
  0.98     -0.00633
  1.00     -0.00672
  1.02     -0.00711
  1.04     -0.00751
  1.06     -0.00790
  1.08     -0.00830
  1.10     -0.00869
  1.12     -0.00909
  1.14     -0.00949
  1.16     -0.00989
  1.18     -0.01028
  1.20     -0.01068
  1.22     -0.01108
  1.24     -0.01148
  1.26     -0.01188
  1.28     -0.01227
  1.30     -0.01267
  1.32     -0.01308
  1.34     -0.01348
  1.36     -0.01388
  1.38     -0.01428
  1.40     -0.01469
  1.42     -0.01509
  1.44     -0.01550
  1.46     -0.01591
  1.48     -0.01632
  1.50     -0.01673
  1.52     -0.01715
  1.54     -0.01756
  1.56     -0.01798
  1.58     -0.01841
  1.60     -0.01883
  1.62     -0.01926
  1.64     -0.01969
  1.66     -0.02013
  1.68     -0.02057
  1.70     -0.02101
  1.72     -0.02146
  1.74     -0.02191
  1.76     -0.02236
  1.78     -0.02282
  1.80     -0.02329
  1.82     -0.02376
  1.84     -0.02423
  1.86     -0.02471
  1.88     -0.02519
  1.90     -0.02568
  1.92     -0.02617
  1.94     -0.02667
  1.96     -0.02717
  1.98     -0.02767
  2.00     -0.02818
  2.02     -0.02869
  2.04     -0.02920
  2.06     -0.02971
  2.08     -0.03011
  2.10     -0.03063
  2.12     -0.03111
  2.14     -0.03163
  2.16     -0.03216
  2.18     -0.03265
  2.20     -0.03303
  2.22     -0.03346
  2.24     -0.03354
  2.26     -0.03363
  2.28     -0.03286
  2.30     -0.03102
  2.32     -0.02790
  2.34     -0.02350
  2.36     -0.01618
  2.38     -0.00811
  2.40      0.00006
  2.42      0.00842
