 #r(A)        G(r)
  0.02     -0.00000
  0.04     -0.00000
  0.06     -0.00000
  0.08     -0.00000
  0.10     -0.00000
  0.12     -0.00000
  0.14     -0.00000
  0.16     -0.00000
  0.18     -0.00000
  0.20     -0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00000
  0.32     -0.00000
  0.34     -0.00000
  0.36     -0.00000
  0.38     -0.00001
  0.40     -0.00001
  0.42     -0.00001
  0.44     -0.00002
  0.46     -0.00002
  0.48     -0.00003
  0.50     -0.00004
  0.52     -0.00005
  0.54     -0.00007
  0.56     -0.00009
  0.58     -0.00012
  0.60     -0.00016
  0.62     -0.00022
  0.64     -0.00031
  0.66     -0.00044
  0.68     -0.00061
  0.70     -0.00083
  0.72     -0.00110
  0.74     -0.00143
  0.76     -0.00179
  0.78     -0.00219
  0.80     -0.00262
  0.82     -0.00306
  0.84     -0.00352
  0.86     -0.00399
  0.88     -0.00447
  0.90     -0.00495
  0.92     -0.00543
  0.94     -0.00591
  0.96     -0.00639
  0.98     -0.00688
  1.00     -0.00736
  1.02     -0.00785
  1.04     -0.00833
  1.06     -0.00882
  1.08     -0.00930
  1.10     -0.00979
  1.12     -0.01027
  1.14     -0.01076
  1.16     -0.01124
  1.18     -0.01173
  1.20     -0.01221
  1.22     -0.01270
  1.24     -0.01318
  1.26     -0.01367
  1.28     -0.01415
  1.30     -0.01464
  1.32     -0.01513
  1.34     -0.01561
  1.36     -0.01610
  1.38     -0.01658
  1.40     -0.01707
  1.42     -0.01756
  1.44     -0.01804
  1.46     -0.01853
  1.48     -0.01901
  1.50     -0.01950
  1.52     -0.01999
  1.54     -0.02048
  1.56     -0.02097
  1.58     -0.02146
  1.60     -0.02195
  1.62     -0.02244
  1.64     -0.02294
  1.66     -0.02344
  1.68     -0.02394
  1.70     -0.02445
  1.72     -0.02497
  1.74     -0.02549
  1.76     -0.02601
  1.78     -0.02655
  1.80     -0.02710
  1.82     -0.02765
  1.84     -0.02822
  1.86     -0.02880
  1.88     -0.02939
  1.90     -0.02999
  1.92     -0.03045
  1.94     -0.03107
  1.96     -0.03169
  1.98     -0.03231
  2.00     -0.03295
  2.02     -0.03372
  2.04     -0.03436
  2.06     -0.03500
  2.08     -0.03564
  2.10     -0.03629
  2.12     -0.03693
  2.14     -0.03758
  2.16     -0.03818
  2.18     -0.03870
  2.20     -0.03921
  2.22     -0.03986
  2.24     -0.04038
  2.26     -0.04090
  2.28     -0.04138
  2.30     -0.04144
  2.32     -0.04126
  2.34     -0.04103
  2.36     -0.04041
  2.38     -0.03993
  2.40     -0.03899
  2.42     -0.03755
