 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56      0.00000
  0.58      0.00000
  0.60      0.00000
  0.62      0.00000
  0.64      0.00000
  0.66      0.00000
  0.68      0.00000
  0.70      0.00000
  0.72     -0.00005
  0.74     -0.00029
  0.76     -0.00053
  0.78     -0.00076
  0.80     -0.00100
  0.82     -0.00123
  0.84     -0.00147
  0.86     -0.00170
  0.88     -0.00194
  0.90     -0.00217
  0.92     -0.00241
  0.94     -0.00265
  0.96     -0.00288
  0.98     -0.00312
  1.00     -0.00335
  1.02     -0.00359
  1.04     -0.00382
  1.06     -0.00406
  1.08     -0.00429
  1.10     -0.00453
  1.12     -0.00477
  1.14     -0.00500
  1.16     -0.00524
  1.18     -0.00547
  1.20     -0.00571
  1.22     -0.00594
  1.24     -0.00618
  1.26     -0.00641
  1.28     -0.00665
  1.30     -0.00689
  1.32     -0.00712
  1.34     -0.00736
  1.36     -0.00759
  1.38     -0.00783
  1.40     -0.00806
  1.42     -0.00830
  1.44     -0.00854
  1.46     -0.00877
  1.48     -0.00901
  1.50     -0.00924
  1.52     -0.00948
  1.54     -0.00971
  1.56     -0.00995
  1.58     -0.01018
  1.60     -0.01042
  1.62     -0.01066
  1.64     -0.01089
  1.66     -0.01113
  1.68     -0.01136
  1.70     -0.01160
  1.72     -0.01183
  1.74     -0.01207
  1.76     -0.01230
  1.78     -0.01254
  1.80     -0.01278
  1.82     -0.01301
  1.84     -0.01325
  1.86     -0.01356
  1.88     -0.01388
  1.90     -0.01419
  1.92     -0.01451
  1.94     -0.01482
  1.96     -0.01514
  1.98     -0.01545
  2.00     -0.01577
  2.02     -0.01608
  2.04     -0.01640
  2.06     -0.01671
  2.08     -0.01703
  2.10     -0.01735
  2.12     -0.01766
  2.14     -0.01798
  2.16     -0.01829
  2.18     -0.01861
  2.20     -0.01892
  2.22     -0.01924
  2.24     -0.01955
  2.26     -0.01987
  2.28     -0.02018
  2.30     -0.02050
  2.32     -0.02081
  2.34     -0.02113
  2.36     -0.02144
  2.38     -0.02176
  2.40     -0.02207
  2.42     -0.02239
  2.44     -0.02270
  2.46     -0.02302
  2.48     -0.02333
