 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42     -0.00000
  0.44     -0.00000
  0.46     -0.00000
  0.48     -0.00001
  0.50     -0.00001
  0.52     -0.00002
  0.54     -0.00003
  0.56     -0.00006
  0.58     -0.00009
  0.60     -0.00015
  0.62     -0.00022
  0.64     -0.00033
  0.66     -0.00047
  0.68     -0.00066
  0.70     -0.00088
  0.72     -0.00115
  0.74     -0.00146
  0.76     -0.00180
  0.78     -0.00217
  0.80     -0.00257
  0.82     -0.00298
  0.84     -0.00342
  0.86     -0.00386
  0.88     -0.00432
  0.90     -0.00478
  0.92     -0.00525
  0.94     -0.00572
  0.96     -0.00620
  0.98     -0.00668
  1.00     -0.00716
  1.02     -0.00764
  1.04     -0.00812
  1.06     -0.00861
  1.08     -0.00909
  1.10     -0.00958
  1.12     -0.01006
  1.14     -0.01055
  1.16     -0.01104
  1.18     -0.01153
  1.20     -0.01202
  1.22     -0.01250
  1.24     -0.01299
  1.26     -0.01348
  1.28     -0.01397
  1.30     -0.01446
  1.32     -0.01495
  1.34     -0.01544
  1.36     -0.01593
  1.38     -0.01643
  1.40     -0.01692
  1.42     -0.01741
  1.44     -0.01790
  1.46     -0.01839
  1.48     -0.01888
  1.50     -0.01937
  1.52     -0.01986
  1.54     -0.02036
  1.56     -0.02085
  1.58     -0.02134
  1.60     -0.02184
  1.62     -0.02233
  1.64     -0.02283
  1.66     -0.02333
  1.68     -0.02384
  1.70     -0.02434
  1.72     -0.02485
  1.74     -0.02537
  1.76     -0.02589
  1.78     -0.02643
  1.80     -0.02696
  1.82     -0.02751
  1.84     -0.02806
  1.86     -0.02863
  1.88     -0.02920
  1.90     -0.02977
  1.92     -0.03036
  1.94     -0.03096
  1.96     -0.03156
  1.98     -0.03217
  2.00     -0.03279
  2.02     -0.03342
  2.04     -0.03405
  2.06     -0.03468
  2.08     -0.03532
  2.10     -0.03596
  2.12     -0.03660
  2.14     -0.03725
  2.16     -0.03789
  2.18     -0.03854
  2.20     -0.03919
  2.22     -0.03983
  2.24     -0.04049
  2.26     -0.04114
  2.28     -0.04179
  2.30     -0.04244
  2.32     -0.04309
  2.34     -0.04375
  2.36     -0.04440
  2.38     -0.04460
  2.40     -0.04391
  2.42     -0.04279
  2.44     -0.04124
