 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48      0.00000
  0.50      0.00000
  0.52      0.00000
  0.54      0.00000
  0.56      0.00000
  0.58      0.00000
  0.60      0.00000
  0.62      0.00000
  0.64      0.00000
  0.66      0.00000
  0.68      0.00000
  0.70      0.00000
  0.72      0.00000
  0.74      0.00000
  0.76     -0.00036
  0.78     -0.00071
  0.80     -0.00107
  0.82     -0.00143
  0.84     -0.00178
  0.86     -0.00214
  0.88     -0.00250
  0.90     -0.00285
  0.92     -0.00321
  0.94     -0.00357
  0.96     -0.00392
  0.98     -0.00428
  1.00     -0.00463
  1.02     -0.00499
  1.04     -0.00535
  1.06     -0.00570
  1.08     -0.00606
  1.10     -0.00642
  1.12     -0.00677
  1.14     -0.00713
  1.16     -0.00749
  1.18     -0.00784
  1.20     -0.00843
  1.22     -0.00901
  1.24     -0.00959
  1.26     -0.01018
  1.28     -0.01076
  1.30     -0.01134
  1.32     -0.01192
  1.34     -0.01251
  1.36     -0.01309
  1.38     -0.01367
  1.40     -0.01426
  1.42     -0.01484
  1.44     -0.01542
  1.46     -0.01601
  1.48     -0.01659
  1.50     -0.01717
  1.52     -0.01776
  1.54     -0.01834
  1.56     -0.01892
  1.58     -0.01951
  1.60     -0.02009
  1.62     -0.02067
  1.64     -0.02125
  1.66     -0.02184
  1.68     -0.02242
  1.70     -0.02300
  1.72     -0.02359
  1.74     -0.02417
  1.76     -0.02475
  1.78     -0.02534
  1.80     -0.02592
  1.82     -0.02650
  1.84     -0.02709
  1.86     -0.02767
  1.88     -0.02825
  1.90     -0.02884
  1.92     -0.02942
  1.94     -0.03000
  1.96     -0.03058
  1.98     -0.03117
  2.00     -0.03175
  2.02     -0.03233
  2.04     -0.03292
  2.06     -0.03350
  2.08     -0.03408
  2.10     -0.03467
  2.12     -0.03525
  2.14     -0.03583
  2.16     -0.03642
  2.18     -0.03700
  2.20     -0.03758
  2.22     -0.03817
  2.24     -0.03875
  2.26     -0.03933
  2.28     -0.03991
  2.30     -0.04050
  2.32     -0.04108
  2.34     -0.04166
  2.36     -0.04225
  2.38     -0.04283
  2.40     -0.04341
  2.42     -0.04400
  2.44     -0.04458
  2.46     -0.04516
  2.48     -0.04575
