 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22     -0.00000
  0.24     -0.00000
  0.26     -0.00000
  0.28     -0.00000
  0.30     -0.00000
  0.32     -0.00000
  0.34     -0.00001
  0.36     -0.00001
  0.38     -0.00002
  0.40     -0.00002
  0.42     -0.00004
  0.44     -0.00005
  0.46     -0.00007
  0.48     -0.00009
  0.50     -0.00012
  0.52     -0.00016
  0.54     -0.00021
  0.56     -0.00027
  0.58     -0.00035
  0.60     -0.00046
  0.62     -0.00060
  0.64     -0.00076
  0.66     -0.00097
  0.68     -0.00122
  0.70     -0.00151
  0.72     -0.00184
  0.74     -0.00220
  0.76     -0.00258
  0.78     -0.00299
  0.80     -0.00341
  0.82     -0.00384
  0.84     -0.00429
  0.86     -0.00474
  0.88     -0.00520
  0.90     -0.00566
  0.92     -0.00613
  0.94     -0.00660
  0.96     -0.00707
  0.98     -0.00754
  1.00     -0.00801
  1.02     -0.00848
  1.04     -0.00895
  1.06     -0.00943
  1.08     -0.00990
  1.10     -0.01038
  1.12     -0.01085
  1.14     -0.01133
  1.16     -0.01180
  1.18     -0.01228
  1.20     -0.01275
  1.22     -0.01323
  1.24     -0.01371
  1.26     -0.01418
  1.28     -0.01466
  1.30     -0.01514
  1.32     -0.01561
  1.34     -0.01609
  1.36     -0.01657
  1.38     -0.01705
  1.40     -0.01753
  1.42     -0.01801
  1.44     -0.01850
  1.46     -0.01898
  1.48     -0.01946
  1.50     -0.01995
  1.52     -0.02044
  1.54     -0.02093
  1.56     -0.02142
  1.58     -0.02192
  1.60     -0.02241
  1.62     -0.02292
  1.64     -0.02342
  1.66     -0.02394
  1.68     -0.02445
  1.70     -0.02497
  1.72     -0.02550
  1.74     -0.02604
  1.76     -0.02658
  1.78     -0.02713
  1.80     -0.02769
  1.82     -0.02825
  1.84     -0.02883
  1.86     -0.02940
  1.88     -0.02999
  1.90     -0.03058
  1.92     -0.03118
  1.94     -0.03178
  1.96     -0.03238
  1.98     -0.03299
  2.00     -0.03360
  2.02     -0.03421
  2.04     -0.03482
  2.06     -0.03543
  2.08     -0.03605
  2.10     -0.03667
  2.12     -0.03729
  2.14     -0.03791
  2.16     -0.03854
  2.18     -0.03910
  2.20     -0.03956
  2.22     -0.03987
  2.24     -0.04006
  2.26     -0.03982
  2.28     -0.03933
  2.30     -0.03853
  2.32     -0.03653
  2.34     -0.03342
  2.36     -0.02898
  2.38     -0.02523
  2.40     -0.02063
  2.42     -0.01685
  2.44     -0.01255
