 #r(A)        G(r)
  0.02      0.00000
  0.04      0.00000
  0.06      0.00000
  0.08      0.00000
  0.10      0.00000
  0.12      0.00000
  0.14      0.00000
  0.16      0.00000
  0.18      0.00000
  0.20      0.00000
  0.22      0.00000
  0.24      0.00000
  0.26      0.00000
  0.28      0.00000
  0.30      0.00000
  0.32      0.00000
  0.34      0.00000
  0.36      0.00000
  0.38      0.00000
  0.40      0.00000
  0.42      0.00000
  0.44      0.00000
  0.46      0.00000
  0.48     -0.00000
  0.50     -0.00000
  0.52     -0.00000
  0.54     -0.00001
  0.56     -0.00002
  0.58     -0.00003
  0.60     -0.00006
  0.62     -0.00010
  0.64     -0.00016
  0.66     -0.00023
  0.68     -0.00033
  0.70     -0.00046
  0.72     -0.00061
  0.74     -0.00080
  0.76     -0.00102
  0.78     -0.00128
  0.80     -0.00157
  0.82     -0.00189
  0.84     -0.00225
  0.86     -0.00263
  0.88     -0.00303
  0.90     -0.00345
  0.92     -0.00389
  0.94     -0.00434
  0.96     -0.00480
  0.98     -0.00527
  1.00     -0.00574
  1.02     -0.00622
  1.04     -0.00670
  1.06     -0.00718
  1.08     -0.00767
  1.10     -0.00815
  1.12     -0.00864
  1.14     -0.00913
  1.16     -0.00961
  1.18     -0.01010
  1.20     -0.01059
  1.22     -0.01107
  1.24     -0.01156
  1.26     -0.01205
  1.28     -0.01253
  1.30     -0.01302
  1.32     -0.01351
  1.34     -0.01399
  1.36     -0.01448
  1.38     -0.01497
  1.40     -0.01545
  1.42     -0.01594
  1.44     -0.01643
  1.46     -0.01691
  1.48     -0.01740
  1.50     -0.01789
  1.52     -0.01837
  1.54     -0.01886
  1.56     -0.01935
  1.58     -0.01983
  1.60     -0.02032
  1.62     -0.02081
  1.64     -0.02129
  1.66     -0.02178
  1.68     -0.02227
  1.70     -0.02276
  1.72     -0.02325
  1.74     -0.02374
  1.76     -0.02423
  1.78     -0.02473
  1.80     -0.02523
  1.82     -0.02573
  1.84     -0.02625
  1.86     -0.02677
  1.88     -0.02730
  1.90     -0.02784
  1.92     -0.02840
  1.94     -0.02896
  1.96     -0.02954
  1.98     -0.03012
  2.00     -0.03072
  2.02     -0.03132
  2.04     -0.03193
  2.06     -0.03255
  2.08     -0.03318
  2.10     -0.03380
  2.12     -0.03443
  2.14     -0.03507
  2.16     -0.03570
  2.18     -0.03634
  2.20     -0.03698
  2.22     -0.03762
  2.24     -0.03826
  2.26     -0.03890
  2.28     -0.03954
  2.30     -0.04018
  2.32     -0.04082
  2.34     -0.04146
  2.36     -0.04210
  2.38     -0.04275
  2.40     -0.04339
  2.42     -0.04403
  2.44     -0.04446
  2.46     -0.04467
